ID,Posted at,Screen name,Text
576553856777207808,2015-03-14 01:22:05 +0000,ActuallyNPH,"Just realized it's Friday the 13th! All makes sen-Wait, someone's at the door. I'll let him in. Hmm. He has a hockey mask and a machet-OHNO!"
576528439915753473,2015-03-13 23:41:06 +0000,ActuallyNPH,"I picked up a face down penny, stepped on cracks in the pavement, a dog started howling and a bird flew in my window. Today be crazy! Hmm..."
576472685552775168,2015-03-13 19:59:33 +0000,ActuallyNPH,"Blurg! There's a water leak in the living room! Oh wait, here's an umbrella. I'll just open it up and use it to protect the couch. Hmm..."
576449745364860928,2015-03-13 18:28:23 +0000,ActuallyNPH,Ug! I'm trying to eat lunch and this darned salt shaker keeps dropping onto the floor! There's salt everywhere!  Hmmm...
576424622205349888,2015-03-13 16:48:34 +0000,ActuallyNPH,RT @nikomcgregor: @ActuallyNPH #lookout http://t.co/mLYIUr3myd
576421543640707072,2015-03-13 16:36:20 +0000,ActuallyNPH,"Following the kitty. Under a ladder? Okay crazy cat, if you insist! Hey, look there's a mirror. Hope it doesn't fa- oh, it shattered! Hmm..."
576407638860263424,2015-03-13 15:41:04 +0000,ActuallyNPH,"Happy 13th, everyone! What a lovely Friday. Oh look, a cute little black kitten just walked right in front of me. Hmm. What could that mean?"
575447610816774144,2015-03-11 00:06:16 +0000,ActuallyNPH,"Spectacular night with the kids. Karate class, dinner with Daddy, sneaking in to see him sing and dance at his @ShouldaBeenYou rehearsal. :)"
575075115983069185,2015-03-09 23:26:06 +0000,ActuallyNPH,"I'm loving this downtime with the kids - taking them to school, preparing meals, reading books. Lots of work but so worth it. #grateful"
574751130552516608,2015-03-09 01:58:42 +0000,ActuallyNPH,Just saw The Audience on B'way. All hail Helen Mirren! Phenomenal! Reignited my love for the theatre. #masterclass #bravo
573320243596169216,2015-03-05 03:12:52 +0000,ActuallyNPH,Surreal. Just had the honor of introducing @BillClinton at an event for the amazing Clinton Foundation (@ClintonFdn). http://t.co/mP28Rx1OMm
573131248094351360,2015-03-04 14:41:52 +0000,ActuallyNPH,Go to @funnyordie and watch this video of me shouting at some seriously #ThomasObsessed kids! http://t.co/tnBYYjbNNR http://t.co/c6yMUyDj7I
572869582899134465,2015-03-03 21:22:06 +0000,ActuallyNPH,I kinda like that this winter storm is called Thor. #avengers
572412023667089408,2015-03-02 15:03:56 +0000,ActuallyNPH,Here's a taste of the madness you can expect from my new video out today on @funnyordie. #ThomasObsessed http://t.co/xKsm1iS5zJ
571884917233094656,2015-03-01 04:09:24 +0000,ActuallyNPH,"Now that I'm back in NYC, I want to thank the @MontageBH for my LA digs. Such a remarkable place to stay - awesome room, great staff. #loved"
571501644308979713,2015-02-28 02:46:24 +0000,ActuallyNPH,"So first I saw the dress as white and gold, and only that. Now, it's absolutely blue and black. How?!? Does this make me bi-dress-ual?"
571467145537851392,2015-02-28 00:29:19 +0000,ActuallyNPH,"Hilarious.  An R-rated version of Scattergories!  Oh, how I love Kickstarter. http://t.co/5tmOu2DH7p #pledged"
570011180523085826,2015-02-24 00:03:50 +0000,ActuallyNPH,My iphone shattered the morning of the Oscars. I probably should have read more into that. #harbinger
569534216876134400,2015-02-22 16:28:33 +0000,ActuallyNPH,"It's the day of the show, y'all. #Oscars @TheAcademy"
569314460734611456,2015-02-22 01:55:19 +0000,ActuallyNPH,"Hey, I know that dude! @TheAcademy http://t.co/f3t9ooOMhM"
568991693237694464,2015-02-21 04:32:45 +0000,ActuallyNPH,I'm super appreciative for the group of writers we hired for my #Oscars content. If only they could write everything I say always. #proud
568918649999790080,2015-02-20 23:42:30 +0000,ActuallyNPH,"My brain hurts from all the #Oscars overthinking. It's time for the fine tuning, rewording, and 3rd guessing. So much minutiae! @TheAcademy"
568515506786840576,2015-02-19 21:00:33 +0000,ActuallyNPH,No turning back: Dropped off my official #Oscars predictions to the two people in charge of the ballots at @pwc_llp. http://t.co/WXawVsDcbu
567180828565053440,2015-02-16 04:37:01 +0000,ActuallyNPH,"Congrats, SNL - 40 years of classic, cool, courageous current comedy. Well played. @nbcsnl"
567110415097028608,2015-02-15 23:57:14 +0000,ActuallyNPH,Question: what you're favorite movie that wasn't - and shouldn't have been - nominated for an #oscar? My choice: The movie Clue.
567073653179695105,2015-02-15 21:31:09 +0000,ActuallyNPH,So fortunate to see You Can't Take It With You today on B'way. Closes 2/22. Wish it could play forever! Absolutely loved it! @CantTakeItBway
566805432409522176,2015-02-15 03:45:20 +0000,ActuallyNPH,"“@Obliviouswb: @ActuallyNPH From EW- CLUE?!  I LOVE that movie!  The cast, the quips, and multiple endings!” Right?!? Best. Movie. Ever."
566779817321050112,2015-02-15 02:03:33 +0000,ActuallyNPH,RT @Davidburtka: May this heart be with you! http://t.co/mYv5NzjG0A
566779584679792640,2015-02-15 02:02:37 +0000,ActuallyNPH,RT @Davidburtka: I am giving everyone a big kiss for Valentine’s Day!! http://t.co/nRz1B2OOGU
566758085864488960,2015-02-15 00:37:12 +0000,ActuallyNPH,"“@Davidburtka: I’ll think about it okay yes!” Yes! If my Valentine's night was now up for an Oscar, it'd be for Best Original Score!"
566733943282860034,2015-02-14 23:01:16 +0000,ActuallyNPH,"Hey @Davidburtka - Will you be my Valentine? Ok, I realize you're already my husband, but a 'yes' would sure make my day/night/life."
566694471027671041,2015-02-14 20:24:25 +0000,ActuallyNPH,Congrats to the North Carolina Powerball winner! Way to make winning an #Oscar seem that much less impressive. @TheAcademy
565757765503942656,2015-02-12 06:22:17 +0000,ActuallyNPH,"Rehearsals are intense for the Oscars.  And by rehearsals, I mean me singing
into a hairbrush in front of a mirror.  #Oscars2015 @TheAcademy"
565662914309554177,2015-02-12 00:05:22 +0000,ActuallyNPH,Had a tremendous meal last night at @MVinkLA. Massively impressed by food is both exquisite to look at and delicious. http://t.co/YS1IckPucT
565194758696349696,2015-02-10 17:05:05 +0000,ActuallyNPH,"Tonight, I'll be joining the hilarious @PaulGreenberg1 in the season finale of @IGIHollywood at 8:30e/p only on @AudienceDIRECTV #haunted"
564911479221420032,2015-02-09 22:19:26 +0000,ActuallyNPH,"Looking over the preparations for the #Oscars set. After last night, we've installed a second layer of Kanye-proofing, just in case."
564645368634167296,2015-02-09 04:42:01 +0000,ActuallyNPH,"As always, unbelievable respect for the crew working backstage at the Grammys. Changing out set after set - their work is amazing."
564640937444265985,2015-02-09 04:24:24 +0000,ActuallyNPH,"GAH! Our best of friends just had a child! Sorry Grammys, but the godfathers have to meet themselves a new baby! #goodnight"
564638346522030080,2015-02-09 04:14:06 +0000,ActuallyNPH,Hmmm. Jamie Foxx reading braille next to Stevie Wonder. Not sure how to feel about that.
564636966881206272,2015-02-09 04:08:38 +0000,ActuallyNPH,Amazing. Beck and Chris Martin sure did... stand there super well. So much energy!
564633565984342017,2015-02-09 03:55:07 +0000,ActuallyNPH,Sam Smith is awesome.
564633252409798656,2015-02-09 03:53:52 +0000,ActuallyNPH,Who knew Kristen Wiig was such an amazing dancer! Wait. I think someone put something in my drink. This ain't right. #whatishappening
564632215397482496,2015-02-09 03:49:45 +0000,ActuallyNPH,Shia Lebouf sure knows how to read a teleprompter.
564629664174325760,2015-02-09 03:39:36 +0000,ActuallyNPH,Prince is so shiny..!
564628624574119936,2015-02-09 03:35:29 +0000,ActuallyNPH,Sam Smith is awesome. Add Mary J. Blige- just wow.
564624638865469441,2015-02-09 03:19:38 +0000,ActuallyNPH,"""This would be a real good tiiiiime.. to take a nap."""
564622830851981313,2015-02-09 03:12:27 +0000,ActuallyNPH,"Just loving the Grammys. Thanks to CBS and Jack Sussman for creating such an amazing show, year in and year out. If you get a chance, GO!"
564621840144797696,2015-02-09 03:08:31 +0000,ActuallyNPH,Usher can sing. But did that harpist come from the Ariana Grande school of hair design?
564621501161168897,2015-02-09 03:07:10 +0000,ActuallyNPH,It's Ga Ga Game time! http://t.co/z8cYAQOT95
564618329323626496,2015-02-09 02:54:34 +0000,ActuallyNPH,Wow. That was awesome. @katyperry as Princess Leia has never sounded better.
564613686161973248,2015-02-09 02:36:07 +0000,ActuallyNPH,Pharrell just can't stop wearing shorts..! Is this a Wes Anderson movie? Does he work at the Grammy Budapest Hotel?
564612701398118401,2015-02-09 02:32:12 +0000,ActuallyNPH,"So @Davidburtka and I have agreed that if Nick Jonas responds to this tweet, our wedding vows will sort of kind of change a bit."
564612532845817857,2015-02-09 02:31:32 +0000,ActuallyNPH,"Annie Lennox is awesome. Not only can she sing, but her bird calls worked! They are everywhere! #don'tcare #standingovation"
564611728294412288,2015-02-09 02:28:20 +0000,ActuallyNPH,Annie Lenox makes everything better. Especially church.
564609393056960513,2015-02-09 02:19:03 +0000,ActuallyNPH,Adam Levine must be some sort of super hero person. Doesn't he want to have my baby?
564609156011663360,2015-02-09 02:18:07 +0000,ActuallyNPH,Gwen Stafani must be some sort of super hero person. Didn't she just have a baby??
564606054286110720,2015-02-09 02:05:47 +0000,ActuallyNPH,"I thought Beyoncé had a middle part, not a beehive. #goodtoknow"
