ID,Posted at,Screen name,Text
577602838467100673,2015-03-16 22:50:22 +0000,BBCBreaking,"Police probe into child abuse by former UK MP Cyril Smith scrapped after he was arrested, @BBCNewsnight told http://t.co/cj2ZG8OlzQ"
577557478889664512,2015-03-16 19:50:08 +0000,BBCBreaking,Glastonbury Festival organiser @emilyeavis confirms @kanyewest will headline the festival on the Saturday night http://t.co/GSGBAvu3NV
577546330018566144,2015-03-16 19:05:50 +0000,BBCBreaking,"One-year-old child dies after a lorry reportedly hit a wall which fell on the toddler, West Midlands police say http://t.co/vmyUH85zWC"
577543772160049152,2015-03-16 18:55:40 +0000,BBCBreaking,"Egyptian court hands down death sentence to Muslim Brotherhood leader Mohamed Badie and 13 others, state media say http://t.co/46YI8tQZEM"
577469086017388544,2015-03-16 13:58:53 +0000,BBCBreaking,RT @BBCSport: Gus Poyet has been sacked as Sunderland manager after 18 months in charge. http://t.co/AYrXtdvJXn
577427923969445888,2015-03-16 11:15:19 +0000,BBCBreaking,"18-year-old man arrested at his Birmingham home on suspicion of preparing to travel to Syria to join IS, police say http://t.co/VNZdu0DBjM"
577427244676726784,2015-03-16 11:12:37 +0000,BBCBreaking,Police watchdog to investigate alleged corruption in Met Police over child sex offences from 1970s to 2000s http://t.co/uBZuJQ0yTd
577423739819802624,2015-03-16 10:58:42 +0000,BBCBreaking,"Russian President Vladimir Putin appears at a meeting in St Petersburg, after rumours over his 10-day absence http://t.co/UY2bvR6VCa"
577257295849123841,2015-03-15 23:57:18 +0000,BBCBreaking,Three suspected Syria-bound UK teenage men arrested on suspicion of preparing terrorist acts are bailed http://t.co/mD58QQo21s
577188870141378560,2015-03-15 19:25:24 +0000,BBCBreaking,Families of three UK schoolgirls missing in Syria appeal in joint statement for their immediate safe return http://t.co/sf5tRxCo65
577165304989671424,2015-03-15 17:51:46 +0000,BBCBreaking,"Arrest made in connection with shooting of two police officers in restive city of Ferguson, Missouri police say http://t.co/xgHWLjao2m"
577128735419281410,2015-03-15 15:26:27 +0000,BBCBreaking,"3 teenage males who were stopped in Turkey on their way to Syria are now being held in London, the Met Police says http://t.co/CbMLrWcm0X"
577105939934896130,2015-03-15 13:55:52 +0000,BBCBreaking,Three UK teenage men are held by Turkish authorities who say they were on their way to Syria http://t.co/6dO6yk8ya5
577103591544078336,2015-03-15 13:46:32 +0000,BBCBreaking,"3 UK teenagers detained in Istanbul while planning to cross Turkish border into Syria to join Islamic State, Reuters says"
577095809780609024,2015-03-15 13:15:37 +0000,BBCBreaking,"US will ""have to negotiate in the end"" with Syrian President Bashar al-Assad, Secretary of State John Kerry says http://t.co/sA76LwXldG"
577024770002317312,2015-03-15 08:33:20 +0000,BBCBreaking,"Death toll in attack on churches in Lahore rises to 10, Pakistan medical officials say http://t.co/uhrYAtEidP"
577013157127974912,2015-03-15 07:47:11 +0000,BBCBreaking,"Pakistan Taliban splinter group says it carried out attack on churches in Lahore, which killed at least five people http://t.co/L04UbD03X2"
577004232357888000,2015-03-15 07:11:43 +0000,BBCBreaking,"Explosions have rocked a church in the Pakistani city of Lahore, killing at least two people, media reports say http://t.co/hlXNnvJCF0"
576906315018170368,2015-03-15 00:42:38 +0000,BBCBreaking,"Bus plunges off cliff in southern Brazil, at least 32 people feared dead http://t.co/jOKEDCoZM4"
