ID,Posted at,Screen name,Text
577575221043003394,2015-03-16 21:00:38 +0000,BarackObama,"Before this round ends, help decide who advances in the Climate Change Fantasy Tournament: http://t.co/O2fR9gnCxk #ChampionDenier"
577517330663677952,2015-03-16 17:10:36 +0000,BarackObama,"Thanks to #Obamacare, 16.4 million more Americans have the security of health coverage. http://t.co/BY6k3y3dZ2"
576741528334409728,2015-03-14 13:47:50 +0000,BarackObama,"In the weekly address, President Obama lays out his plan for quality, affordable higher education for all Americans: http://t.co/HlBdGKnxYl"
576500839767904256,2015-03-13 21:51:25 +0000,BarackObama,Read how the Obama administration is fighting state bans on same-sex marriage: http://t.co/uAjlQQ5jho #LoveIsLove
576429838279401472,2015-03-13 17:09:17 +0000,BarackObama,Time to weigh in—who deserves the #ChampionDenier title? http://t.co/Fyyz0hLnez
576405288837726208,2015-03-13 15:31:44 +0000,BarackObama,For real though: http://t.co/mjoOt7YfVz #CanILive
576151284757073920,2015-03-12 22:42:25 +0000,BarackObama,RT @JimmyKimmelLive: #TBT Just two dudes sharing a high five. Watch Jimmy interview President Obama TONIGHT on #Kimmel! #ObamaOnKimmel http://t.co/Qfnvw31ooa
576133874511519744,2015-03-12 21:33:14 +0000,BarackObama,"We've already tripled wind energy in America, but there's more we can do. http://t.co/elImYrEShN #SwitchToClean"
576104761679708160,2015-03-12 19:37:33 +0000,BarackObama,Who will take home the title of #ChampionDenier? Vote now: http://t.co/hFWKz1uKEf http://t.co/l8TGDshzIg
575764044138708993,2015-03-11 21:03:39 +0000,BarackObama,"RT @FLOTUS: If you submit a video on your high school and the @FAFSA, FLOTUS might speak at graduation. http://t.co/fOcbGMsSVU http://t.co/Kdj53brEKF"
575457817827500035,2015-03-11 00:46:49 +0000,BarackObama,ICYMI: Nearly 11.7 million Americans enrolled in health care through the open marketplace. http://t.co/tNREJaKtvH
575424033669283840,2015-03-10 22:32:35 +0000,BarackObama,"Solar power is growing at record rates, supporting American jobs and helping fight climate change: http://t.co/oTBPdkIBRH #SwitchToClean"
575399369370816513,2015-03-10 20:54:34 +0000,BarackObama,We're making big strides in combating climate change—but more can be done. #ActOnClimate http://t.co/VOhJDGMtMH
575360948346597376,2015-03-10 18:21:54 +0000,BarackObama,"""No matter who you are or where you come from, not only can you succeed, but you can help everybody else succeed."" —President Obama"
575360751453384705,2015-03-10 18:21:07 +0000,BarackObama,"""Inspire us. Lead us. Be the Americans that we need you to be."" —President Obama #CollegeOpportunity"
575360008067547136,2015-03-10 18:18:10 +0000,BarackObama,"""Change doesn't happen by itself. It happens because people get organized."" —President Obama"
575359157341020162,2015-03-10 18:14:47 +0000,BarackObama,"""You're not just investing in yourself—you're investing in your nation."" —President Obama #CollegeOpportunity"
575358846841061376,2015-03-10 18:13:33 +0000,BarackObama,"""We're trying to make sure that across the board more and more young people can afford to go to college."" —President Obama"
575358193557053440,2015-03-10 18:10:57 +0000,BarackObama,"""I sent Congress a bold new plan to bring down the cost of community college to zero."" —President Obama #CollegeOpportunity"
575357492235911169,2015-03-10 18:08:10 +0000,BarackObama,"""I'm only standing here because of scholarships and loans and work study."" —President Obama #CollegeOpportunity"
575357323637432320,2015-03-10 18:07:30 +0000,BarackObama,"""I believe America is not a place where higher education is a privilege reserved for the few."" —President Obama #CollegeOpportunity"
575356821247938560,2015-03-10 18:05:30 +0000,BarackObama,"""The ability to compete in the global economy depends on us having the world's most skilled, best educated workforce.""  —President Obama"
575356634781736960,2015-03-10 18:04:45 +0000,BarackObama,"""Your most valuable asset is your imagination."" —President Obama #CollegeOpportunity"
575356062678691840,2015-03-10 18:02:29 +0000,BarackObama,"""Today a college degree is the surest ticket to the middle class."" —President Obama #CollegeOpportunity"
575355922312138754,2015-03-10 18:01:56 +0000,BarackObama,"""After the worst economic crisis of our lifetimes, over the past five years our economy has created 12 million new jobs."" —President Obama"
575355612772478977,2015-03-10 18:00:42 +0000,BarackObama,"""I believe that higher education is one of the best investments anybody can make in their future."" —President Obama #CollegeOpportunity"
575353849248026624,2015-03-10 17:53:41 +0000,BarackObama,LIVE: President Obama is talking to students at @GeorgiaTech about how to make college in America more affordable. http://t.co/8Nb4gVygp2
575334394740674560,2015-03-10 16:36:23 +0000,BarackObama,Tune in at 1:30 p.m. ET to watch President Obama discuss college affordability at @GeorgiaTech: http://t.co/SFwboCIk9b
