ID,Posted at,Screen name,Text
575568233215959041,2015-03-11 08:05:34 +0000,BeingSalmanKhan,viji's story http://t.co/6KNtnXjtSB
575567203858276353,2015-03-11 08:01:29 +0000,BeingSalmanKhan,RT @vijivenkatesh: Glaucoma is incurable & lost vision cannot be restored.Early diagnosis is the only key to save and preserve vision. #WorldGlaucomaWeek
565178422725312513,2015-02-10 16:00:11 +0000,BeingSalmanKhan,Its the first BH store in Hyderabad .
565133768948584448,2015-02-10 13:02:44 +0000,BeingSalmanKhan,Being Human clothing opens its 33rd exclusive store in Hyderabad at Inorbit mall Hitech city .
560000891437064192,2015-01-27 09:06:31 +0000,BeingSalmanKhan,#BeingHumanClothing now available on the South African website http://t.co/P9R1C3xvck .
559729401999667200,2015-01-26 15:07:43 +0000,BeingSalmanKhan,Hindustan k peoples  mai hai bada dum  VANDE MATARAM .
559332913050038272,2015-01-25 12:52:13 +0000,BeingSalmanKhan,Dolly ki doli Mouth publicity se  collections aaj  have picked up. Glad u guys hv liked the film n spoken abt it.Wah yaar kamal karte ho aap
558682856965554176,2015-01-23 17:49:07 +0000,BeingSalmanKhan,@sumus071
558588862487089152,2015-01-23 11:35:37 +0000,BeingSalmanKhan,Thank uuuuuuuuuu . U r amazing . http://t.co/ApPse8UMBP
558161031743012864,2015-01-22 07:15:34 +0000,BeingSalmanKhan,Want to find out ki aakhir Dolly hai kiski? May be this will give you some clue : http://t.co/kMr5lEUiq3
557964058151116800,2015-01-21 18:12:52 +0000,BeingSalmanKhan,"Good nite . Shub ratri , shabba khair ."
557963917906173955,2015-01-21 18:12:19 +0000,BeingSalmanKhan,Abb so jao . Kal dolly ki dolly ko uthana hai .
557963762515603456,2015-01-21 18:11:42 +0000,BeingSalmanKhan,See it . Its too much fun like I said
557963593455771648,2015-01-21 18:11:01 +0000,BeingSalmanKhan,Dekh k bolna k mai jhoot bolria ? Koi na k mai kufr toliya ? Koi na .
557963283379286017,2015-01-21 18:09:47 +0000,BeingSalmanKhan,The whole bajrangi bhaijaan team watched the movie in a theatre close to us abt 35 km frm us n v loved it . Ma kasaam
557962989023035392,2015-01-21 18:08:37 +0000,BeingSalmanKhan,"Dialogues , script the word is superb . U guys wld love it"
557962812438642689,2015-01-21 18:07:55 +0000,BeingSalmanKhan,Varun
557962776044658688,2015-01-21 18:07:46 +0000,BeingSalmanKhan,Raj kumar
557962725289377793,2015-01-21 18:07:34 +0000,BeingSalmanKhan,Sonam kapoorrrrrrrrrrr
557962645090103297,2015-01-21 18:07:15 +0000,BeingSalmanKhan,Pull kit
557962600160714752,2015-01-21 18:07:04 +0000,BeingSalmanKhan,Abhishek dogra as director
557962417679126528,2015-01-21 18:06:21 +0000,BeingSalmanKhan,Arbaaz as producer
557962293770981376,2015-01-21 18:05:51 +0000,BeingSalmanKhan,Funnn
557962242512404480,2015-01-21 18:05:39 +0000,BeingSalmanKhan,Much
557962213961773057,2015-01-21 18:05:32 +0000,BeingSalmanKhan,Toooo
557962191983620096,2015-01-21 18:05:27 +0000,BeingSalmanKhan,Challo mat poocho but ja k dekho . Its
557961990527008769,2015-01-21 18:04:39 +0000,BeingSalmanKhan,Arre kya yaar
557961944381276160,2015-01-21 18:04:28 +0000,BeingSalmanKhan,Nahi ?
557961889867894785,2015-01-21 18:04:15 +0000,BeingSalmanKhan,Poocha ?
557961799321272320,2015-01-21 18:03:54 +0000,BeingSalmanKhan,Jst watched dolly ki dolly . Poocho kaisi lagi .
557041447828877312,2015-01-19 05:06:45 +0000,BeingSalmanKhan,"Courier Service chahiye... 4 days wait karne padega...
http://t.co/4kn5zrjiCs"
556006551694364673,2015-01-16 08:34:26 +0000,BeingSalmanKhan,Wah yaar kamaal kar diya makhand chand pandey n pulkku .
556006202904428545,2015-01-16 08:33:03 +0000,BeingSalmanKhan,https://t.co/xxDqcYLTHt
551776136381071361,2015-01-04 16:24:17 +0000,BeingSalmanKhan,Best of luck guys . Like I said I vil b watching u . http://t.co/T2oC6BWCcG
551774468004409344,2015-01-04 16:17:39 +0000,BeingSalmanKhan,"Well done farah , well done ."
550321364809166848,2014-12-31 16:03:32 +0000,BeingSalmanKhan,4/4 : its worth a visit . i'm surely  going back for more .
550320433674063872,2014-12-31 15:59:50 +0000,BeingSalmanKhan,3/4 : v did a camp this week and i kept my promise and went to jacqueline's restaurant.
550318743016837120,2014-12-31 15:53:07 +0000,BeingSalmanKhan,2/4 : while shooting KICK jacqueline told me if v do another eye camp in sri lanka i should visit her restaurant also.
550318323506745345,2014-12-31 15:51:27 +0000,BeingSalmanKhan,1/4 :  during d READY schedule in sri lanka v hd dn an eye camp there .
549910481130250241,2014-12-30 12:50:50 +0000,BeingSalmanKhan,is P K not an amazzziiiiing film?
549871582685171712,2014-12-30 10:16:16 +0000,BeingSalmanKhan,25yrs 1 day .
548697611629101057,2014-12-27 04:31:19 +0000,BeingSalmanKhan,Birthday cake pic for u . http://t.co/eyRACm0XLN
547373634340552705,2014-12-23 12:50:18 +0000,BeingSalmanKhan,Saaf karne k baad same amount of garbage thrown bak thr thats quiet sad . http://t.co/EGkkG5uxML
