ID,Posted at,Screen name,Text
576591461149347840,2015-03-14 03:51:31 +0000,BrunoMars,https://t.co/PVHYrhrK7m @TrinidadJamesGG #REMIX !!!!!!!!!
576490443145285632,2015-03-13 21:10:06 +0000,BrunoMars,“@TheEllenShow: How do you throw a party for Bruno Mars? You planet. #ClassicJokeFriday” I see what you did there... and I'm feelin it.
576258366802034688,2015-03-13 05:47:55 +0000,BrunoMars,@Joe_Gatto Preeshiate chu Pyyymp!
576235091954941952,2015-03-13 04:15:26 +0000,BrunoMars,That new fire! https://t.co/SRhccQV7WO
574081563345879040,2015-03-07 05:38:05 +0000,BrunoMars,I'm writing songs again. :)
574080447228968960,2015-03-07 05:33:39 +0000,BrunoMars,@sylviaraymond13 that was too sweet! Thank you
574080257264746497,2015-03-07 05:32:53 +0000,BrunoMars,"RT @sylviaraymond13: @BrunoMars  hope uve been enjoying ur life because u need to while ur young and healthy, just always take care of ur body go for yearlyckups"
571469971932356608,2015-02-28 00:40:33 +0000,BrunoMars,We love you @TheRealNimoy
570704996674592768,2015-02-25 22:00:49 +0000,BrunoMars,Aaaaaaayyyyyyy! Congrats @MarkRonson Thank you to everyone for making this happen #BRITAWARDS
568193383342026753,2015-02-18 23:40:33 +0000,BrunoMars,"RT @tomisha2009: ""@85hooligan: WOW 😂😂 @BrunoMars https://t.co/fopg4QWp3C"" lmao that high pitch 😂😂😂😂"
567096477554454528,2015-02-15 23:01:51 +0000,BrunoMars,Happy Anniversary to the most iconic show on television @nbcsnl
567053321844703232,2015-02-15 20:10:21 +0000,BrunoMars,I've watched Whiplash twice this week. So Good.
566099103000850432,2015-02-13 04:58:38 +0000,BrunoMars,Happy B-Day to The Judge @JoHnJohnThE1
565314844795355136,2015-02-11 01:02:16 +0000,BrunoMars,Just posted a photo http://t.co/z8LVwauhXd
565222256695967744,2015-02-10 18:54:21 +0000,BrunoMars,The super squad @MarkRonson and @ItsMystikal are performing on @jimmyfallon Tonight! Make sure you tune in! #FeelRight
564198144791937024,2015-02-07 23:04:54 +0000,BrunoMars,If you're reading this you're awesome.
563540280125583360,2015-02-06 03:30:47 +0000,BrunoMars,"RT @BrunoMarsLately: ""There are two types of men in the world and Brandon Creed is neither."" - Bruno Mars on his manager, Brandon Creed"
562418641900011520,2015-02-03 01:13:48 +0000,BrunoMars,RT @jdjh1861: @DwayneDuggerII @BrunoMars http://t.co/W8mQOzOO00
562415508297748480,2015-02-03 01:01:21 +0000,BrunoMars,@G0ldenStar_  when I say get the stretch you better get that damn stretch.
