ID,Posted at,Screen name,Text
577599126990417921,2015-03-16 22:35:37 +0000,CNN,"Robert Durst, featured on @HBO's 'The Jinx,' was recorded remarking that he ""killed them all."" http://t.co/D6QbGuNBHG http://t.co/XjI6X4aNd0"
577594054097125376,2015-03-16 22:15:28 +0000,CNN,"RT @EricWeisbrod: If Snapchat is your news platform of choice, you can view #BeingMoody there. Or here: http://t.co/GlRPMcLCG6 @moody https://t.co/HjjHgofk38"
577593936287539200,2015-03-16 22:15:00 +0000,CNN,"RT @CNNOpinion: Israel's occupation is the elephant in the room, says @levy_haaretz http://t.co/KTOqZjcDBF #IsraelElections http://t.co/o6wG6FGlgs"
577592551865200640,2015-03-16 22:09:30 +0000,CNN,RT @cnnireport: Seen any proof of spring? Tag #CNNSpring to be featured at http://t.co/Dg12QWIZ1d http://t.co/82z0HGSdwq
577590620174327808,2015-03-16 22:01:49 +0000,CNN,RT @CNNMoney: These are America's worst cities for renters http://t.co/ZzevPMBX2v By @ben_rooney http://t.co/lDlNdIHKAX
577585098113024000,2015-03-16 21:39:53 +0000,CNN,A stockpile of a chemical agent is about to be destroyed. Learn more in CNN's latest edition on @Snapchat. https://t.co/9HgvY5fLm2
577571663535013888,2015-03-16 20:46:30 +0000,CNN,RT @CNNFilms: Coming Wednesday! @raisingryland on @CNN #Raisingryland #shortfilm sneak peek here-> http://t.co/ofTII5R49m http://t.co/AAhPEjpkND
577562326792081408,2015-03-16 20:09:23 +0000,CNN,"The public is divided over Hillary Clinton's email practices, a CNN poll shows: http://t.co/Fx1v78yROp @CNNPolitics http://t.co/ze30O14GMI"
577560840280367104,2015-03-16 20:03:29 +0000,CNN,"No Palestinian state on my watch, Israel's Prime Minister Benjamin Netanyahu says:  http://t.co/YrKUta5pVV http://t.co/lVxVubLv3v"
577540829314678786,2015-03-16 18:43:58 +0000,CNN,RT @CNNVideo: .@Dixontopfuel relives his car flipping at 300 mph on @Newday. Watch: http://t.co/rZ0IlJUHpv
577539674828328963,2015-03-16 18:39:23 +0000,CNN,RT @CNNPolitics: Scott Walker's PAC says that Jeb Bush isn't the only one who can raise money http://t.co/ycYd3fkqZX
577539419814645760,2015-03-16 18:38:22 +0000,CNN,"The death toll from Cyclone Pam in #Vanuatu has risen to 24, a U.N. agency says. http://t.co/HF306gVdXq http://t.co/GOEdFOJKpu"
577537406305374208,2015-03-16 18:30:22 +0000,CNN,.@BlackBerry has released a new smartphone designed by Porsche: http://t.co/ZhblSilxRy via @CNNMoney http://t.co/ECNUyGR50w
577522276263854080,2015-03-16 17:30:15 +0000,CNN,"From the microwave to super glue, these are 20 cool things the U.S. gave the world: http://t.co/cmue2aWLxF http://t.co/w9Uhy3J6lU"
577517095526752256,2015-03-16 17:09:39 +0000,CNN,"RT @cnnireport: Video from #Vanuatu village shows #CyclonePam's path of destruction via @WorldVision http://t.co/NrGIiSl7zD
https://t.co/ej3RyJWrVF"
577514652382412800,2015-03-16 16:59:57 +0000,CNN,RT @CNNPolitics: Want to drink like an American (and be historically accurate)? http://t.co/4zRpVb3bex #BeingMoody http://t.co/O1ou79MiSy
577511253544808448,2015-03-16 16:46:27 +0000,CNN,"Worried of people seeing your texts? This app helps keep them secret: http://t.co/Ux57OOcic2 #cnninstantstartups
https://t.co/7pt8K7zw5f"
577499790923186176,2015-03-16 16:00:54 +0000,CNN,"RT @cnntech: This is BlackBerry's new $2,000 smartphone http://t.co/fGhCYG0udO via @DavidGoldmanCNN http://t.co/tKFIxJkkwy"
577496238360305665,2015-03-16 15:46:47 +0000,CNN,RT @drsanjaygupta: ever wonder WHY #ebola isn't airborne? let me show you: http://t.co/uMTKFlqFnf http://t.co/mZHQkO4UyO
577477757577236480,2015-03-16 14:33:21 +0000,CNN,"U.S. to destroy its remaining stockpile of a chemical agent that can blister skin & lungs: http://t.co/Lf3u9QxynW
https://t.co/oKJr9a6CMM"
577463628128882689,2015-03-16 13:37:12 +0000,CNN,"3 teens suspected of trying to join #ISIS face terror charges after being detained: http://t.co/adQ4VNvdE9
https://t.co/gCzamERCES"
577445986789957632,2015-03-16 12:27:06 +0000,CNN,"RT @CNNMoney: #Macau has been a gambler's paradise, but an anti-corruption crackdown is crimping its economy http://t.co/ivBFwybnnT http://t.co/SThsXRTJH7"
577445771546652672,2015-03-16 12:26:15 +0000,CNN,"After an unexplained 10-day absence, Vladimir Putin has made a public appearance: http://t.co/lG7SQ8WUQS http://t.co/aOW80hkKG9"
577439678418259968,2015-03-16 12:02:02 +0000,CNN,"The Pentagon is looking to develop a high-priority, super-classified, next-generation bomber: http://t.co/5jizCe2fcP http://t.co/PYsOOLaoui"
577417128594259968,2015-03-16 10:32:26 +0000,CNN,Aid workers scramble to help Cyclone Pam victims in Vanuatu: http://t.co/PmVmrl6RZW http://t.co/S9oQhF8zqj
577408328663482368,2015-03-16 09:57:27 +0000,CNN,"RT @EarlyStart: Situation is ""worse than the worst-case scenario"" as aid workers scramble for #Vanuatu victims http://t.co/zyk0B41V5S http://t.co/q1tapnRm7q"
577408319352123392,2015-03-16 09:57:25 +0000,CNN,RT @CNNPolitics: McConnell: No Lynch vote unless Democrats relent on bill http://t.co/J0aEj11QMo
577405550255800320,2015-03-16 09:46:25 +0000,CNN,Did real estate heir Robert Durst admit to killings? http://t.co/Vgs2vzOHI1
577402601207136256,2015-03-16 09:34:42 +0000,CNN,"RT @EarlyStart: A documentary microphone catches millionaire #RobertDurst saying he ""killed them all"" http://t.co/O76Zwa3mZO #TheJinx http://t.co/wFY8PHS0Xz"
577399324742668288,2015-03-16 09:21:41 +0000,CNN,RT @NewDay: Where is #Putin? He hasn't been seen publicly in days. Will he turn up today? #5Things http://t.co/rj2ATNGNNa http://t.co/XXP6etd9DV
577396433080492033,2015-03-16 09:10:11 +0000,CNN,"RT @CNNMoney: There's nothing wrong with ""smaller misshapen produce that tastes great"" says this chain
http://t.co/qs3uMIHkhH http://t.co/H3wKdosOLz"
577393191177097216,2015-03-16 08:57:18 +0000,CNN,RT @itsjoesutton: Report: LAPD officers may have been targeted in Sunday night shooting - http://t.co/6gQrsefLKs
577391986459746304,2015-03-16 08:52:31 +0000,CNN,"RT @CNNMoney: Want to be a @CIA spy? Don't do these things
http://t.co/BVl4Zf79I0 http://t.co/Vps58sh2SZ"
577297352857415680,2015-03-16 02:36:29 +0000,CNN,"RT @IvanCNN: Boys standing near their ruined neighborhood, flooded after River Prima flooded its banks in Cyclone Pam
#Vinuatu http://t.co/fsgnheRsKp"
577297280954400768,2015-03-16 02:36:12 +0000,CNN,"RT @BillWeirCNN: Can still taste Antiope's amazing cooking. So fresh.
#TheWonderList"
577297185265618945,2015-03-16 02:35:49 +0000,CNN,RT @CNNOrigSeries: Explore more about the longevity of Ikaria's inhabitants at http://t.co/pfZtPpSLZx. https://t.co/OiFe3YWHV8 #TheWonderList
577273865501589504,2015-03-16 01:03:09 +0000,CNN,Support grows for Elton John’s campaign to boycott Dolce & Gabbana. http://t.co/QbWx2I51t0
577258511500996608,2015-03-16 00:02:08 +0000,CNN,"Before the Internet, before Pac-Man, they were #hackers. #shortfilms on @CNN #cnndigitalshorts http://t.co/pPkoKnPzvi http://t.co/PHpf2h7rzC"
577240169205600256,2015-03-15 22:49:15 +0000,CNN,"RT @cnnbrk: Kentucky, Villanova, Duke and Wisconsin earn No. 1 seeds in NCAA tournament selection. http://t.co/wxyKtv1Lln http://t.co/dyC51IGGvh"
577235336402591744,2015-03-15 22:30:03 +0000,CNN,Does an ancient codex answer why Judas betrayed Jesus? Investigate on #FindingJesus tonight http://t.co/T0h4D7vn9O http://t.co/VwWGm3oqH7
577215462167175168,2015-03-15 21:11:04 +0000,CNN,Aid workers scramble to help Cyclone Pam victims in island chain of Vanuatu. http://t.co/wK4g2iuCF8 http://t.co/lE1N7wVhRb
577205395577544704,2015-03-15 20:31:04 +0000,CNN,"""Cinderella"" opens with an estimated debut of $70.1 million.http://t.co/SzCs9xJXdL http://t.co/8Mr8ZqlWP9"
577190071020851200,2015-03-15 19:30:11 +0000,CNN,"What's the secret to a long, happy life? Comes down to 3 things on #TheWonderList w/@BillWeirCNN tonight at 10 ET/PT https://t.co/OVNE3ATMJ1"
577177185875857408,2015-03-15 18:38:59 +0000,CNN,"RT @cnnbrk: Police make arrest in last week's shooting of two police officers in Ferguson, Missouri. http://t.co/7TpSQlb5Tp"
577165985691619328,2015-03-15 17:54:28 +0000,CNN,RT @CNNInternatDesk: Secretary of State John Kerry has arrived in Switzerland and will hold a meeting this evening with Iranian Foreign Minister Zarif.
577144740186976257,2015-03-15 16:30:03 +0000,CNN,Need a mini mental getaway? Explore some of the world's most incredible sites http://t.co/ycgKmdgHeq #TheWonderList http://t.co/7M1RgAEqUc
577144478751956992,2015-03-15 16:29:01 +0000,CNN,@justinbieber showed some humility after his uproarious @comedycentral roast http://t.co/Ld5EKVSmUV http://t.co/o4Uqi14rGB
577143364522475521,2015-03-15 16:24:35 +0000,CNN,RT @CNNMoney: Check out #Goodyear's novel idea to power electric cars http://t.co/Ouci07YxZ4  @GoodyearBlimp http://t.co/9Li9njXbQK
577143135425396736,2015-03-15 16:23:40 +0000,CNN,RT @CNNPolitics: The best memes celebrating Justice Ginsburg's birthday #RBG http://t.co/rjLxT5nZ8s http://t.co/pYCAK14gBR
577125649653071873,2015-03-15 15:14:12 +0000,CNN,RT @CNNsotu: Mitch McConnell tells @DanaBashCNN Loretta Lynch nomination won't be brought up till after the Human Trafficking bill. Exclusively on CNN.
577125132520538112,2015-03-15 15:12:08 +0000,CNN,"RT @cnni: British teens detained in Turkey after being intercepted en route to Syria, UK police say: http://t.co/9P2g0zauBp"
577122048968953856,2015-03-15 14:59:53 +0000,CNN,"RT @cnnbrk: Real estate heir Robert Durst arrested on warrant out of L.A. County. He is subject of HBO documentary ""The Jinx."" http://t.co/DcJdz2QXiR"
577108244180672512,2015-03-15 14:05:02 +0000,CNN,RT @CNNPolitics: Mitch McConnell rebukes Iran letter criticism http://t.co/p6PGJVzH4x http://t.co/x1pJz54FYo
576881767312834560,2015-03-14 23:05:05 +0000,CNN,Reporter's notebook: @MaxFosterCNN on what it's like to interview Prince Charles and Camilla http://t.co/nQ3hJJhMcr http://t.co/ak4sg169Wd
576854119123562496,2015-03-14 21:15:14 +0000,CNN,"Prince Charles opens up on Camilla, love and life ahead of #RoyalVisitUSA: http://t.co/kS8HaK32WV http://t.co/qKFgS1PCLV"
576845883008016386,2015-03-14 20:42:30 +0000,CNN,"RT @CNNFilms: World premiere of @alexgibneyfilm's #ManInTheMachine at #SXSW2015 (Perfect spot to truncate the title, right?) http://t.co/vpACZ9Ltkv"
576845500672008192,2015-03-14 20:40:59 +0000,CNN,RT @cnnbrk: CDC: Americans being flown home from Sierra Leone for Ebola concerns. http://t.co/w0Sbt8gKgu
576833122018435072,2015-03-14 19:51:47 +0000,CNN,Her speech slurred and she forgot her co-workers' names. That was the scary moment her brain tumor symptoms set in. http://t.co/si97Rg9FkL
576828601741475840,2015-03-14 19:33:50 +0000,CNN,RT @cnnireport: A panoramic view of the aurora borealis dancing over lava fields in Iceland http://t.co/9WjBBvDzQh by @SiggiPhoto http://t.co/Q774nzl06b
576822182212472832,2015-03-14 19:08:19 +0000,CNN,RT @BleacherReport: Reggie Bush reportedly reaches an agreement with the @49ers http://t.co/ogHWknlX3R http://t.co/4ZkkIK09BW
576816530593296384,2015-03-14 18:45:52 +0000,CNN,New U.S. stealth bomber shrouded in mystery. What will its capabilities be?  http://t.co/TLVOxZ72wj http://t.co/6OL9uD7vrs
576808940857659392,2015-03-14 18:15:42 +0000,CNN,"RT @CNNMoney: .@richardbranson's racing team is... all electric 
Watch now: LIVE w/@RachCrane   http://t.co/p7sPFGjDb6 @FIAformulaE http://t.co/aGJAa9AzCE"
