ID,Posted at,Screen name,Text
577472057430003712,2015-03-16 14:10:42 +0000,Drake,The Drake Homecoming film is not something OVO or Drake have any part in. I feel it is my responsibility to inform and protect my fans.
574667176050835457,2015-03-08 20:25:06 +0000,Drake,Excited to be performing for the first time ever in Dubai on March 14th at the Dubai International Cricket Stadium
569026258845085696,2015-02-21 06:50:06 +0000,Drake,What do you want to hear on the New Zealand/Australia tour dates?
566386350182891522,2015-02-14 00:00:03 +0000,Drake,http://t.co/KcZooNtBY6 http://t.co/raFiw5dx4I
566085353400852480,2015-02-13 04:04:00 +0000,Drake,http://t.co/KcZooNLcPE http://t.co/s6krTAeuke
565859748579659777,2015-02-12 13:07:31 +0000,Drake,http://t.co/a0b67CTncU
565282564571938816,2015-02-10 22:54:00 +0000,Drake,PND ain't wit the ray tay tay.
565267415849000961,2015-02-10 21:53:48 +0000,Drake,Happy birthday to @UKCoachCalipari! Thank you for everything you have done for me. You are a RARE breed. GO CATS GO. #UKvsLSU
563995236188581888,2015-02-07 09:38:37 +0000,Drake,I hope one day you gain an understanding of how this goes...we wrote it in code then wrote it in stone. Suh it go.
563440233111646209,2015-02-05 20:53:14 +0000,Drake,*67
563360483726471168,2015-02-05 15:36:20 +0000,Drake,RT @complex_uk: Mario Balotelli and Daniel Sturridge vibed out to Drake after training today http://t.co/YWXg3fvH9M https://t.co/KiJsniWOrX
562294227569082370,2015-02-02 16:59:25 +0000,Drake,We gon see...
561164723035447296,2015-01-30 14:11:10 +0000,Drake,"Wireless, Coachella, and Gov Ball...Blessed."
561094302877491200,2015-01-30 09:31:21 +0000,Drake,way way way...blessings.
558505827795877888,2015-01-23 06:05:40 +0000,Drake,"RT @Klow7: Proud to rep this jersey in NYC for the @Raptors, T-Dot and Canada @NBAAllStar  #WeTheNorth http://t.co/RdD2jhO5Hj"
558505730932609024,2015-01-23 06:05:17 +0000,Drake,Congrats to my brother Kyle Lowry @Klow7 on making the All Star East!! Well deserved.
558502958287949825,2015-01-23 05:54:16 +0000,Drake,https://t.co/VbuS7XWUvr @chillygonzales
558143260829691905,2015-01-22 06:04:57 +0000,Drake,@VictoriaJustice on that wave. Love.
