ID,Posted at,Screen name,Text
577572770973892610,2015-03-16 20:50:54 +0000,FCBarcelona,[CLUB] Bartomeu takes part in a meeting of UEFA’s Professional Football Strategic Committee http://t.co/jBcVhYIcIp http://t.co/21REUgvFRO
577548986447491075,2015-03-16 19:16:23 +0000,FCBarcelona,[CLUB] FC Barcelona support Barcelona in Business of Design Week in Hong Kong http://t.co/XMH0AvLZbg http://t.co/hM89qhYv7E
577545051624108033,2015-03-16 19:00:45 +0000,FCBarcelona,Find out how to play #6degreesFCB for Barça-City at http://t.co/RWyFYBg1EJ Try it out with Joe Hart - @C1audioBravo http://t.co/KE2YLBLp44
577534029395804161,2015-03-16 18:16:57 +0000,FCBarcelona,[TICKETS] Process for Clásico tickets for members without season tickets opens Friday http://t.co/vapcoPD3ax http://t.co/F4IMSvvxWB
577530289330757633,2015-03-16 18:02:05 +0000,FCBarcelona,RT @ChampionsLeague: .@FCBarcelona forward @LuisSuarez9 reveals his first #UCL memory. What's yours? http://t.co/W6ybMQxFae http://t.co/PzKkhbXrmI
577513725462257664,2015-03-16 16:56:16 +0000,FCBarcelona,How to join in with Six Degrees of Separation Barça-City at http://t.co/RWyFYBg1EJ Try it out with Hart-Bravo http://t.co/XrcnFBlbaH
577503068385882112,2015-03-16 16:13:55 +0000,FCBarcelona,[VIDEO] Leo Messi appears in new Beko commercial http://t.co/o53DoUEcVx http://t.co/iy7iS0I3m9
577454548790423552,2015-03-16 13:01:07 +0000,FCBarcelona,[HIGHLIGHTS] See all the top plays from @FCBarcelona's 2–0 win over Eibar:   http://t.co/mKg7G4BfEB #EibarFCB http://t.co/WUidvBn3o4
577422917060939777,2015-03-16 10:55:26 +0000,FCBarcelona,#FCBCity Take the FC Barcelona v Manchester City test http://t.co/0Ihrma4GRO http://t.co/l4JIrLpidX
577303541796204544,2015-03-16 03:01:04 +0000,FCBarcelona,[VIDEO] Behind-the-scenes footage from the #FCBCity Champions League first leg. http://t.co/ORTkugsjSx #FCBarcelona http://t.co/6Zqa4kKX4I
577288523595825153,2015-03-16 02:01:24 +0000,FCBarcelona,"[RIVAL WATCH] @FCBarcelona still leaders, Real Madrid win, Atlético draw, Man City lose. http://t.co/UhhJXNFkaZ http://t.co/ohoOQ2bkvA"
577280848615063552,2015-03-16 01:30:54 +0000,FCBarcelona,[EXCLUSIVE PHOTOS] Check out behind-the-scenes images from @FCBarcelona's 2–0 win at Eibar: http://t.co/s1pOYhqdRQ http://t.co/6Ph5k6YtJC
577265560968380416,2015-03-16 00:30:09 +0000,FCBarcelona,[PHOTOS] Check out the best images from Sunday's @FCBarcelona training session: http://t.co/NdxjxZHEJv #FCBarcelona http://t.co/RXMg2b07Y6
