ID,Posted at,Screen name,Text
570996916466528256,2015-02-26 17:20:48 +0000,JimCarrey,"Takin' a break.This may cause a vacuum,a personality black hole of sorts.Don't panic.I'll twt u when I resurface. ;^) http://t.co/L4MUKwCx4c"
569985837074554880,2015-02-23 22:23:08 +0000,JimCarrey,"Look! I'm more interesting than the Oscars while plunked on my couch eating chips. MY SPIRIT WILL NOT BE IGNORED! ;^P
http://t.co/ey6CnmbwEE"
567412031406747648,2015-02-16 19:55:44 +0000,JimCarrey,"So grateful 2 be included among the greatest comic talent of the last 4 gens on SNL 40th anniversary and 2 all of u 4 putting me there. 
;^)"
566134993802366976,2015-02-13 07:21:15 +0000,JimCarrey,"""Daddy... will the iCloud eventually block out the sun?"" ;^\"
550342739041071104,2014-12-31 17:28:28 +0000,JimCarrey,"Just to get a edge on the competition in 2015, I'm gonna start celebrating on the count of 7! MUAHAHA! Not really. #HappyNowYear <];^P"
549304422468038656,2014-12-28 20:42:34 +0000,JimCarrey,"I wish you all freedom from past regrets, fear of the future and the illusion of time itself. Don't wait for a countdown. #HappyNowYear ;^)"
547573998305808384,2014-12-24 02:06:29 +0000,JimCarrey,http://t.co/HvonxqGNGa
546940768636510208,2014-12-22 08:10:15 +0000,JimCarrey,Feeling powerless? Don't worry. The real slaves are the ones who own us. ;^P
546212885278388225,2014-12-20 07:57:54 +0000,JimCarrey,@NickelodeonGenX Great snowman! (:^•)( • )(   );
546211539779194880,2014-12-20 07:52:33 +0000,JimCarrey,@_kdev May you live long enough to forgive your parents for not loving you. ;^)
546030246995058688,2014-12-19 19:52:10 +0000,JimCarrey,Smell a white avatar.  ?;^}>
546029734430121984,2014-12-19 19:50:08 +0000,JimCarrey,"@susiewong2008 Helloooo there, Oliver! What's shakin' bacon?  ?;^}>"
545631297150791680,2014-12-18 17:26:53 +0000,JimCarrey,"@PauullyB 150 kids were murdered by the taliban yesterday,creating unimaginable dispair, but I'm sorry you lost your fried dough balls. 
;^\"
545007327883960321,2014-12-17 00:07:27 +0000,JimCarrey,"Some laugh at the jokes. Some wonder who I am. I gave you a clue, 'a live saltwater ham.' http://t.co/esX26fTNT8"
544971378613432321,2014-12-16 21:44:36 +0000,JimCarrey,@RullinaticasR That's really cool. Spanks! ;^•
544965540511379456,2014-12-16 21:21:24 +0000,JimCarrey,"@RosieD0325 I'm also french and irish, Catherine. ;^}"
544664299289858048,2014-12-16 01:24:22 +0000,JimCarrey,RT @shane94uk: @JimCarrey is one bloody funny fucker!
544644263246434304,2014-12-16 00:04:46 +0000,JimCarrey,"@Chillsons if you don't pea yourself, I've failed, Peter. ?B^}>"
544643344454787072,2014-12-16 00:01:06 +0000,JimCarrey,"@menzies20 I'm 1/3 scottish. So spank you kindly, cousin! ;^>"
544642414816681984,2014-12-15 23:57:25 +0000,JimCarrey,"@BazRobinson87 Spank you kindly, Baz! ;^}"
544641846891143169,2014-12-15 23:55:09 +0000,JimCarrey,@KaterinaRey_ Back at you pretty face! ;^)
544641553440854017,2014-12-15 23:53:59 +0000,JimCarrey,@MissMoonwalkerr Double decker dumb! ;^D
544641199793909760,2014-12-15 23:52:35 +0000,JimCarrey,@Byrne15Gary I love everything Irish! ;^•
544639592146534400,2014-12-15 23:46:12 +0000,JimCarrey,"@chanbunnyy Wow, Chan! I'm deeply honored, glad to be a part of your world. #goodness ;^)"
543851916459909120,2014-12-13 19:36:15 +0000,JimCarrey,Wealth and fame come from asserting your individuality. Peace comes from knowing there is no such thing. http://t.co/ULzxzHWomu
543827898226851841,2014-12-13 18:00:49 +0000,JimCarrey,This is my favorite fan site. Feel free to deja view it! https://t.co/1gKF49vgQv ;^•
543450404801900544,2014-12-12 17:00:47 +0000,JimCarrey,Maurizio Cattelan recently paid a visit to my art studio. http://t.co/0x2z1lOJQy ?;^[]}
