ID,Posted at,Screen name,Text
577579367305342976,2015-03-16 21:17:06 +0000,KevinHart4real,#ElevatorChronicles #DopePic #ComedicRockstarShit #GetHard #HittingTheatersMarch27 http://t.co/kyNhP35DWN
577529597803110400,2015-03-16 17:59:20 +0000,KevinHart4real,Thanks for the questions! Go see me and Will Ferrell in #GetHard March 27th!!! #GetHardChat @GetHardMovie
577529495839592448,2015-03-16 17:58:56 +0000,KevinHart4real,.@Shaeman111 Will Ferrell loves staring into my bigl chocolate brown eyes... #GetHardChat https://t.co/Q061wxECoT
577529430119038976,2015-03-16 17:58:40 +0000,KevinHart4real,. @vG_Skellyy Will Ferrell's gangsta skills... #GetHardChat https://t.co/O9MZuS4GFW
577529328239398912,2015-03-16 17:58:16 +0000,KevinHart4real,.@hunting_ari Guess our spirit animals!! #GetHardChat https://t.co/W1QcNiXSOr
577529242524618752,2015-03-16 17:57:56 +0000,KevinHart4real,.@Sciasci_XXX Funniest #GetHard scene??? #GetHardChat https://t.co/QZQwT9eG1q
577529160316260352,2015-03-16 17:57:36 +0000,KevinHart4real,. @summer0001 Me and Will Ferrell in 3 words #GetHardChat https://t.co/nmt84C0vNm
577519758200872962,2015-03-16 17:20:14 +0000,KevinHart4real,GET HARD MOTHAFUCKA's.....it doesn't get any tougher than this!!!!! #GetHard #GetReady #GetExcited ... http://t.co/lNaHja0Xj0
577499656491393024,2015-03-16 16:00:22 +0000,KevinHart4real,"BREAKING NEWS!! I just added a few New England shows Presales for Amherst, Worcester & NH. Enter code ""WHATNOW""! TIX: http://t.co/T5LEA4oOYr"
577473186213728256,2015-03-16 14:15:11 +0000,KevinHart4real,.@CMS_74_ Who would win in a fight between me and Will Ferrell? #GetHardChat https://t.co/B3FFrRrERW
577473069708521472,2015-03-16 14:14:43 +0000,KevinHart4real,.@chelagurnea Our favorite things about each other... #LoveYouWill #GetHardChat https://t.co/HW4zq2wEbm
577472693173243906,2015-03-16 14:13:13 +0000,KevinHart4real,.@Madre193 Being bench pressed by Will Ferrell felt like... #GetHardChat https://t.co/nl8jogOp9d
577469997838012417,2015-03-16 14:02:31 +0000,KevinHart4real,Yo! Thanks for sending in your questions for our #GetHardChat! Will Ferrell and I had a blast answering them... https://t.co/cepNeF711u
577258408732012544,2015-03-16 00:01:44 +0000,KevinHart4real,I love her..... #MyRib http://t.co/UP0EhcJYDm
577214182531080192,2015-03-15 21:05:59 +0000,KevinHart4real,We will be responding thru video....lets gooooo people. #GetHardChat #GetHardChat
577213870466428928,2015-03-15 21:04:45 +0000,KevinHart4real,#GetHardChat #GetHardChat #GetHardChat
577213792485916672,2015-03-15 21:04:26 +0000,KevinHart4real,"Will & Myself R about to answer these Twitter questions, this is ur last chance to ask us some more question. We will be responding shortly"
577198765540388864,2015-03-15 20:04:44 +0000,KevinHart4real,This guy makes me fucking laugh....We are having a blast down here in Austin Tx at SXSW.... #GetHard ... http://t.co/sOrEz4TTry
577193098746331136,2015-03-15 19:42:13 +0000,KevinHart4real,Let's go people ask Will & myself whatever you want now!!! #GetHardChat #GetHardChat ....Live video Q & A now let's gooooooo
577192598030286848,2015-03-15 19:40:13 +0000,KevinHart4real,Tweet me some questions that you want to ask us Both NOOOOOOWWWW!!!! Use the hashtag #GetHardChat ....LETS GOOOOOOO
577192283197472768,2015-03-15 19:38:58 +0000,KevinHart4real,Breaking news bitches...I'm sitting next to Will Ferrell & we are going to do a Live Twitter Video Q & A at 4:30pm CT ....
577150797080698880,2015-03-15 16:54:07 +0000,KevinHart4real,This is groundbreaking information....P.S alcohol can kiss the bottom of my ass!!!!! My head is pounding right now!!!! FML
577150590272163840,2015-03-15 16:53:18 +0000,KevinHart4real,Breaking news people....I am officially out of the BED....my feet are now on the ground and I am attempting to get in the shower!!!
577145226038358016,2015-03-15 16:31:59 +0000,KevinHart4real,It really pisses me off that I'm shorter than @justinbieber #DopePic http://t.co/RdE6vDU7AZ
577122559222624256,2015-03-15 15:01:55 +0000,KevinHart4real,"SXSW I'm officially up & ready to get at it, ok I'm lying I'm just laying n bed staring at the ceiling trying to shake this fucking hangover"
577042228452823040,2015-03-15 09:42:42 +0000,KevinHart4real,I love my fans....I just want to say thank u!!!! Y'all are the shit!!!!
577041935736537088,2015-03-15 09:41:33 +0000,KevinHart4real,"RT @ComedyCentral: Your master of ceremonies @KevinHart4real, getting ready to roast. #BieberRoast http://t.co/sXAUn6hwUB"
577040934933671936,2015-03-15 09:37:34 +0000,KevinHart4real,#DopePic #HeadedToSXSW #PromoTour #HustleHart #ComedicRockstarShit #GetHard #HittingTheatersMarch27 #iDontSleep ... http://t.co/jIQOkvjFCF
576836758572126208,2015-03-14 20:06:15 +0000,KevinHart4real,#GetHard #GetHard #GetHard #GetHard #HittingTheatersMarch27th #GetReady #GetExcited
576836595002683393,2015-03-14 20:05:36 +0000,KevinHart4real,RT @folan_eric: @KevinHart4real I'm counting down the days till #GetHard comes out movie looks awesome
576835898941149184,2015-03-14 20:02:50 +0000,KevinHart4real,RT @cherryjess719: Super crazy excited for #GetHard with my favorite comedian @KevinHart4real .. Really need this belly aching laugh I know is coming!!
576835850559848448,2015-03-14 20:02:38 +0000,KevinHart4real,"RT @Nb_b15: @KevinHart4real + Will Ferrell in the same movie = a hilarious comedy from beginning to end, can't wait to go see #GetHard on March 27th"
576835729034088448,2015-03-14 20:02:09 +0000,KevinHart4real,RT @LianevLove: Cant wait for #GetHard count down!!👇 @KevinHart4real
576835653284974592,2015-03-14 20:01:51 +0000,KevinHart4real,RT @MichelleGlez1: Can't wait to see #GetHard even living in Spain @KevinHart4real
576835612663148544,2015-03-14 20:01:41 +0000,KevinHart4real,RT @Marlon_2live: Can't wait to see it #GetHard @KevinHart4real http://t.co/wO45Eij94e
576829627965923328,2015-03-14 19:37:54 +0000,KevinHart4real,RT @adamhandley82: @KevinHart4real buzzing about new film #WillFerrell #kevinhart cant wait <#GetHard
576829512240906240,2015-03-14 19:37:27 +0000,KevinHart4real,RT @rddawson70: # GetHard is getting a lotta hype with @KevinHart4real.Who else is hyped 4 this movie #funnyasfuck #boxofficebeast #GetHard
576829337149702144,2015-03-14 19:36:45 +0000,KevinHart4real,RT @Jalensborov: Can't wait to see 'Get Hard' with Kevin Hart!😂 that's about to be hilarious   @KevinHart4real
576829319470714880,2015-03-14 19:36:41 +0000,KevinHart4real,RT @KylerCB3: Will Ferrell and @KevinHart4real bout to drop one of the best movies ever with #GetHard!!! #cantwait
576822064536887296,2015-03-14 19:07:51 +0000,KevinHart4real,RT @shawnp4590: #GetHard comes out on my birthday and I'm goin to see that shit @KevinHart4real
576821990004125696,2015-03-14 19:07:33 +0000,KevinHart4real,RT @ItsCHR1ST1NA: Can't wait to see @KevinHart4real new movie 'Get Hard'...everything he does is HILARIOUS!!!! #LoveKevinHart #GetHardMovie
