ID,Posted at,Screen name,Text
577534908257587200,2015-03-16 18:20:26 +0000,KimKardashian,Ummmm how cute is my husband?!?!?!?! Ugh I love him so much!!!
577517352582918145,2015-03-16 17:10:41 +0000,KimKardashian,Another baby Wolfie pic. Not sure who made these edits they are so cute but not as cute as my brown eyed Wolfie! http://t.co/syKLS6JcpK
577515514357895168,2015-03-16 17:03:22 +0000,KimKardashian,Baby Wolfie #NoTheseAreNOTContacts #JustAnEditISawOnline http://t.co/NqtH3Jj8Ti
577488848407502849,2015-03-16 15:17:25 +0000,KimKardashian,New Avi Alert #LipLinerOnFleek http://t.co/iWtbOTu63r
577318424109518848,2015-03-16 04:00:13 +0000,KimKardashian,"It’s on, west coast! Tune in right now for the season premiere of #KUWTK!"
577316884900495360,2015-03-16 03:54:06 +0000,KimKardashian,West Coast tune into E! keeping Up With The Kardashians starts soon!!! http://t.co/GYSxPQl6hX
577277810940649472,2015-03-16 01:18:50 +0000,KimKardashian,What do you guys think so far???? #KUWTK10
577273133981270017,2015-03-16 01:00:15 +0000,KimKardashian,Keeping Up With The Kardashians starts now!!!!! Tune into E!  Let's go East Coast!!!
577269299590664192,2015-03-16 00:45:00 +0000,KimKardashian,"15 more minutes, east coast! Are you watching the premiere of #KUWTK tonight?"
577257856551944192,2015-03-15 23:59:32 +0000,KimKardashian,"Thank you for watching our home movies and supporting us, because of you we are at season 10!"
577257825757364224,2015-03-15 23:59:25 +0000,KimKardashian,We're so lucky we have each other to be there and support one another and root for each other!
577257761227960320,2015-03-15 23:59:09 +0000,KimKardashian,"We've opened up and shared our lives thru happy times, sad times, really devastating times and life changing times!"
577257705267576833,2015-03-15 23:58:56 +0000,KimKardashian,"I'm very proud of my whole family, we've kept it real for 10 seasons. http://t.co/k1kgloxUH4"
577256560381947904,2015-03-15 23:54:23 +0000,KimKardashian,Family pool party then dinner and watching our premiere tonight!
577179462355169280,2015-03-15 18:48:01 +0000,KimKardashian,Kiki and Koko #KUWTK #TONIGHT #SEASON10 http://t.co/7Vbn3aHwHV
577178883323117568,2015-03-15 18:45:43 +0000,KimKardashian,@MyleezaKardash yes!!!!!!! You did!!! It was about time! Changing my header soon too!
577175514659483648,2015-03-15 18:32:20 +0000,KimKardashian,Time to change my avi! Hmmmm a blonde pic?
577175355254906880,2015-03-15 18:31:42 +0000,KimKardashian,Just saw I hit 30 million Twitter followers!!!!!! This is crazy!!! Thank you SOOO much!!!!! I love you guys!!!!
577165786168475648,2015-03-15 17:53:41 +0000,KimKardashian,Tonight's the night! Here is just a sneak peek of tonight's premiere episode!!! #KUWTK http://t.co/8hF1s3IEov
577137952200998913,2015-03-15 16:03:05 +0000,KimKardashian,The season premiere of #KUWTK is tonight! 9/8c only on E!
576563181520171008,2015-03-14 01:59:09 +0000,KimKardashian,My family decided not to do any press about our premiere & let this season speak for itself &answer all of the questions you might have had.
576562937382334465,2015-03-14 01:58:10 +0000,KimKardashian,There are so many incredible memories over the past 10 seasons and we're excited to share more.
576562868738396160,2015-03-14 01:57:54 +0000,KimKardashian,I can't believe we are about to premiere season 10 this Sunday on E! http://t.co/GPzWO2U1v0
576479346245824512,2015-03-13 20:26:01 +0000,KimKardashian,@lovekardashhian happy birthday doll!
576477807447920640,2015-03-13 20:19:54 +0000,KimKardashian,#FBF to last week in Paris http://t.co/x4HxJVaEfp
576418593371357184,2015-03-13 16:24:36 +0000,KimKardashian,Channeling my inner Elsa for North ❄️ http://t.co/LZbw78CYud
576229668266725376,2015-03-13 03:53:53 +0000,KimKardashian,#TBT 2008 on set of Alligator Boots....awwww these memories!!!! http://t.co/LaMnBMJSmH
576194986061910017,2015-03-13 01:36:04 +0000,KimKardashian,PFW VIBES http://t.co/ubyIKJ9jUw
576178529114554368,2015-03-13 00:30:40 +0000,KimKardashian,"Yesterday's look-my new obsession is this Givenchy fur coat! Wolford sheer turtleneck, Proenza skirt & Givenchy boots http://t.co/HXXHuqQMoH"
576176835815292929,2015-03-13 00:23:57 +0000,KimKardashian,Another all Givenchy look for Paris Fashion week! http://t.co/qbLkMqZGop
576175882714292226,2015-03-13 00:20:09 +0000,KimKardashian,I love this all Givenchy look! Men's shirt and blazer with a skirt & bodysuit and my new favorite boots! http://t.co/KjFGuGtF3C
576162892807958529,2015-03-12 23:28:32 +0000,KimKardashian,Yeezy Season One - Photographs by Jackie Nickerson http://t.co/FowTeiXUVs
575953278812332033,2015-03-12 09:35:37 +0000,KimKardashian,At the Louis Vuitton Show with @miraduma http://t.co/EbW2UkeH3b
575951330335838208,2015-03-12 09:27:52 +0000,KimKardashian,Louis Vuitton show #PFW http://t.co/0irvLvvCAe
575948616147202048,2015-03-12 09:17:05 +0000,KimKardashian,The secret garden http://t.co/2aJwgh5AXe
575948146313834496,2015-03-12 09:15:13 +0000,KimKardashian,Yesterday was magical http://t.co/FyyMnFfUm1
575728038488375296,2015-03-11 18:40:35 +0000,KimKardashian,Romantic day with my husband outside of Paris http://t.co/2XK4tZ6Ocq
575568228908425217,2015-03-11 08:05:33 +0000,KimKardashian,Morning 🙉 http://t.co/XGJSLYRQvV
575563337959866370,2015-03-11 07:46:07 +0000,KimKardashian,All Ye http://t.co/PhAIzG41YS
