ID,Posted at,Screen name,Text
575855684199129088,2015-03-12 03:07:48 +0000,LeoDiCaprio,"Excited to back @adriangrenier 's @kickstarter campaign to find 52, the @lonelywhale: http://t.co/b8fWZZ7jZ4"
573221228007333890,2015-03-04 20:39:25 +0000,LeoDiCaprio,Exciting news from my production company Appian Way & @netflix to produce important docs like #Virunga http://t.co/3JpobJAVhd #NetflixDocs
570677864447795204,2015-02-25 20:13:00 +0000,LeoDiCaprio,"RT @NRDC: Thank you, President Obama for vetoing #KeystoneXL! Now reject it once and for all! http://t.co/wH4z1GL2ol http://t.co/RvCJQ83BM4"
568910790335418370,2015-02-20 23:11:16 +0000,LeoDiCaprio,RT @World_Wildlife: FIRST video of wild Amur tigers in China! Until now footprints were only indicator. More: http://t.co/snfvWFlxmR http://t.co/wkxE5opFGw
566286608987484160,2015-02-13 17:23:43 +0000,LeoDiCaprio,Big opportunity for the UK to create the world’s largest marine reserve. Let’s make this a reality! http://t.co/JpjyyXX7lt #GBoceans
566272073442406400,2015-02-13 16:25:57 +0000,LeoDiCaprio,RT @guardianeco: Call for UK to create massive marine reserve ahead of #GeneralElection #oceans #wildlife http://t.co/bx3e6koFLi http://t.co/5GXZCVB8s9
564245645016305665,2015-02-08 02:13:39 +0000,LeoDiCaprio,Let's support Thai citizens demanding the end of ivory trade to protect elephants: http://t.co/Wcua5dg4q6 #ชช้างช่วยช้าง #wwfthailand
564223550845112320,2015-02-08 00:45:51 +0000,LeoDiCaprio,#ChurchofEngland may sell £3m stake in mining firm over fears for gorilla haven http://t.co/jg1qdNoL5R #Virunga #NetflixDocs @guardian
562014028583944192,2015-02-01 22:26:00 +0000,LeoDiCaprio,"Thanks to all who joined at the #Virunga screening last night, esp President @BillClinton and the #Netflix Team. http://t.co/e95O89QFgZ"
556199457893924864,2015-01-16 21:20:59 +0000,LeoDiCaprio,More images from Oscar nominee @VirungaMovie here: http://t.co/ebAvgrVlcw #NetflixDocs
555854179294793728,2015-01-15 22:28:58 +0000,LeoDiCaprio,Congratulations @virungamovie on your Oscar nomination for Best Documentary Feature. #TeamVirunga
553337365193064450,2015-01-08 23:48:03 +0000,LeoDiCaprio,Check out this great interview with director Orlando von Einsiedel in the @nytimes: http://t.co/YjsxkXqh6D @virungamovie @grainmedia
552614512541437954,2015-01-06 23:55:41 +0000,LeoDiCaprio,RT @sierraclub : BREAKING: @PressSec says @BarackObama will veto Congress' attempt to approve #KXL. #NOKXL http://t.co/oB78Z4JMPW
545673606319972352,2014-12-18 20:15:00 +0000,LeoDiCaprio,Check out @MichaelEMann’s book “The Hockey Stick & the Climate Wars” about his battle against climate denialism: http://t.co/MT07y88I7t
545337724190744576,2014-12-17 22:00:19 +0000,LeoDiCaprio,RT @NRDC: HUGE NEWS! @NYGovCuomo bans #fracking in New York! http://t.co/ihQ8UjQApW http://t.co/ZtJOw0DuFK
