ID,Posted at,Screen name,Text
577600354684166145,2015-03-16 22:40:30 +0000,MariahCarey,RT @LogoTV: We love you @MariahCarey! Watch our gal dazzle at the #HRCLAGala: http://t.co/Lu3WniUkK9 http://t.co/mfd1LaFWDR
577570158962589696,2015-03-16 20:40:31 +0000,MariahCarey,"Lol..wtf 😰 ""@AmarisCastillo: A #Manatee man charged in #HolmesBeach break-in claims to own home with @MariahCarey http://t.co/y6xa6HZHGS"""
577538702341066752,2015-03-16 18:35:31 +0000,MariahCarey,"RT @SonyLegacyRecs: .@MariahCarey's iconic unplugged version of The Jackson 5's ""I'll Be There"" was recorded on this day in 1992! https://t.co/gB320X2OHK"
577252958544523264,2015-03-15 23:40:04 +0000,MariahCarey,Last night at the Human Rights Campaign Gala in Los Angeles. Congratulations again to honorees Shonda… https://t.co/XhFOb1osi6
577250804718911488,2015-03-15 23:31:31 +0000,MariahCarey,RT @HRC: Thanks to longtime #LGBT equality supporter @MariahCarey for performing at 2015 #HRCLAGala! http://t.co/YjOP2kBo0I http://t.co/v3IkXvmV42
577047717333061632,2015-03-15 10:04:31 +0000,MariahCarey,RT @lovebscott: w/ my BFF #MyMimi @MariahCarey and @EmpireFOX's finest @JussieSmollett pon de #HRCLAGala tonight! 💕💕💕💕 @HRC http://t.co/mEKyZuaV2O
577030018267623424,2015-03-15 08:54:11 +0000,MariahCarey,"""You don't have to be afraid of what you are."" #Hero @HRC https://t.co/qrqEYiSzU4"
576990343159152640,2015-03-15 06:16:32 +0000,MariahCarey,"Thank you @JussieSmollett, your intro was fabulous dahhling!!! http://t.co/ywpSjRwEtJ"
576986976793964544,2015-03-15 06:03:09 +0000,MariahCarey,RT @shondarhimes: .@MariahCarey @HRC I was right there at Table 9 in the front row with @guillermodiazyo loving every minute of your performance!!
576986930170081282,2015-03-15 06:02:58 +0000,MariahCarey,#Hero @HRC gala tonight! https://t.co/rCV4bPUV0Q
576985998300590081,2015-03-15 05:59:16 +0000,MariahCarey,RT @jvonn6: Mariah Carey at #HRC event. Did an amazing job. She still has it!! http://t.co/u0WdEijkm9
576985709556289536,2015-03-15 05:58:07 +0000,MariahCarey,.@shondarhimes It took me three hours to come out of my closet tonight lol I missed you! @HRC #scandal
576984840643334144,2015-03-15 05:54:40 +0000,MariahCarey,Thank you so much for having me!!! #LGBTRights @HRC @HRCLosAngeles
576983820034928640,2015-03-15 05:50:37 +0000,MariahCarey,"RT @HRC: @MariahCarey thank you so much for joining us tonight and for your leadership, support of #lgbt equality & @HRC. #HRCLAGala @HRCLosAngeles"
576474827474649088,2015-03-13 20:08:03 +0000,MariahCarey,"Yes, it's #Epic!!! 🎵🎶 🌟🎉🌟🎉🌟🎉🌟🎉 🎵🎶"
576464184432467968,2015-03-13 19:25:46 +0000,MariahCarey,"RT @HRC: Global megastar @MariahCarey to perform at 2015 @HRC Los Angeles Gala: 
http://t.co/YjOP2kBo0I http://t.co/zfBmsHTXGH"
575725151435628544,2015-03-11 18:29:07 +0000,MariahCarey,"Yayyyyy #Zoolander2 is coming out!!!! Fyi Derek and Hansel ""and I'm not your braa""!😃"
575042852633210880,2015-03-09 21:17:54 +0000,MariahCarey,On this day we commemorate the life and times of Notorious B.I.G. Wish we could turn back the hands of time.
