ID,Posted at,Screen name,Text
577602290141515776,2015-03-16 22:48:11 +0000,NBA,"RT @IraHeatBeat: LeBron to play tonight for Cavaliers, but Kevin Love again will rest for second night in a row."
577602187171377152,2015-03-16 22:47:47 +0000,NBA,"RT @GwashburnGlobe: Starting 5 for #76ers: Canaan, Richardson, Thompson, Mbah a Moute, Noel."
577602147631656960,2015-03-16 22:47:37 +0000,NBA,RT @CavsJoeG: Love will be back in action for Wednesday's home matchup with Brooklyn.
577597739157975040,2015-03-16 22:30:06 +0000,NBA,"Following @Cavs/@MiamiHEAT on ESPN, stayed tuned to watch the @Lakers face the 1st place @warriors http://t.co/6CArber2vO"
577590565803573248,2015-03-16 22:01:36 +0000,NBA,"Before @Cavs/@MiamiHEAT (8pm/et, @ESPNNBA), we look back at @KingJames' return to Miami in December: https://t.co/FAhLNFffhg"
577582641043501056,2015-03-16 21:30:07 +0000,NBA,"Who ya got?
@kingjames & the @cavs face @dwyanewade & the @miamiheat in a can't miss match up on ESPN at 8pm/et. http://t.co/xHYAtLiBw0"
577567600894296064,2015-03-16 20:30:21 +0000,NBA,"Utah's lengthy center @rudygobert27 thriving as a starter.

Read more in @NBAFantasy Weekly: http://t.co/YmlRkNqTAZ http://t.co/atgb4yVWO1"
577552478360584192,2015-03-16 19:30:15 +0000,NBA,"Ball movement, a thing of beauty & key to the @Warriors success - WATCH: http://t.co/X1TMo7RT7y http://t.co/c7MA8qBpav"
577546140897267712,2015-03-16 19:05:04 +0000,NBA,Just Announced: @KyrieIrving of the @Cavs & @AntDavis23 of the @PelicansNBA named NBA Players of the Week! http://t.co/JYY5VWMYZL
577533834297638912,2015-03-16 18:16:10 +0000,NBA,Cleveland @Cavs keep pushing with one month to go - @NBAcom's Power Rankings: http://t.co/bh7busednT http://t.co/nZni43TDUq
577522315921096705,2015-03-16 17:30:24 +0000,NBA,"Tonight's @ESPNNBA Schedule: @Cavs visit @MiamiHEAT (8pm/et), followed by @Lakers/@Warriors (10:30pm/et)."
577517187780472832,2015-03-16 17:10:01 +0000,NBA,RT @nbacares: Tell us your commitment to service for 2015 using #HowDoYouServe #Sweeps & @PlayStation & you could win @NBA tix! http://t.co/d8Cvvfumxe
577514753402142720,2015-03-16 17:00:21 +0000,NBA,"Countin' them down... the Top 10 PLAYS of the Week, led by @KyrieIrving's trey to force OT! http://t.co/XuLpVJm2Ps http://t.co/qNIoPDxs0a"
577509696929554432,2015-03-16 16:40:16 +0000,NBA,"Countin' them down... the Top 10 DEFENSIVE PLAYS of the Week, led by @NerlensNoel3's SWAT! http://t.co/MXUgSjXnTU http://t.co/ShfEHa8RXa"
577504648061267969,2015-03-16 16:20:12 +0000,NBA,"Countin' them down... the Top 10 ASSISTS of the Week, led by @WayneElli22's sweet dish! http://t.co/IZwUV509KA http://t.co/C3lTf970zm"
577500080141287424,2015-03-16 16:02:03 +0000,NBA,"Countin' them down... the Top 10 DUNKS of the Week, led by Josh Smith's POSTER SLAM! http://t.co/i4Hbq48khM http://t.co/Dw9cSoaYJb"
577494589021417472,2015-03-16 15:40:14 +0000,NBA,WATCH @OrlandoMagic interim coach James Borrego sits down with @Powell2daPeople: http://t.co/edTh5nkyHI #NochesEneBeA http://t.co/6wyPsvEPqi
577488423541448704,2015-03-16 15:15:44 +0000,NBA,Rick Kamla previews the upcoming week of @NBAFantasy & explains why you should start MKG: http://t.co/4xjJ1oETPw http://t.co/aCx5mK3Rri
577485098867646464,2015-03-16 15:02:31 +0000,NBA,RT @NBATV @NBATVRick @Barryathree & @MikeDunleavySr recap a thrilling week in the Sunday Feast http://t.co/FrhrTXcGJr http://t.co/7cD9C4anzq
577477125877460992,2015-03-16 14:30:50 +0000,NBA,"Westbrook (36 points, 11 rebounds & 6 assists) powers the @OKCThunder, through the lens of our slo-mo #PhantomCam! https://t.co/CabeGd8sb0"
577471762377609216,2015-03-16 14:09:31 +0000,NBA,"RT @nbastats: More on @AntDavis23's line of 36pts,14rbs,9blks,7asts -No other player has reached each of those stats in 1 game(since blks recorded '73-74)"
577469429803433985,2015-03-16 14:00:15 +0000,NBA,"36 points, 14 rebounds, 9 blocks & 7 assists for @AntDavis23, @NBAcom's #NightlyNotable: http://t.co/hOwTWeohhp http://t.co/Ww5JhcadbD"
577463846362841088,2015-03-16 13:38:04 +0000,NBA,RT @NBASTORE: It's Coming....#ImBack #Jersey http://t.co/6KQ5NKwrCz
