ID,Posted at,Screen name,Text
577533817495277569,2015-03-16 18:16:06 +0000,NiallOfficial,"RT @LiRFC: The #LIStPatricksParty countdown continues!
Just 12 days to go
Tickets still available here: http://t.co/SmjsHH2siZ http://t.co/3sGUqJ2baX"
577351628660957184,2015-03-16 06:12:09 +0000,NiallOfficial,Don't know if I'm looking forward to the Derby v Middlesbrough tomorrow !
576792593285160960,2015-03-14 17:10:45 +0000,NiallOfficial,Ahhh Derby!!! really could have done with those 3 points !
576774247164555264,2015-03-14 15:57:51 +0000,NiallOfficial,Cmon ireland ! Let's go ! Last push !
575952012858261504,2015-03-12 09:30:35 +0000,NiallOfficial,“@1DwwaupdatesWW: MORE OF NIALL CRYING. I CANT TAKE YHIS. My heART HURTS. BABY -A https://t.co/dgEdIgf1H9” it was sweat not tears hahaha.
575671138757558272,2015-03-11 14:54:29 +0000,NiallOfficial,RT @BrianODriscoll: @NiallOfficial @NickFaldo006 Baz looks happy as ever!
575526753269125120,2015-03-11 05:20:45 +0000,NiallOfficial,"Didn't sleep on the plane much ,Watched so many movies.Gona get a couple of hours sleep now before we head to the stadium ! X"
575524936124624896,2015-03-11 05:13:32 +0000,NiallOfficial,“@NickFaldo006: Looking for One Direction out of here! #Singapore airport http://t.co/xaRLXKmpNt” pleasure to meet you nick ! #golflegend
575484224431489025,2015-03-11 02:31:45 +0000,NiallOfficial,We're here ! Finally ! first impressions = beautiful place !
575270532939186178,2015-03-10 12:22:37 +0000,NiallOfficial,"Singapore ! Let's go ! This is going to be fun ! First time there too , love visiting new countries"
574324524465913856,2015-03-07 21:43:31 +0000,NiallOfficial,RT @PatricKielty: I am @NiallOfficial for @RedNoseDay #NoDirection http://t.co/pdAqxvqPzT
573516996467408896,2015-03-05 16:14:42 +0000,NiallOfficial,RT @jamieoliver: Here's my @rednoseday selfie @Palomafaith @NiallOfficial it’s your turn. Text FUNNY to 70011 & donate £1 #RNDFace http://t.co/mHS9DZiDpT
572815158487224320,2015-03-03 17:45:50 +0000,NiallOfficial,Japan it was a blast ! Had a great time yet again in your country ! Thanks for having us!
572800296986021889,2015-03-03 16:46:47 +0000,NiallOfficial,"@SikSilk cheers for all the clothes ! Quality stuff , love it"
572796000491982848,2015-03-03 16:29:43 +0000,NiallOfficial,"RT @henshawrob: @NiallOfficial cheers bud, great to get the win! See u soon my man"
572462204018159616,2015-03-02 18:23:19 +0000,NiallOfficial,"@henshawrob dude , killed it yesterday, great try too ! Hopefully see Ya soon again!"
572451833677025280,2015-03-02 17:42:07 +0000,NiallOfficial,“@IrishRugby: @NiallOfficial Thanks Niall. #ShouldertoShoulder”always
572312915757436928,2015-03-02 08:30:06 +0000,NiallOfficial,RT @CarolineAtMCD: #Shield #ISPCC #Anti-BullyingCampaign @NiallOfficial @MrsBrownBoys @elliegoulding @KearneyRob @kearney_dave http://t.co/eT4Mvp7x4v
572296503349415936,2015-03-02 07:24:53 +0000,NiallOfficial,"Gym, swim and steam room ! Feeling good !"
572269081728053248,2015-03-02 05:35:55 +0000,NiallOfficial,Off to gym then Down to the stadium for one last show in Tokyo! Japan has been amazing over the last couple of weeks ! Loved it!
572114515044794371,2015-03-01 19:21:44 +0000,NiallOfficial,"@IrishRugby unbelievable Win, super defense as per usual! Let's go all the way now !"
571965725851713536,2015-03-01 09:30:30 +0000,NiallOfficial,"Happy birthday sir , see Ya soon ! @RyanSeacrest http://t.co/CDqk8frkSn"
571924889898237952,2015-03-01 06:48:14 +0000,NiallOfficial,Tokyo night 3 ! Gona be fun! Let's gooooo
571624198474481664,2015-02-28 10:53:23 +0000,NiallOfficial,@illusioniam you should visit ! It's the most interesting place
571622257560317952,2015-02-28 10:45:41 +0000,NiallOfficial,"Loving Japan ! Gigs are amazing , food is amazing , people are nice , as a nation it pretty much smashes it"
571454533085368323,2015-02-27 23:39:12 +0000,NiallOfficial,"Given up on the sleep thing ! I'll just go to the gym instead @M1Jarvis, let's roll"
571435003197988864,2015-02-27 22:21:36 +0000,NiallOfficial,woke up randomly like 2 hours ago and still can't get back to sleep! Pissed off.
571217569039970304,2015-02-27 07:57:35 +0000,NiallOfficial,Tokyo ! 🇯🇵 good to be back ! Can't wait for the gig later ! See you all soon
570847512136966144,2015-02-26 07:27:07 +0000,NiallOfficial,"@SimonCowell thank you simon for collecting the award on our behalf , appreciate it big time !"
570830655233400833,2015-02-26 06:20:08 +0000,NiallOfficial,Still can't believe it! Absolutely delighted !
570825627064000512,2015-02-26 06:00:09 +0000,NiallOfficial,And yes I did sleep for 12 hours
570825417063591936,2015-02-26 05:59:19 +0000,NiallOfficial,Yesssssssss!!! Get in ! Thank you guys so much ! Incredible news to wake up to! Best video at the Brits! Thank you @benwinston !
570652626196541442,2015-02-25 18:32:42 +0000,NiallOfficial,Off to sleep ! 3:30 am here in Japan! Fingers crossed that we wake up to good news ! #nervous
570648711635673088,2015-02-25 18:17:09 +0000,NiallOfficial,so sad we can’t be at the Brits tonight as we are in Japan on tour ! Massive thanks to all of you voting . Ahh nervous to see if we won !!
570578121168187392,2015-02-25 13:36:39 +0000,NiallOfficial,Did Stockholm syndrome tonight for the first time! Really enjoyed it !
570572604534366208,2015-02-25 13:14:44 +0000,NiallOfficial,RT @onedirection: Counting down the hours until the @BRITAwards tonight so we can vote for the guys!
570518174585659393,2015-02-25 09:38:27 +0000,NiallOfficial,"I didn't delete that tweet , that was wierd"
570271925362147329,2015-02-24 17:19:56 +0000,NiallOfficial,#BRITONEDIRECTION fingers crossed
570165025832202240,2015-02-24 10:15:09 +0000,NiallOfficial,"“@JamesBayMusic: @NiallOfficial Cheers Niall, glad you're liking the tunes man.”love it mate ! Good luck with everything"
570154432567996416,2015-02-24 09:33:04 +0000,NiallOfficial,Hands down one of my favourite artists in a very long time ! Love his work! Would love to see a show ! @JamesBayMusic
570154231589531649,2015-02-24 09:32:16 +0000,NiallOfficial,@chelseymayg no they were cool too ! This one is just sick and futuristic
