ID,Posted at,Screen name,Text
573547870198067203,2015-03-05 18:17:22 +0000,OfficialAdele,#ThanksZane for being such a fan of music. I'm so glad and proud you are a part of my career. You made so many of us real x
557987693599395841,2015-01-21 19:46:47 +0000,OfficialAdele,"This is fantastic, click away https://t.co/DhX8RPVNhu"
549220457162227714,2014-12-28 15:08:55 +0000,OfficialAdele,"Just wanted to wish everyone happy holidays & all the best for 2015! PS Simon & I are still very much together, don't believe what you readx"
527884855192092673,2014-10-30 18:08:51 +0000,OfficialAdele,Just watched Nightcrawler after months of being excited and it WAS AMAZZZING! Go and see it!
486418778499334144,2014-07-08 07:57:28 +0000,OfficialAdele,"My good friend Example has a new album out and you can get it here x
http://t.co/pPNXIoCVBS"
476131948222746624,2014-06-09 22:41:17 +0000,OfficialAdele,@OfficialAdele: I pretend I'm Drop Dead Fred every day. Thank you for all the laughter Rik Mayall x
471782517281157120,2014-05-28 22:38:12 +0000,OfficialAdele,Katy Perry was supreme tonight! But UK mamas look who I saw tonight! http://t.co/iccKIi88et
469919479699615744,2014-05-23 19:15:09 +0000,OfficialAdele,Oh @palomafaith! Your so perfect I love you and this so much http://t.co/8Dhaz5g8Q6
463067207384461312,2014-05-04 21:26:40 +0000,OfficialAdele,Bye bye 25... See you again later in the year x http://t.co/HEmY14El5s
462141820441731072,2014-05-02 08:09:30 +0000,OfficialAdele,I've designed a bag with @Fendi to raise money for the @KidsCompanyUK ! Check it out here- http://t.co/2EVaxfZjyj  #FendiPeekaboo
450228803047260160,2014-03-30 11:11:26 +0000,OfficialAdele,Happy Mothers Day Mamas x
447303894016995328,2014-03-22 09:28:53 +0000,OfficialAdele,"Everyone tweet a picture of yourself with water! Drinking, showering, cooking, cleaning... #iLoveWater"
447298424204189696,2014-03-22 09:07:09 +0000,OfficialAdele,#iLoveWater and so does #drop4drop get involved at http://t.co/Pv6ZTuwOdD it's world water day! http://t.co/nXJvjJsALV
439139447289167872,2014-02-27 20:46:17 +0000,OfficialAdele,Fuck!!! This is one of the best things I've ever seen in my life hands down http://t.co/D47sRGtni1
439055380174630912,2014-02-27 15:12:14 +0000,OfficialAdele,"It's charming, devastating, gives you butterflies, totally amazingly fairy tale like but living in South London grimey but glitzy"
439043143376576512,2014-02-27 14:23:37 +0000,OfficialAdele,"The next Darcy Burdock is out! Hi so much! I finished it last night, wonderful read! Get yours here http://t.co/wNpabAjG6V"
427581200505798656,2014-01-26 23:17:56 +0000,OfficialAdele,"Wish I was there! Thank you for the grammy! (My 10th one! Whhaaa?) Have a wonderful night. I'm in bed, now feeling very restless x"
425569781828567040,2014-01-21 10:05:17 +0000,OfficialAdele,Check this great song out by @dornikspeaks and the video was imagined by my good friend Daniels http://t.co/HyjDJbFzFX
423780223898112000,2014-01-16 11:34:13 +0000,OfficialAdele,@mapei don't wait is incredible! Can't wait to hear more x
423538864485986304,2014-01-15 19:35:08 +0000,OfficialAdele,My Love by route 94 and Jess Glynn is a tuuune!! Thanks @zanelowe
418023233590673408,2013-12-31 14:18:00 +0000,OfficialAdele,Happy New Year everybody! With love x
412193084680962048,2013-12-15 12:11:04 +0000,OfficialAdele,Help! http://t.co/dZjCuQ2GTS
404940010748903424,2013-11-25 11:49:56 +0000,OfficialAdele,http://t.co/AkdA8UQTuS
404939961394536448,2013-11-25 11:49:44 +0000,OfficialAdele,It is International Day To End Violence Against Women! The lovely Stella McCartney has designed this years white ribbon! Have you got yours?
402180418205913088,2013-11-17 21:04:18 +0000,OfficialAdele,Whoa Luke Friend was ridiculously good in that sing off on X factor! I want him to win! X
400639749146570753,2013-11-13 15:02:14 +0000,OfficialAdele,Lily is baaaack and as clever as ever 👏 http://t.co/ZBrIYK2UFL
399532168009232384,2013-11-10 13:41:06 +0000,OfficialAdele,Look what @example just did X http://t.co/Fle5vpfCwj
398935593893511168,2013-11-08 22:10:32 +0000,OfficialAdele,I wanna be robbie Williams when I'm older #robbieisalegend x
395635852325715968,2013-10-30 19:38:32 +0000,OfficialAdele,I really hope Laura Marling wins the mercury tonight x
392980699764236288,2013-10-23 11:47:54 +0000,OfficialAdele,Laura Dockrill guys!! Vote for Laura Dockrill x
392963042176421888,2013-10-23 10:37:44 +0000,OfficialAdele,My gorgeous best friend is up for an award! All Darcy lovers please vote for her here http://t.co/G8WjTxBPrj
388613534504194048,2013-10-11 10:34:21 +0000,OfficialAdele,I passed my driving test this morning!!! 💪🎉🎈🚗🚦
387249571459788801,2013-10-07 16:14:27 +0000,OfficialAdele,This Sam Smith song is so so good http://t.co/5BpkPUTzyt xx
384436127304019968,2013-09-29 21:54:49 +0000,OfficialAdele,JT!!
382802229067264000,2013-09-25 09:42:18 +0000,OfficialAdele,HUGE song @tinietempah love it love it!! http://t.co/a23pHiRQCh
382070264684486656,2013-09-23 09:13:44 +0000,OfficialAdele,"Look at these stunning pieces my friend @LA_VERNEUK made me! That's my handwriting! So personal, so clever x http://t.co/caQ3WmJCwo"
380080167026454528,2013-09-17 21:25:48 +0000,OfficialAdele,God I love Kanye so much. Later with Jools is incredible tonight!
376684769423425536,2013-09-08 12:33:42 +0000,OfficialAdele,This is so beautiful http://t.co/1JbQzD2yNp thank you @caitlinmoran for the best letter I've ever read x
374294302941544449,2013-09-01 22:14:50 +0000,OfficialAdele,@ladygaga mermaids for life! Brilliant as always thank you for a wonderful night! #MANiCUREisthebest
365046884613627905,2013-08-07 09:48:54 +0000,OfficialAdele,Please go and get the new Civil Wars album. They're my absolute favourite and the new record is beautiful! X
