ID,Posted at,Screen name,Text
577590162152153088,2015-03-16 22:00:00 +0000,SamsungMobile,tfw you walk the wrong way and pretend to look at your phone before turning around
576736037818466305,2015-03-14 13:26:01 +0000,SamsungMobile,Another solution for squaring the circle. #PiDay #GalaxyS6 http://t.co/1us0soVMEi
576503002300870656,2015-03-13 22:00:01 +0000,SamsungMobile,Swipe left or right? #ThisOrThat
576462733878636544,2015-03-13 19:20:00 +0000,SamsungMobile,Living on the #GalaxyS6edge. #Fridaythe13th http://t.co/Fp80I6liFF
576140611008475136,2015-03-12 22:00:00 +0000,SamsungMobile,#tfw your text is sent right before you lose service.
575519480266276865,2015-03-11 04:51:51 +0000,SamsungMobile,"RT @DisplayMate: DisplayMate's in-depth Display Shoot-Out for the Samsung Galaxy S6 and S6 Edge is live. The Best Smartphone Display. 
http://t.co/wGRnxVKauZ"
575444899677499392,2015-03-10 23:55:29 +0000,SamsungMobile,The ridiculously good-looking #GalaxyS6. #BlueTopaz http://t.co/cpu2qcYZv6
575415835084374017,2015-03-10 22:00:00 +0000,SamsungMobile,Phone style: minimalist or BLING? #ThisOrThat
575081297720143872,2015-03-09 23:50:40 +0000,SamsungMobile,"Do more, stop less with the faster performance and improved battery life of the #GalaxyS6 and #GalaxyS6edge.
https://t.co/5INexobsQS"
575053447130660864,2015-03-09 22:00:00 +0000,SamsungMobile,#tfw you’re not sure if your phone vibrated or you’ve just been sitting in one position for too long.
574979461680087040,2015-03-09 17:06:00 +0000,SamsungMobile,Nailed it. #PFW #selfieproblems http://t.co/utrGxFRZaf
574496745436151809,2015-03-08 09:07:52 +0000,SamsungMobile,RT @LisetGC: Little pastel never hurt. #paris #samsung makeup #lisetgarza @thewallgroup #pfw @alianamoss https://t.co/cSR7kNKxG2
574496715715276800,2015-03-08 09:07:45 +0000,SamsungMobile,RT @AlexandreMaras: Quand Carine Roitfeld fait un selfie... Elle est bien entourée #TheNextGalaxy #Samsung #PFW http://t.co/qw5uUWy1dS
574496690889179136,2015-03-08 09:07:39 +0000,SamsungMobile,RT @AlexandreMaras: Jared Leto au cocktail #TheNextGalaxy #Samsung #PFW #GalaByNight http://t.co/KJqNqwKHxg
574496609536466944,2015-03-08 09:07:20 +0000,SamsungMobile,"RT @HadidFrance: Pascal: ""#Samsung #GalaxyS6Edge #GeorgeV #PFW ❤️❤️❤️"" http://t.co/bVYC997i0Z"
574496562644152320,2015-03-08 09:07:08 +0000,SamsungMobile,"RT @DianneSecret: Doutzen Kroes, Jared Leto & Gigi Hadid attend at Tasting Night with Samsung Galaxy during #PFW on March 7. http://t.co/lqnSsk5uXg"
574495795589873664,2015-03-08 09:04:05 +0000,SamsungMobile,"@AlexandreMaras Wow, what a great shot"
574495683060834305,2015-03-08 09:03:39 +0000,SamsungMobile,@AlexandreMaras Great photo! Merci beaucoup.
574494267298705408,2015-03-08 08:58:01 +0000,SamsungMobile,@SysRed_Angel It was a night to remember. #PFW #ForcesofFashion #NextIsNow #GalaxyS6
