ID,Posted at,Screen name,Text
577601661528584192,2015-03-16 22:45:42 +0000,SportsCenter,Classy tribute by New England to new Texans DT Vince Wilfork. (via @Patriots) http://t.co/pI5LJyPvHV
577598729039044609,2015-03-16 22:34:02 +0000,SportsCenter,"Bill Belichick releases a statement about Vince Wilfork, calling him an ""all-time great Patriot."" http://t.co/JuFpGfU7hf"
577577810216255489,2015-03-16 21:10:55 +0000,SportsCenter,"ESPN President John Skipper shows off his low-post moves to honor Stuart Scott and support the V Foundation.

VIDEO: http://t.co/sKuAOFf7cz"
577576091365277696,2015-03-16 21:04:05 +0000,SportsCenter,Raiders release QB Matt Schaub. Schaub threw for 57 yards and 2 Int with Oakland last season. http://t.co/9pFXHYREor
577572835205496832,2015-03-16 20:51:09 +0000,SportsCenter,"RT @ESPNNFL: This is how @JJWatt feels about the addition of Vince Wilfork.

Translation: Opposing QBs, take cover http://t.co/36Wv5Or6dz"
577564305123606529,2015-03-16 20:17:15 +0000,SportsCenter,"Tulane infielder Jake Willsey has some ninja skills as he jumps over catcher to score in this #SCtop10 play.

VIDEO: http://t.co/ozYPAAJ2Kl"
577554358981783552,2015-03-16 19:37:44 +0000,SportsCenter,Former Patriots DT Vince Wilfork releases statement that he's signing with Texans. http://t.co/tx2ri98wEy
577549913137012736,2015-03-16 19:20:04 +0000,SportsCenter,"Since he came into the league, Tim Tebow has the lowest completion pct and highest off-target pct in the NFL. http://t.co/rLKoz3W3rV"
577547972591894528,2015-03-16 19:12:21 +0000,SportsCenter,CB Tramon Williams reaches a three-year deal with Browns. (via @AdamSchefter) http://t.co/cO4SJJUx1P
577544228768780288,2015-03-16 18:57:29 +0000,SportsCenter,"Tim Tebow threw for 2,422 yards and 17 TD in 35 regular season NFL games for Broncos & Jets. http://t.co/FQFlm1jQuS"
577542950332325888,2015-03-16 18:52:24 +0000,SportsCenter,"Darth Vader, Tar Heels and football players. Our #LittleExperts make their NCAA Tournament picks. VIDEO: http://t.co/6WquAi8Qjl"
577540517833113600,2015-03-16 18:42:44 +0000,SportsCenter,Former Broncos and Patriots QB Tim Tebow working out for the Eagles today. (via @AdamSchefter) http://t.co/ALdru5PyfV
577538096906018816,2015-03-16 18:33:07 +0000,SportsCenter,LeBron James is expected to play today. James tweaked his right knee in Cavaliers win over Magic Sunday. (via @mcten) http://t.co/tjv9Wbe5KC
577535017934532608,2015-03-16 18:20:53 +0000,SportsCenter,MLB commissioner Rob Manfred to consider Pete Rose reinstatement. » http://t.co/PMovlkB1uG
