ID,Posted at,Screen name,Text
577541542606426113,2015-03-16 18:46:48 +0000,SrBachchan,@poothegr8 @Anu_Dubai @1mgupta clouds yes ..
577541454651875328,2015-03-16 18:46:27 +0000,SrBachchan,@1mgupta @Anu_Dubai sure .. i shall write whether any are there or not
577541277740347392,2015-03-16 18:45:45 +0000,SrBachchan,@Anu_Dubai @1mgupta thank you .. you are upset ..?? why ? there are others that are
577541136417423360,2015-03-16 18:45:11 +0000,SrBachchan,@1mgupta what is up is up .. nothing more
577541051801591808,2015-03-16 18:44:51 +0000,SrBachchan,@BushraEF happy ... though not all think so
577540668953899008,2015-03-16 18:43:20 +0000,SrBachchan,@1mgupta i am not going to draw any line ... if others wish to they are free to do so ... period !!
577540242309275649,2015-03-16 18:41:38 +0000,SrBachchan,@BigB_FB_Group yes ... just a couple more days
577538936685342720,2015-03-16 18:36:27 +0000,SrBachchan,"@JaishreeSharad I give no explanation .. if one is disinterested, they should leave if they want to .. its democratic !!"
577537941448310784,2015-03-16 18:32:30 +0000,SrBachchan,T 1792 -Want to be with it .. make sure you have your children or your grandchildren with you ! Shweta guides me through the latest ! Joy !!
577520771641274368,2015-03-16 17:24:16 +0000,SrBachchan,"Happy birthday Amita for the 15th .. its not as though I forgot, its just that with the time difference in London, I slept due jet lag ..luv"
577252171135234048,2015-03-15 23:36:57 +0000,SrBachchan,T 1791 - Ok ... so I do not know the spelling of armageddon .. but that's not the end of the world !!! Hahahahahahaha .. ! So cool
577251042309615616,2015-03-15 23:32:27 +0000,SrBachchan,"T 1791 - There is a certain vacancy, in simply lying around with nothing at mind ! It is contagious though .. beware !!"
577250520152338433,2015-03-15 23:30:23 +0000,SrBachchan,T 1791 - The joy of spending time with children and grandchildren can only be understood when you become that parent and grandparent ! Try !
576783430878425088,2015-03-14 16:34:20 +0000,SrBachchan,T 1790 - http://t.co/kRL9P8XiN9
576777662007476224,2015-03-14 16:11:25 +0000,SrBachchan,@ilanasegev36 greetings and love
576777135697879040,2015-03-14 16:09:19 +0000,SrBachchan,RT @MukherjiRatna: @SrBachchan You are our Nation's pride. NATION'S GEM!@ FEELING GREAT HONOUR!! http://t.co/tvPrXIGTKh
576776936409702401,2015-03-14 16:08:32 +0000,SrBachchan,RT @BushraEF: Today's best picture ever #Respect 🙏 @SrBachchan ❤️ #GandhiStatue http://t.co/cLOvQfNK1q http://t.co/cLOvQfNK1q
576776281313906689,2015-03-14 16:05:56 +0000,SrBachchan,"RT @ankush_ks: #RT  ""@mitenlapsiya: @juniorbachchan http://t.co/GyRrhj38d8 @SrBachchan Freedom Speech | UK Gandhi Statue Unveiling"""
576775105247862785,2015-03-14 16:01:15 +0000,SrBachchan,RT @ANATMAGEN: @SrBachchan So proud of you my dear....Such a great honor ....Jai Hind !!! God bless you Amitabh!!! http://t.co/EBRue67eGI
576774951434366976,2015-03-14 16:00:39 +0000,SrBachchan,RT @arunjaitley: Meeting British Foreign Secretary Rt Hon’ble Philip Hammond over breakfast http://t.co/PhhdkwfE0m
576774818382667776,2015-03-14 16:00:07 +0000,SrBachchan,RT @1mgupta: @SrBachchan Saw the video and pics..such a PROUD moment for all of us. http://t.co/o8Lw0cOGzh
576774753240875008,2015-03-14 15:59:51 +0000,SrBachchan,RT @ankush_ks: @SrBachchan #RT http://t.co/9JUhMDU57m
576774529147604992,2015-03-14 15:58:58 +0000,SrBachchan,"T 1790 - Walking through the portals of the Foreign Office of the Commonwealth, once the largest power house of the World ! Incredible feel!"
