ID,Posted at,Screen name,Text
576855452878647296,2015-03-14 21:20:32 +0000,agnezmo,"RT @BushmanOnAir: Happy Birthday to #KJHoliday R.I.P. ""We miss you my brother"" http://t.co/TmIiyxDDGB

cc: @agnezmo @TRICKTRICKGS @FM98WJLB @iHeartRadio"
576499643166650368,2015-03-13 21:46:40 +0000,agnezmo,"Ok. It's on! #AGNEZMO102B #AGNEZMOchallenge . 
Name ""10 THINGS you need 2 B grateful for"" 🙌 cuz… https://t.co/OCj9dSTM7d"
576487111081140224,2015-03-13 20:56:52 +0000,agnezmo,"Ok. It's on! #AGNEZMO102b #AGNEZMOchallenge . Name ""10 THINGS u need 2 B grateful for"" 🙌 cuz sometimes in life, you need to remind urself."
576224608946425857,2015-03-13 03:33:47 +0000,agnezmo,#AGNEZMO https://t.co/VkeYFLwFaz
576222253735522304,2015-03-13 03:24:25 +0000,agnezmo,🙌 “@ItsLeoLam: #tbt hands down some of my favorite Choreo to perform ever! @AgnezMo #CokeBottle You did that… https://t.co/kCC7BEbcTY”
575796406440456192,2015-03-11 23:12:15 +0000,agnezmo,RT @JohnnyWrightWEG: .@AgnezMo is on top of the world!!! Do you follow her?
574953769898651649,2015-03-09 15:23:55 +0000,agnezmo,Thank You Lord Jesus for this morning... ☺️☺️☺️You're the best Father. ❤️#begrateful #feelblessed I… https://t.co/KgDJLIGn34
574788785394745344,2015-03-09 04:28:20 +0000,agnezmo,Have u checked my Facebook??? 😝 https://t.co/gVggbFxURa
573260860304449536,2015-03-04 23:16:54 +0000,agnezmo,"https://t.co/QzOCCyBdqk

With the legendary Dave Meyers. Been a huge fan of him since....forever ;) http://t.co/yA45JHr8II"
572242195744366592,2015-03-02 03:49:05 +0000,agnezmo,Thanks for participating #ANAKMUDAPUNYAfoundation by AGNEZ MO. ☺️☺️ #charity @NICofficial http://t.co/8v8JtFaxLX
572241511141621760,2015-03-02 03:46:22 +0000,agnezmo,I'm a proud daughter... #LoveYouDad #FatherJesus http://t.co/l5O8OHsVsx
572120084363128832,2015-03-01 19:43:52 +0000,agnezmo,"Stay Tuned #theFREAKS 
Produced by AGNEZ MO."
572108541605093376,2015-03-01 18:58:00 +0000,agnezmo,Finishing a meeting and drinking my green juice! Thanks to my #MYFITNEZDIARYplan my coaches just gave… https://t.co/mSvIbEDWBc
571901369172410368,2015-03-01 05:14:46 +0000,agnezmo,"“@BushmanOnAir: Just listened to @agnezmo #cokebottle on @iHeartRadio 

It made me 😊👈👍”"
571095021438550016,2015-02-26 23:50:38 +0000,agnezmo,Such an honor to have these guys' in the project and most importantly believe in me.. #VINCENTHERBERT… https://t.co/hft1L8U1T4
570963871755694081,2015-02-26 15:09:29 +0000,agnezmo,RT @WEGMusic: #TBT to @AGNEZMO and @StevieNicks! http://t.co/0j7bymZ4iR
569318309209833472,2015-02-22 02:10:36 +0000,agnezmo,RT @NICofficial: Wah👍 RT @nisrinaprima: Tinggal d packing dan kirim 😀😀 #charitymarket #anakmudapunyafoundation @NICofficial @agnezmo http://t.co/id6C9iLF7a”
568520500395118592,2015-02-19 21:20:24 +0000,agnezmo,I love you!! http://t.co/JQp9PQy0kf
