ID,Posted at,Screen name,Text
576891321291575296,2015-03-14 23:43:03 +0000,ashleytisdale,Sun kissed girls day // @sammydroke @nataliesaidi @kimhidalgo @shelleybuckner https://t.co/ogCIWTsbGi
576163402101366785,2015-03-12 23:30:34 +0000,ashleytisdale,RT @gimmemotalk: 9 years ago #HSM was the #1 album. Cray! http://t.co/ZemrBLCVzZ
576020120717373440,2015-03-12 14:01:13 +0000,ashleytisdale,Such a great energy booster! http://t.co/alREFIwGqd
575404054752272384,2015-03-10 21:13:11 +0000,ashleytisdale,Happy birthday to THIS chick!! @emilyosment looking good on @youngandhungry poster! #23 https://t.co/Ebw18BeZsw
574948033911218176,2015-03-09 15:01:07 +0000,ashleytisdale,London Calling! http://t.co/WvdBSCgoKl
574644958151442432,2015-03-08 18:56:49 +0000,ashleytisdale,Real men encourage and support women. They see our strength and realize we are a force to be reckoned… https://t.co/AWRm28I59F
573958259213668352,2015-03-06 21:28:07 +0000,ashleytisdale,Time for #WouldYouRather PART II up now! http://t.co/v6eLFq1BWo  #WYR
573860928069963776,2015-03-06 15:01:21 +0000,ashleytisdale,Jeans and sneakers for the weekend! http://t.co/HMehsEyrWd
573620582098550784,2015-03-05 23:06:18 +0000,ashleytisdale,I'm back! PART II of #WOULDYOURATHER on http://t.co/ewrsIfxMfT #WYR http://t.co/VtDbdW8j7D
573592063389757441,2015-03-05 21:12:59 +0000,ashleytisdale,"Trainer: now spin and high kick 
(My version of that) 
Trainer: no twirling, no twirling in kickboxing 
Me:I wanted to add something extra 😉"
573563434446512128,2015-03-05 19:19:13 +0000,ashleytisdale,Can’t wait to make these cupcakes! http://t.co/7tqhMwgv4k
573221152925085696,2015-03-04 20:39:07 +0000,ashleytisdale,So MANY of you would live w/o TV! Very interesting...where are my people who could live without MUSIC? (That's a tough one I know!) #WYR
573214615158452224,2015-03-04 20:13:08 +0000,ashleytisdale,I’m picking my favorite responses and RT my faves right NOW! Points for replying w/ video! #WYR live without TV or music?….GO!
573181772566945792,2015-03-04 18:02:38 +0000,ashleytisdale,"Would you rather live w/o TV or music? RTg the most creative responses on FB and Twitter today at NOON, use #WYR! Points for using video!"
573157076731482112,2015-03-04 16:24:30 +0000,ashleytisdale,@PattiMurin we love seeing you guys!!
572609210933899266,2015-03-03 04:07:29 +0000,ashleytisdale,RT @iamfrench: Life Flight  http://t.co/i3iPD7t5g6
572493355109654528,2015-03-02 20:27:06 +0000,ashleytisdale,Denim all year round! http://t.co/aMtjaSkUB3
571486670639407104,2015-02-28 01:46:54 +0000,ashleytisdale,@sammydroke hello??? I'm not there 😜
571380412921942016,2015-02-27 18:44:40 +0000,ashleytisdale,Elephant trunk or nah? Ep. 1 of #WouldYouRather is here! https://t.co/WwKotHikKo #video http://t.co/afF9SkkR5i
571157863021674496,2015-02-27 04:00:20 +0000,ashleytisdale,Hands are still shaking from kickboxing today @rise_movement #getit
571038128766476288,2015-02-26 20:04:33 +0000,ashleytisdale,"I’ll be answering life’s most important questions in #WouldYouRather, premiering tomorrow ;) http://t.co/ewrsIfPn7r http://t.co/u0SkLOjAfJ"
570686719554666496,2015-02-25 20:48:11 +0000,ashleytisdale,Sweet. Edgy. The BEST combination! http://t.co/axvof0pTfX
570624363088777216,2015-02-25 16:40:24 +0000,ashleytisdale,This is what my husband deals with..... https://t.co/6XCXLbbCFW
570329836641595392,2015-02-24 21:10:03 +0000,ashleytisdale,@k_k_krayyz Everyone is unique and being different is a good thing. Loving yourself and knowing you're good enough!
570319851576795136,2015-02-24 20:30:23 +0000,ashleytisdale,Help make college possible for kids with the @fulfillmentfund. #GiveBackTuesday http://t.co/lein0BR1s1
570273961092648961,2015-02-24 17:28:02 +0000,ashleytisdale,I'm a flat iron fanatic! My hair is unbreakable thx to @clearhair @walgreens. #IAMWHOIAM #ad http://t.co/eJURrRZlfV http://t.co/sxRsYHnYxC
570268794494554112,2015-02-24 17:07:30 +0000,ashleytisdale,Exactly one month away before we start production on our tv series!!!!! So we celebrated like this… https://t.co/dfeDz10khk
570051075220381696,2015-02-24 02:42:22 +0000,ashleytisdale,@SoGangstaBiebs thank you :)
569904306222174209,2015-02-23 16:59:09 +0000,ashleytisdale,My partner in crime @iamfrench http://t.co/qfO66Oh9wE
569904261850636288,2015-02-23 16:58:58 +0000,ashleytisdale,"Elton John Oscar Party
Hair: @kristin_ess 
Makeup: @fabiolamakeup 
Styling: @bartolistyle 
#teamnextlevel http://t.co/Q6kPWK33IL"
569531917730648064,2015-02-22 16:19:25 +0000,ashleytisdale,@biitchessucks I am goin to the after parties and picked out a pretty awesome look :)
569332260752773120,2015-02-22 03:06:03 +0000,ashleytisdale,Happy birthday to this guy @corbinbleu! It seems like just yesterday we were taking ourselves way too… http://t.co/hzVusZjcUL
569205155419136000,2015-02-21 18:40:59 +0000,ashleytisdale,I'm still not super comfortable with emojis... I'm like which one? Is this lame? Is this weird? What does THIS one mean? #emojiissues
568512878669475844,2015-02-19 20:50:07 +0000,ashleytisdale,@kevingschmidt omg I totally remember those days
568503676517687296,2015-02-19 20:13:33 +0000,ashleytisdale,"It's called ""the producers couch"" giving notes by yours truly... 
#youngandhungrybosslife… http://t.co/s0daenLtKD"
568487306031714308,2015-02-19 19:08:30 +0000,ashleytisdale,@whysotisdale aww I love that!
568483810943369218,2015-02-19 18:54:37 +0000,ashleytisdale,Taking my mornings to the next level :) http://t.co/YJqlTxaB32
567768911924326401,2015-02-17 19:33:51 +0000,ashleytisdale,Wish I could wear these everyday! http://t.co/FxFwnXYZhu
567461823775907840,2015-02-16 23:13:36 +0000,ashleytisdale,"@___dennisss been there, done that 😉"
567461716431106048,2015-02-16 23:13:10 +0000,ashleytisdale,@Miss_AshTisdale you're the sweetest!!
567461605810507777,2015-02-16 23:12:44 +0000,ashleytisdale,You ever work out so hard you feel like you're gonna throw up? Yea I just did that.....
567424783764033536,2015-02-16 20:46:25 +0000,ashleytisdale,@vanessastv it might sooner than you think ;)
567073268679450624,2015-02-15 21:29:37 +0000,ashleytisdale,@karlsendama happy birthday!!
567043652925804544,2015-02-15 19:31:56 +0000,ashleytisdale,Weekend in the Wild http://t.co/jS5OL6Jr2g
566827367201374209,2015-02-15 05:12:30 +0000,ashleytisdale,@jenkellytisdale I have clearly been cut out of that picture lol
566719999549906944,2015-02-14 22:05:51 +0000,ashleytisdale,Woke up in Rose Petals. Happy Valentines Day ❤️❤️❤️ http://t.co/EGL3yNONpE
566325014404677632,2015-02-13 19:56:19 +0000,ashleytisdale,"@AMC_Fighter thank you, that's means so much to me"
566324577697935361,2015-02-13 19:54:35 +0000,ashleytisdale,@whysotisdale now that's crazy!! Pizza AND chocolate?!
566324453403926528,2015-02-13 19:54:06 +0000,ashleytisdale,@proudtizzie13 thank you!
566324410638811138,2015-02-13 19:53:55 +0000,ashleytisdale,@kenziej24 happy birthday!!!
566323561019604992,2015-02-13 19:50:33 +0000,ashleytisdale,@Gaetano_Boccia I love that picture!!
566323272103391232,2015-02-13 19:49:24 +0000,ashleytisdale,@oxBrianaxo prob my favorite video I did!
566309569149030400,2015-02-13 18:54:57 +0000,ashleytisdale,I woke up like this...... thanks to @kristin_ess and ronacolor. They just changed my hair game! http://t.co/45wT0rpjfb
566282023443390464,2015-02-13 17:05:30 +0000,ashleytisdale,Happy birthday to the little girl who has my heart. She's grown up so fast and can't believe she turns… http://t.co/3nw40xnNvS
566081462005268480,2015-02-13 03:48:32 +0000,ashleytisdale,@sammydroke https://t.co/PxgpECW2Ak
565995418836676608,2015-02-12 22:06:38 +0000,ashleytisdale,@AlfredoFlores haha
565746322263646208,2015-02-12 05:36:48 +0000,ashleytisdale,Beyond excited for my friends @justinbaldoni & @EmBaldoni! You guys are gonna be the best parents!! http://t.co/Xlwf00S5g8”
565650474960179200,2015-02-11 23:15:57 +0000,ashleytisdale,@AMC_Fighter thank you!!
565649906631979008,2015-02-11 23:13:41 +0000,ashleytisdale,@instaria hi 😊
565631399626280963,2015-02-11 22:00:09 +0000,ashleytisdale,.@herbalessences New Wild Naturals smells amazing! Even if I'm not in a jungle paradise. One day... http://t.co/2LMDFAG6A1  #ad
565243987586736128,2015-02-10 20:20:43 +0000,ashleytisdale,Help make a difference in children's lives with @HeartofLA http://t.co/ySbeINT0dO #GiveBackTuesday
564936749965922305,2015-02-09 23:59:51 +0000,ashleytisdale,My bodyguard. She's always watching..... http://t.co/4nghDvQmj8
564676832268541952,2015-02-09 06:47:02 +0000,ashleytisdale,"OMG! LOL, I did NOT see that one coming. Too funny @herbalessences http://t.co/2LMDFAovbr #GRAMMYs  #ad"
564600159359602688,2015-02-09 01:42:22 +0000,ashleytisdale,Can't wait to watch the #GRAMMYs tonight! Throwing a lil viewing party with the besties 🎉🎈🎶
563850235630206976,2015-02-07 00:02:26 +0000,ashleytisdale,Yay for Friday!!!!! Looking forward to the weekend :)
563407396362407936,2015-02-05 18:42:45 +0000,ashleytisdale,A game changing moment for me would def have to be the 1st time I ever performed on stage! Share yours w/ @DegreeWomen #GameChanger #spon
562833740020580353,2015-02-04 04:43:15 +0000,ashleytisdale,This 🍪 emoji is making me want cookie crisp....
562778610608918528,2015-02-04 01:04:11 +0000,ashleytisdale,@EmilyOsment why did we think that was a great idea 😣
562777948273778689,2015-02-04 01:01:33 +0000,ashleytisdale,@EmilyOsment yea I think it was called savasana.....
562092297190252544,2015-02-02 03:37:01 +0000,ashleytisdale,RT @JuddApatow: That game ended so dumb the whole experience feels unsatisfying.   And the Nationwide kid can no longer fly.
562059513054765057,2015-02-02 01:26:45 +0000,ashleytisdale,The @Always commercial was inspiring! Empowering young girls is SO important. Lets do everything #LikeAGirl http://t.co/bDH5PhdIN2 #SB49 #ad
562058524344057857,2015-02-02 01:22:49 +0000,ashleytisdale,@katyperry is killin it at the #SuperBowI! So good #hugefan
562049477276479490,2015-02-02 00:46:52 +0000,ashleytisdale,I've eaten way too much #superbowlparty
562045019528658944,2015-02-02 00:29:09 +0000,ashleytisdale,Sunday Funday!!!! Watching the SuperBowl #WithDad :) http://t.co/5rqJU9ETPO
562016580067151872,2015-02-01 22:36:09 +0000,ashleytisdale,I mean...... #superbowlparty #californiadonuts #GoSeahawks http://t.co/4ALmqi8Z5S
560898422090514433,2015-01-29 20:32:59 +0000,ashleytisdale,"Hey guys! My @FabFitFun winter box has arrived! There are so many fab beauty, fashion, & fitness… http://t.co/1l1ODZ8f77"
560805920369025024,2015-01-29 14:25:25 +0000,ashleytisdale,"So proud of this one. vanessahudgens killed it on stage as Gigi, her dancing, voice and energy lit up… http://t.co/YvqHIzPczW"
560493515109834752,2015-01-28 17:44:02 +0000,ashleytisdale,RT @justjaredjr: Woohoo @YoungandHungry is coming back March 25th@ @EmilyOsment @sadowski23 http://t.co/Hc4fgBCFSw http://t.co/wi9VL3wULp
560149279495716864,2015-01-27 18:56:09 +0000,ashleytisdale,This is what it's like to eat with my sister @jenkellytisdale......HELLO!!! I'm over here!! #allbusiness #realscreen http://t.co/shGKOchw0n
560121190577360896,2015-01-27 17:04:33 +0000,ashleytisdale,Quick gym break in between meetings #reelscreen #getit http://t.co/iDlkL3qXT7
560093422112243712,2015-01-27 15:14:12 +0000,ashleytisdale,Tweeting live from #realscreen (a convention where companies pitch shows to every network) @BlondieGirlProd let the adventures begin
559560582605463554,2015-01-26 03:56:53 +0000,ashleytisdale,Congrats to my upcoming costar @laurenlapkus and the rest of the cast of #OINTB on their #SAGAward win!!!!
558749917632401408,2015-01-23 22:15:36 +0000,ashleytisdale,@eliastahan blurred lens lol
558099056896270336,2015-01-22 03:09:18 +0000,ashleytisdale,@nicolerichie I'm so down! I don't know how I'll keep a straight face but I'd love 2!
557706245445287936,2015-01-21 01:08:25 +0000,ashleytisdale,"RT @iamfrench: You guys, our friends in @TheGoodMad have a new EP out today! Get it here --> https://t.co/mzditq3rrE !! http://t.co/KprUYqLn0o"
557600906444029952,2015-01-20 18:09:50 +0000,ashleytisdale,"I am now binge watching #CandidlyNicole. @nicolerichie is so funny, I can't stop!"
556919550642356226,2015-01-18 21:02:22 +0000,ashleytisdale,Hot yoga I kicked YOUR ass today! #feelinggood
556305437666992128,2015-01-17 04:22:06 +0000,ashleytisdale,"Only thing I have to say when I know my girl @VanessaHudgens is about to kill on stage is""break a leg, In theater that means good luck!""#hsm"
556158005029650433,2015-01-16 18:36:15 +0000,ashleytisdale,When on the treadmill this is what I watch. Old school #inspo @britneyspears. #getit #thatredsuit http://t.co/U9YoiFWVsc
555902516156977152,2015-01-16 01:41:02 +0000,ashleytisdale,#TBT to fittings for #driveshesaid. Johnny blue eyes makin us all look good @jayrmonty bria_murphy… http://t.co/8JdqZeRnQs
