ID,Posted at,Screen name,Text
577307448379232256,2015-03-16 03:16:36 +0000,britneyspears,Cheese! Lol http://t.co/EUTSZmPPKw
576442555258290176,2015-03-13 17:59:49 +0000,britneyspears,"RT @billboard: .@BritneySpears on why her Vegas residency ""clicked"" and new album not being a ""full priority"" http://t.co/24nWhpMdnG http://t.co/FABBtjKyhD"
576147224217841665,2015-03-12 22:26:17 +0000,britneyspears,Thank u to @billboard & to the talented @joepugliese for this shot. New cover out tomorrow! http://t.co/PNX5y0QY3n http://t.co/Sfmmy1ccaV
575453886485389313,2015-03-11 00:31:12 +0000,britneyspears,Who else is listening to @Madonna's #RebelHeart today? Totally feeling this album! http://t.co/RR3tLpQOyL
575431124463157248,2015-03-10 23:00:45 +0000,britneyspears,We (sort of) made it up alive... lol http://t.co/cnTGv8YHct
574400562399051776,2015-03-08 02:45:40 +0000,britneyspears,It's Saturday night at #PieceOfMe! Last show before a short break so I wanna see you all get CRAZY tonight! http://t.co/zIOeTWtcnh
574383934118567936,2015-03-08 01:39:36 +0000,britneyspears,@DanicaPatrick Hope you ladies had fun!! Thanks for coming :)
573723152909381633,2015-03-06 05:53:53 +0000,britneyspears,"After bath time, we sing!! This little one is something else, lolol 😬😂 http://t.co/5fDMYW190r"
573676227883466752,2015-03-06 02:47:25 +0000,britneyspears,@Rogerskolney Thank you! :)
573675735451201536,2015-03-06 02:45:28 +0000,britneyspears,RT @Vevo: If we told you this was @BritneySpears' 8th #VevoCertified video would you hold it against us? http://t.co/hizWinkA86 #TBT
572579227754745856,2015-03-03 02:08:20 +0000,britneyspears,RT @DJPaulyD: Catch Me On @extratv TONIGHT ! W/ The Queen @britneyspears !
571944834098864128,2015-03-01 08:07:29 +0000,britneyspears,@sidreasonlife thank you.  All of you are amazing.
571943042266972161,2015-03-01 08:00:22 +0000,britneyspears,@reedlikeabook_ thank you so much!!!
571942464858152960,2015-03-01 07:58:04 +0000,britneyspears,@itspetrovabitch followed you ❤️
571942315272499201,2015-03-01 07:57:28 +0000,britneyspears,@laurxndrugs thank you so so so much!
571941963869515780,2015-03-01 07:56:05 +0000,britneyspears,@TuncayHx I see you and followed u :)
571941563510607872,2015-03-01 07:54:29 +0000,britneyspears,@whozjauregui followed you!  Thx so much for your support xo
571941423777370112,2015-03-01 07:53:56 +0000,britneyspears,RT @Jxceline: Text 'Vote Britney' to 81500 OR vote here: http://t.co/dZeojNc68y @britneyspears 💜
571941075515912194,2015-03-01 07:52:33 +0000,britneyspears,@RedsBarbie 8 minutes left!
571940532810752000,2015-03-01 07:50:23 +0000,britneyspears,@ferch_tzilin love your profile pic 😉
571939922707279872,2015-03-01 07:47:58 +0000,britneyspears,RT @MRaeArtOfTrance: EVERYONE and I mean EVERYONE needs to vote for @britneyspears Txt 'Vote Britney' to 81500 OR vote here http://t.co/P7X3unDng9
571939478173925376,2015-03-01 07:46:12 +0000,britneyspears,@csch411 can't wait to see you!
571939346384728064,2015-03-01 07:45:40 +0000,britneyspears,"RT @brazaynleiro: Text 'Vote Britney' to 81500 OR vote here: http://t.co/3lMQPFxJJB       
Please, follow me, @britneyspears!  Love you! +81"
571939210795487233,2015-03-01 07:45:08 +0000,britneyspears,@JayceeBitch xoxo
571936010017226752,2015-03-01 07:32:25 +0000,britneyspears,RT @StrippedFatale: Do it for @britneyspears 💕 http://t.co/Ixziy4aYz6
571935823253266432,2015-03-01 07:31:40 +0000,britneyspears,@EriElise you're the best!
571935100922810368,2015-03-01 07:28:48 +0000,britneyspears,@lsparks4 appreciate the dedication....let's bring this home!!!
571934618263240704,2015-03-01 07:26:53 +0000,britneyspears,@CarlyRoseFnClub xo
571933958356660224,2015-03-01 07:24:16 +0000,britneyspears,@BRI10mo hi Tomomi!  Thank you so much for everything you are doing ❤️
571933794191613952,2015-03-01 07:23:37 +0000,britneyspears,@VanessaJeanDang awww you. are. amazing.
571933597885583362,2015-03-01 07:22:50 +0000,britneyspears,@ItsMartiinBitch xoxo
571933257534578688,2015-03-01 07:21:29 +0000,britneyspears,@mexican_kenbarb you're amazing!  Thx so much for voting and spreading the word ❤️
571933137476837377,2015-03-01 07:21:00 +0000,britneyspears,"RT @dendantas: Text 'Vote Britney' to 81500 OR vote here: http://t.co/zOSNAyWRR0     
 @intimatebritney @britneyspears"
571932979120848897,2015-03-01 07:20:22 +0000,britneyspears,@aksgaga thank you so so much!
571931420525916161,2015-03-01 07:14:11 +0000,britneyspears,RT @MarioLopezExtra: Last chance to vote for @britneyspears for Best of Las Vegas. Text 'vote Britney' to 81500 or click here: http://t.co/p1Wnb8h7LJ
571895723244957696,2015-03-01 04:52:20 +0000,britneyspears,@thepoplife ❤️ you too!  Thx so much for the nonstop votes!
571895205995012096,2015-03-01 04:50:17 +0000,britneyspears,@raqruss you're amazing!  Thank u ❤️
571894994316894208,2015-03-01 04:49:26 +0000,britneyspears,@geewhizzle awwww thank you!!!!
571894891489320960,2015-03-01 04:49:02 +0000,britneyspears,@NickSpears_ xoxo
571894729505292290,2015-03-01 04:48:23 +0000,britneyspears,@codyspearz thank you!!!  See ya next week!!!
571894327607103490,2015-03-01 04:46:47 +0000,britneyspears,@InGodneyWeTrust thank you so much for the support ❤️
571894202147086336,2015-03-01 04:46:17 +0000,britneyspears,"RT @InGodneyWeTrust: Text 'Vote Britney' to 81500 OR vote here: http://t.co/CRA9HB1jax     
 @hannahspears @britneyspears"
571875750489415680,2015-03-01 03:32:58 +0000,britneyspears,Made some new friends today 🐬 Thank you @TheMirageLV the dolphins were amazing!! http://t.co/M1CuWp3KyK
571738115536130048,2015-02-28 18:26:03 +0000,britneyspears,Last day to vote POM for Best Show at the @BestofLasVegas awards! Thank you all for supporting. Let's take it home!! http://t.co/OjkdeuL1qh
571705927818088448,2015-02-28 16:18:09 +0000,britneyspears,@jaurelive thank you so much!  You're amazing ❤️
571705860310740993,2015-02-28 16:17:53 +0000,britneyspears,"RT @jaurelive: @britneyspears i'm voting all day long! because you're the best and deserves it http://t.co/LyrdgzjaZC …
i love you 💘"
571701142322733056,2015-02-28 15:59:08 +0000,britneyspears,Look who decided to Walk This Way.... Thx for coming out to the show last night @IamStevenT! #PieceOfMe http://t.co/UfRIi5591u
571458409003945985,2015-02-27 23:54:36 +0000,britneyspears,"RT @DailySpears: #SpreadTheWord 📢
Text 'vote Britney' to 81500 or click here: http://t.co/y2CppsamKn to vote for #PieceOfMe and @britneyspears!"
571411116590411777,2015-02-27 20:46:41 +0000,britneyspears,Nothing better than family lunches in Vegas! http://t.co/cT10TUFhz3
571337499982721024,2015-02-27 15:54:09 +0000,britneyspears,"@spe4rsgmez wow, thank you!  You're wonderful ❤️"
571334684136714243,2015-02-27 15:42:58 +0000,britneyspears,@if_u_seek_amy you all always are making me proud ❤️
571331148367859712,2015-02-27 15:28:55 +0000,britneyspears,@outrageousney amazing!!!! ❤️ you all are the best.
571330863750729728,2015-02-27 15:27:47 +0000,britneyspears,@SametcanKanal you're so sweet.  Thank you for all of your incredible support!
571328245561364481,2015-02-27 15:17:23 +0000,britneyspears,@FiebreBritney thank you ❤️
571328098190237696,2015-02-27 15:16:48 +0000,britneyspears,@MisterBadKarma awwwww you're amazing!!! ❤️
571326292332650498,2015-02-27 15:09:37 +0000,britneyspears,RT @TillWorld96: DON'T STOP !!!!! VOTE VOTE VOTE http://t.co/ZbRQmO9fUe @britneyspears
571325506362019840,2015-02-27 15:06:30 +0000,britneyspears,@GGsaid I know you all do...because you all are the best! ❤️
571325094997331968,2015-02-27 15:04:52 +0000,britneyspears,@pabliitospears awwww thank you sweetie!!!
571324390689763330,2015-02-27 15:02:04 +0000,britneyspears,@AmandaLoyde awwww thank you so so so much :)
571324006961262593,2015-02-27 15:00:32 +0000,britneyspears,@BasoCell thank you for all of your support ❤️
571323689855119360,2015-02-27 14:59:16 +0000,britneyspears,@BabifanBritney thank you so much!  You're amazing ❤️
571323367074066433,2015-02-27 14:58:00 +0000,britneyspears,RT @breatheheavycom: URGENT! @BritneySpears needs your help to win POM as BEST SHOW at @ReviewJournal’s @BestOfLasVegas Awards! Details: http://t.co/oymrVxKVP8
571321525401333760,2015-02-27 14:50:40 +0000,britneyspears,Amazing night for an amazing cause! Thank you @NVCCF & @Zappos #WildNightAtTheZoo 🐒🐫🐖🐢🐑 http://t.co/19Soe81njE
571070071696699392,2015-02-26 22:11:29 +0000,britneyspears,"RT @phvegas: Will the #BritneyArmy lose this battle? No.

Txt 'Vote Britney' to 81500 & click here to vote: http://t.co/UtWm3hcHqH http://t.co/ZCvJA4g204"
571024825507917824,2015-02-26 19:11:42 +0000,britneyspears,Thank you!! 😘 RT @Glamurosa79: @intimatebritney She is perfect! Elvira collection is beautiful!! 💕💕 @britneyspears http://t.co/BayzWquel8
569672912669712385,2015-02-23 01:39:41 +0000,britneyspears,"Took the boys to #AirStyleLA today to hang w some snowboarders, skiers &... snakes. Lol #SundayFunday✌️🐍@ShaunWhite http://t.co/L7hmjfVWMd"
569331416690851840,2015-02-22 03:02:42 +0000,britneyspears,So proud of this show & thrilled POM is up for Best Show in the @ReviewJournal's @BestOfLasVegas Awards. Text 'Vote Britney' to 81500 :)
568316258917052416,2015-02-19 07:48:49 +0000,britneyspears,"@MelissaJoanHart It was so good to see you!! It's been TOO long. Hope you
had fun tonight! Xoxox"
568315603242520576,2015-02-19 07:46:13 +0000,britneyspears,"RT @phvegas: We are so thrilled that @MelissaJoanHart could be here tonight! 

Here she is with @BritneySpears. #PieceOfMe http://t.co/tozVXfWMXE"
567874379708788736,2015-02-18 02:32:57 +0000,britneyspears,@mrbritster Your sister has great taste :)
567872430112403456,2015-02-18 02:25:12 +0000,britneyspears,@nycmakeupbyalli Me too!!
567507524916891649,2015-02-17 02:15:12 +0000,britneyspears,"SO SO SO happy for you! That ring 😍😍😍 💍 Congrats Gaga!!! RT @ladygaga: He gave me his heart on Valentine's Day, and I said YES!"
567160422999273472,2015-02-16 03:15:56 +0000,britneyspears,Sending a big congrats to @NBCSNL & Dick Ebersol for #SNL40 tonight! Lucky to have had some serious laughs with them 😜
566724840439414786,2015-02-14 22:25:05 +0000,britneyspears,Cake war over! Charlie wins!!!! Happy Valentine's Day everyone 💝 http://t.co/rGEC6dvX47
566425253098692609,2015-02-14 02:34:38 +0000,britneyspears,Getting ready for a little photo shoot session before the show tonight... a new cover is in the works 😉
565987672200855552,2015-02-12 21:35:51 +0000,britneyspears,So happy to have new @IntimateBritney pieces for you all! #Elma and #Elvira are now available online! http://t.co/GCRfFGhPFj
565985919132385280,2015-02-12 21:28:53 +0000,britneyspears,"New season, new sets! Here's my entire @IntimateBritney Spring/Summer 2015 collection :) http://t.co/kR4Bkouglf"
565931841245675520,2015-02-12 17:54:00 +0000,britneyspears,"Thank you to everyone who donated to @NVCCF! Not only did you make a HUGE impact, but you also made it the best Valentine's Day EVER!"
565623713245454337,2015-02-11 21:29:36 +0000,britneyspears,.@SiobhanAloudPLL Thank you! Donating really is the best part :) There are only a few V-day gifts left so you got one just in time!
565357631276331008,2015-02-11 03:52:17 +0000,britneyspears,@cilohohcirej Awww that's so nice of you to say! Giving back is really important & I'm so proud of all my fans for making this possible.
565357212181495808,2015-02-11 03:50:37 +0000,britneyspears,@jeslyne Woohoo! 🙏 Thank you so much for donating!
565356855837614080,2015-02-11 03:49:12 +0000,britneyspears,RT @xokimiya: @britneyspears made my order Britney! I love it! So glad I could contribute to this charity. Love you so much! Can't wait for my order ❤️☺️
565356680725405697,2015-02-11 03:48:31 +0000,britneyspears,RT @toxicbrit: so excited to have ordered @britneyspears V-Day bundle from her store. Signed :) UK bound x
565306506137325568,2015-02-11 00:29:08 +0000,britneyspears,@BabifanBritney Actually this is available internationally. You can donate from anywhere!
565304065970946049,2015-02-11 00:19:26 +0000,britneyspears,@BTO91 Thank you!!
565303342390579200,2015-02-11 00:16:34 +0000,britneyspears,@ddarianlee it's the Valentine's gift that keeps on giving :) Plus how cute is that bear??
565300207307730944,2015-02-11 00:04:06 +0000,britneyspears,"Donate $250 and receive a limited edition V-Day tee, a teddy bear, and my Fantasy perfume ❤ Spread the love here: http://t.co/PnKubxP6iz"
565298810470289409,2015-02-10 23:58:33 +0000,britneyspears,Let's spread the Valentine's Day love a little farther this year. Giving away 100 signed T's today to benefit @NVCCF! http://t.co/KWSx6qWMqF
563453350465634305,2015-02-05 21:45:21 +0000,britneyspears,Here it is as promised! New collection #Elvira from @IntimateBritney will be on sale next week! http://t.co/C6KO1AJaFh
