ID,Posted at,Screen name,Text
577605625582092289,2015-03-16 23:01:27 +0000,carlyraejepsen,"KONNICHIWA, NIPPON! I’m thrilled to let you know that I will be coming back to Japan in April. See you soon!"
577502636573790208,2015-03-16 16:12:12 +0000,carlyraejepsen,"I visited the @Vevo office in NYC to chat about upcoming music, pancakes, chess and more! Watch here: http://t.co/QPcGLfWrJm"
577245918140960772,2015-03-15 23:12:06 +0000,carlyraejepsen,I like to bring friends to red carpet events and then try to bite them. Totally normal. @davidkalani… https://t.co/eTBWrongDG
576960359640125440,2015-03-15 04:17:23 +0000,carlyraejepsen,"RT @nextbigsound: The Twittersphere really, really responded to @tomhanks's starring role in @carlyraejepsen's I Really Like You video. http://t.co/nhGKR2jRhq"
576644700309995520,2015-03-14 07:23:04 +0000,carlyraejepsen,A fairly magical place to sing if you ask me. https://t.co/fwNrA1NaBl
576540132502716416,2015-03-14 00:27:33 +0000,carlyraejepsen,"RT @billboard: On the #Hot100, @CarlyRaeJepsen arrives with her ""really, really"" likable new single http://t.co/KIvfmgFPe5"
576473574116093953,2015-03-13 20:03:05 +0000,carlyraejepsen,@radiodisney ~tune In this Thursday for my takeover at 3pm pst #ireallylikeyou https://t.co/Ue0bbs8srv
576121036703301632,2015-03-12 20:42:13 +0000,carlyraejepsen,RT @adamjk: psssst 😌😌😌 http://t.co/eMxg6Kytmt
576119593741086720,2015-03-12 20:36:29 +0000,carlyraejepsen,"RT @TalkToMeCarly: @RydelR5 and her friends jammed out to ""I Really Like You"" by @CarlyRaeJepsen at her tea party. 😍 http://t.co/8Hb1r98Mv2."
575790892721704962,2015-03-11 22:50:21 +0000,carlyraejepsen,"I said ""let's do a silly pose"" and then this happened...☺️ https://t.co/7NmKtwpWLF"
575740885377273856,2015-03-11 19:31:38 +0000,carlyraejepsen,RT @sunriseon7: Very excited to have @carlyraejepsen performing LIVE on the show today! #hawaiisun7
575429620121513984,2015-03-10 22:54:47 +0000,carlyraejepsen,"RT @Vevo: See @carlyraejepsen, @tomhanks & @justinbieber goof around and learn their moves on the set of #IReallyLikeYou: http://t.co/UhbyOnoHJ7 #BTS"
575427493634539520,2015-03-10 22:46:20 +0000,carlyraejepsen,Had a blast shooting the #IReallyLikeYou video! Check out the BTS on @VEVO here: http://t.co/7Q3vdfhFCQ http://t.co/YEdFkEY4CJ
575411689362886656,2015-03-10 21:43:32 +0000,carlyraejepsen,Listening party for 1. 🌸🌸🌸 Album's almost done! https://t.co/js4sMbJryi
575381121191403521,2015-03-10 19:42:04 +0000,carlyraejepsen,"RT @Bravotv: Hey @CarlyRaeJepsen we're really, really excited that #IReallyLikeYou is in #Newlyweds, premiering tonight at 10/9c!
https://t.co/9JGeSA4qgF"
575381110789529600,2015-03-10 19:42:01 +0000,carlyraejepsen,RT @Tinder: .@carlyraejepsen @tomhanks @justinbieber LOVE seeing @Tinder in your #IReallyLikeYou video! And @tomhanks on Tinder? #SwipeRight!
575356392002883584,2015-03-10 18:03:48 +0000,carlyraejepsen,callmekathleenn- your voice is gorgeous. I Really Like You : http://t.co/WfyvK0kbRE via @YouTube
575352777246814208,2015-03-10 17:49:26 +0000,carlyraejepsen,This is so damn cute~ I Really Like You  (cover by The Johnsons): http://t.co/OdnhNFRlnd via @YouTube
575347750428020736,2015-03-10 17:29:27 +0000,carlyraejepsen,RT @YouTube: .@carlyraejepsen and @tomhanks really really like you. http://t.co/BhYmzdeedI http://t.co/sxWFXHrSLp
575340534983606272,2015-03-10 17:00:47 +0000,carlyraejepsen,"Exclusive BTS video from the #IReallyLikeYou video shoot featuring me, @TomHanks​, @JustinBieber​ ...and @Tinder​! 

http://t.co/PMzHxSjtDe"
575185677748465664,2015-03-10 06:45:26 +0000,carlyraejepsen,Heaven ... I'm in Heaven. https://t.co/btjLJ8vMH4
575136535030407169,2015-03-10 03:30:10 +0000,carlyraejepsen,Just arrived in Hawaii- on the fence about swimming. Thanks @davidkalani for the pic! X https://t.co/AOHZPv9A68
575092823352967168,2015-03-10 00:36:28 +0000,carlyraejepsen,"RT @BenMulroney: Hey @carlyraejepsen, you inspired us at @etalkCTV! http://t.co/hjpx1n2P2L @scooterbraun @jsmanson @tomhanks #IReallyLikeYou"
575091777109164032,2015-03-10 00:32:19 +0000,carlyraejepsen,It's kinda incredible to look out your plane window and see this! #Hawaii #ireallylikeyou https://t.co/xPcx9N36B2
575058216914141185,2015-03-09 22:18:57 +0000,carlyraejepsen,RT @beckycsanderson: When @tomhanks  is dancing up a storm in @carlyraejepsen's new vid = everything you need #MondayMotivation http://t.co/ancNfp1XYj
574998973934518272,2015-03-09 18:23:33 +0000,carlyraejepsen,:) when I grow up... https://t.co/CkpsvxFLFl
574971785759731712,2015-03-09 16:35:30 +0000,carlyraejepsen,"""I'm so in my head when we're out of touch...."" #ireallylikeyou"
574647057807491073,2015-03-08 19:05:09 +0000,carlyraejepsen,"I need to tell you something... 

http://t.co/W1b0drqFkI // http://t.co/3MbBjwUliZ http://t.co/BomWP6W1iA"
574633414776745984,2015-03-08 18:10:56 +0000,carlyraejepsen,"RT @billboard: Do you really, really like Tom Hanks? You should watch @CarlyRaeJepsen's new video (also featuring @JustinBieber)! http://t.co/FRY2gStRX4"
574414523215409155,2015-03-08 03:41:09 +0000,carlyraejepsen,@KingBach @rudymancuso Thanks for making a guest appearance in the #IReallyLikeYouVideo :) http://t.co/tUA3bUPuV3 http://t.co/FqbnULZXPG
574414378822303745,2015-03-08 03:40:34 +0000,carlyraejepsen,RT @Vevo: #Top3onVevo Today: 3. @taylorswift13 http://t.co/XgF9q4XC4J 2. @MarkRonson http://t.co/Oj134ux57G 1. @carlyraejepsen http://t.co/ekvGCwkM4q
574319508032069632,2015-03-07 21:23:35 +0000,carlyraejepsen,"I really, really, really, really, really, really like you @TomHanks. 

http://t.co/tUA3bUPuV3 http://t.co/oJrcPHn0cK"
574288622993563648,2015-03-07 19:20:52 +0000,carlyraejepsen,RT @justinbieber: We really like you :) http://t.co/pmkhOqeUqK http://t.co/Z7JiSo3GjU
574277686673039361,2015-03-07 18:37:24 +0000,carlyraejepsen,.@TomHanks @JustinBieber & I got our flash mob on for the #IReallyLikeYouVideo! Watch here: http://t.co/tUA3bUPuV3 http://t.co/Iu4U0DoZ5v
574070734538084352,2015-03-07 04:55:03 +0000,carlyraejepsen,RT @Vevo: It's finally here! Watch the #VevoPremiere of @carlyraejepsen's #IReallyLikeYou ft. @justinbieber and @tomhanks: http://t.co/T7JRhYfAtq
