ID,Posted at,Screen name,Text
577593473127301120,2015-03-16 22:13:09 +0000,coldplay,"Our friend @printsjackson is one year into his ""one song, every month"" project & is looking for collaborators - http://t.co/FA1SqOOSux WC"
577155999947079680,2015-03-15 17:14:48 +0000,coldplay,@keroldplay Yep - I made one of the iPad covers to test it out. Very nice too! A
577154254760198144,2015-03-15 17:07:51 +0000,coldplay,You can create custom Coldplay merch at http://t.co/Ip44ZqXgZM - like these designs that fans have made recently… A http://t.co/VFNYLxhBeC
576104315070332928,2015-03-12 19:35:46 +0000,coldplay,"If you have a chance, maybe watch the documentary India's Daughter.  It's very powerful & I am so inspired by the young protesters. Love CM"
575726320686137344,2015-03-11 18:33:45 +0000,coldplay,Perfect Ruin by @Kwabs just brought me to a complete standstill. Beautiful. https://t.co/2EsR1uXiuR WC
574964399632416768,2015-03-09 16:06:09 +0000,coldplay,@dredelwad You're very welcome. A
574961546977218560,2015-03-09 15:54:49 +0000,coldplay,We've just uploaded the full official video for Ghost Story (from the A Sky Full Of Stars EP) http://t.co/jIRRUk0yde A
573858952296947712,2015-03-06 14:53:30 +0000,coldplay,"Happy 15th birthday to Shiver, released on this day in 2000 - http://t.co/wgrfIQ7QDT A"
573817543179255808,2015-03-06 12:08:57 +0000,coldplay,"""Has Ode to Deodorant ever been played live?"" @ColdplayOracle  knows… http://t.co/TiafXoYvIN A"
573590993288568832,2015-03-05 21:08:44 +0000,coldplay,"Thank you for everything @zanelowe, the living antidote to cynicism, love j, g w, c #thankszane #hottestpersonintheworldrightnow"
573531301485133824,2015-03-05 17:11:32 +0000,coldplay,"RT @GooglePlay: A Sky Full of Stars and confetti! @coldplay's 'Ghost Stories' free, 1 day only → http://t.co/8ajlBQztav
#Play3rdBday http://t.co/RpRvh6zs76"
573531197600567296,2015-03-05 17:11:07 +0000,coldplay,"@connorpwillis It's @googleplay's 3rd birthday, not the album's… A"
573524356850130945,2015-03-05 16:43:56 +0000,coldplay,@ghoststor1es We were told it was a worldwide offer. Am checking in with the label on that. A
573523168410861570,2015-03-05 16:39:13 +0000,coldplay,"@thuanecs All's well here, thanks. Big party at the Harveytown Library this evening for World Book Day. Am baking some biscuits for it. A"
573520699328958464,2015-03-05 16:29:24 +0000,coldplay,"@santi_perz Vanilla, please. Am I allowed sprinkles too? A"
573518138735722496,2015-03-05 16:19:14 +0000,coldplay,"To celebrate its 3rd birthday, @GooglePlay is today offering Ghost Stories as a free download, worldwide. Head to http://t.co/3XYouV9CJi A"
572503888584155136,2015-03-02 21:08:58 +0000,coldplay,"In case you missed it on Friday, check out @FourTet's gorgeous, unreleased 2005 remix of Fix You http://t.co/vqBXPMDPNz A"
571343708098060290,2015-02-27 16:18:49 +0000,coldplay,@samchrissy #teamwhiteandgold A
571342758356652032,2015-02-27 16:15:03 +0000,coldplay,"Following its recent debut on @Jon_Hopkins_ @BBCR1 show, we've uploaded @FourTet's unreleased 2005 remix of Fix You http://t.co/vqBXPMDPNz A"
570600473931194368,2015-02-25 15:05:28 +0000,coldplay,@vivaharveytown Thanks. You too. A
570242025926344704,2015-02-24 15:21:08 +0000,coldplay,"We are 5 of the 1,000,000 #DementiaFriends – Join us by signing up today http://t.co/iqqKLPQgQ9. PH"
569954736964800512,2015-02-23 20:19:33 +0000,coldplay,@coldplayloverp http://t.co/tUHUZmrIoR :-) A
569954562410467330,2015-02-23 20:18:51 +0000,coldplay,@keroldplay Paris was definitely right up there. Loved the Cologne and Albert Hall ones too. A
569940514461655041,2015-02-23 19:23:02 +0000,coldplay,The last few of our 2015 Calendar Posters are available half price in the Coldplay Store at http://t.co/bvl99JWqoi A http://t.co/ouMWkdK4z0
569823214836289536,2015-02-23 11:36:55 +0000,coldplay,Another Viva-era drawer find - one of the medals given to all crew at the final show (by a lookalike of the Queen) A http://t.co/8OQrYVbhcZ
569808322653765632,2015-02-23 10:37:45 +0000,coldplay,"@stuckinsquare1 don't worry, am RIGHT HERE. A"
567274551982436352,2015-02-16 10:49:27 +0000,coldplay,Just found these in a drawer... A http://t.co/Tpyp7PXtcM
566556154143469569,2015-02-14 11:14:47 +0000,coldplay,"RT @mencap_charity: Valentine’s Day is here, so let’s celebrate the can’t-stop-smiling power of love #CelebrateTheLove http://t.co/YmCZfTZV2Z"
566360324941819904,2015-02-13 22:16:38 +0000,coldplay,RT @GlblCtzn: ANNOUNCING: Chris Martin will curate #GlobalCitizenFestival for the next 15 years! Read about our collaboration here http://t.co/6gGv0PZhtB
566264034329391104,2015-02-13 15:54:01 +0000,coldplay,Chris is joining @GlblCtzn in their campaign to end extreme poverty by 2030. Please sign up with him http://t.co/wP9ENaBmzr #GlobalCitizen
565912029949865984,2015-02-12 16:35:16 +0000,coldplay,RT @Apparatjik: Apparatjik World - coming to a World near you! TOTALLY AWESOME APPARATJIK BOOK TABLE-COFFEE - See: http://t.co/H5oebqPvEg for purchasings.
565565094734884864,2015-02-11 17:36:40 +0000,coldplay,"if you're someone living with a disability in the UK, you should check this new live music club out. http://t.co/hXiMctxDZg PH"
564639370310062080,2015-02-09 04:18:11 +0000,coldplay,"RT @TheGRAMMYs: Album Of The Year winner @beck joined by #ChrisMartin for ""Heart Is A Drum"" #GRAMMYs"
564638515775160320,2015-02-09 04:14:47 +0000,coldplay,"RT @TheGRAMMYs: Backstage at the #GRAMMYs with @coldplay, @beck. Watch now on @CBS: http://t.co/MVNJNwoHvd http://t.co/NUVMKqWtGg"
564006471453900800,2015-02-07 10:23:16 +0000,coldplay,@coldplayiste En français? Deux ou trois mots. :-) A
564003454407172097,2015-02-07 10:11:16 +0000,coldplay,"At this week's @BroadcastAwards, Ghost Stories Live 2014 won Best Music Programme. You can get the DVD from http://t.co/KjEXZrntX4. A"
563358505420087296,2015-02-05 15:28:29 +0000,coldplay,@mrclmonteiro That's great! They should have one in every library in the world. A
563358311987175424,2015-02-05 15:27:42 +0000,coldplay,@gabsrodriguues_ Never went away… :-) A
562276667520208896,2015-02-02 15:49:38 +0000,coldplay,In case you didn't it see yet - here's the official fans' cut of the interactive Ink video. http://t.co/4raY33EA1I A
561621999941074944,2015-01-31 20:28:13 +0000,coldplay,@NitaArias1 looking good! A
560509172979335168,2015-01-28 18:46:15 +0000,coldplay,If you'd like to give someone a little True Love this Valentine's Day… http://t.co/vWdH3uB3fH A http://t.co/cflcmM0l8n
559999942501363712,2015-01-27 09:02:45 +0000,coldplay,"Congratulations to @raemorrismusic on the release of her debut album, Unguarded. Well worth a listen. A http://t.co/wWGTI0vk1h"
558720626505297920,2015-01-23 20:19:12 +0000,coldplay,"For those asking, you can order those (and any other fan creations) from the Fan Showroom http://t.co/Bz7TCjfkQ3 A http://t.co/1PCKGZKece"
558720011532255232,2015-01-23 20:16:45 +0000,coldplay,"@_coldplayslove_ Yes, many times. Like it a lot. Particularly love Genoa, Treviso and Bergamo. A"
558718548575780865,2015-01-23 20:10:57 +0000,coldplay,@sixtiesnights This one's quite subtle but really good… A http://t.co/KSAKWfKEWj
558717842187911168,2015-01-23 20:08:08 +0000,coldplay,You can now create custom Coldplay merch at http://t.co/Ip44ZrO4nY. Here are some fan designs that caught our eye… A http://t.co/GXn8CRemUv
557302409329115136,2015-01-19 22:23:43 +0000,coldplay,"RT @rossidavide: I'm pleased to announce that my new website is online, with a whole lot of new content and links. Hope you enjoy it!  http://t.co/0OJXi6Caep"
556151353970802689,2015-01-16 18:09:50 +0000,coldplay,RT @printsjackson: Nothing left #Toulouse ! Follow @printsjackson & get your one FREE song every month @ http://t.co/cuSJJ88Chf #RT @coldplay #printsjackson
556034951200907265,2015-01-16 10:27:17 +0000,coldplay,"In case you missed it before Christmas, here's @rossidavide's sumptuous remix of True Love http://t.co/Q267sGCkzk A"
555788528035328002,2015-01-15 18:08:05 +0000,coldplay,Just announced - the band's up for Best British Group at the 2015 @BRITAwards! A http://t.co/OYeJUofqLf
555430556180439040,2015-01-14 18:25:38 +0000,coldplay,Sohana's story is so moving http://t.co/9bcKVStbIn. Please help fight #EB. You can donate at http://t.co/JkKJi8kmfg. Thanks #EBtonguetwister
555078129916846080,2015-01-13 19:05:13 +0000,coldplay,"@coldplei Yes, it's my favourite (but I probably should've shaved before they took the photo). A"
555061585069498370,2015-01-13 17:59:29 +0000,coldplay,Watch A Sky Full Of Stars live at last month's @BBCRadio2 concert in London - http://t.co/MzQQH0GwaR A
553986424283078656,2015-01-10 18:47:10 +0000,coldplay,@FirstTheColors Hard to say for sure. But it's definitely a possibility. :-) A
