ID,Posted at,Screen name,Text
577573553802907648,2015-03-16 20:54:00 +0000,ddlovato,#NoMakeupMonday ☀️😎🌴 #NMM #devonnebydemi http://t.co/PfGJMeuO0t Now send me yours!!!!! https://t.co/Sn7qHZ2For
577568470763614208,2015-03-16 20:33:48 +0000,ddlovato,@LanceBass ❤️❤️❤️
577565363698708480,2015-03-16 20:21:28 +0000,ddlovato,Each dollar we raise supports the Lovatic Scholarship & helps those struggling with mental health + addiction issues http://t.co/N0YkzAEwfh
577565168810401792,2015-03-16 20:20:41 +0000,ddlovato,My incredible friends @khloekardashian @LanceBass and @PerezHilton will be there to support as well!! ❤️ http://t.co/N0YkzAEwfh
577564919110840321,2015-03-16 20:19:42 +0000,ddlovato,And @joejonas THANK YOU for coming to DJ! 😜🎶
577564693100822528,2015-03-16 20:18:48 +0000,ddlovato,So thrilled that @christinaperri @BeaMiller @Sirah are performing at my scholarship benefit on Wednesday!!! http://t.co/N0YkzAEwfh
577355269174231041,2015-03-16 06:26:37 +0000,ddlovato,I wish I could put into words how grateful I am for this man right here. But my love has grown to a… https://t.co/LqlhaJYT0z
577318164008054784,2015-03-16 03:59:11 +0000,ddlovato,I love you all... #3
577318125147852800,2015-03-16 03:59:01 +0000,ddlovato,"But with the love and support I've been given from my friends, fans, and family.. I now celebrate my 3rd birthday. Thank you to everyone"
577317450514964480,2015-03-16 03:56:20 +0000,ddlovato,I'm still catching up to texts and congrats tweets... Thank everyone who has supported my journey. I never knew sobriety was possible for me
576523794115743744,2015-03-13 23:22:38 +0000,ddlovato,@christinaperri can't wait to see you!!! 😜😝💗
576522248456032256,2015-03-13 23:16:29 +0000,ddlovato,@joejonas... Ya know... I've never heard you DJ before........
576514866208329729,2015-03-13 22:47:09 +0000,ddlovato,"I’m gonna perform a couple songs, speak and bring some friends out. It’s gonna be a PARTYYYY!!! 😜😜 http://t.co/N0YkzAEwfh"
576514029155266560,2015-03-13 22:43:50 +0000,ddlovato,SO excited for the Lovato Scholarship Benefit on 3/18 in LA!!!! ☺️☺️ http://t.co/N0YkzAEwfh
576505385386962944,2015-03-13 22:09:29 +0000,ddlovato,SURFBORT. 🏄 https://t.co/PDlJPnQPkb
576497500464410624,2015-03-13 21:38:09 +0000,ddlovato,RT @kelly_clarkson: My new album #PiecebyPiece is finally here!!! Get it on iTunes here: https://t.co/U5RHXRfXLM
576421799669313536,2015-03-13 16:37:21 +0000,ddlovato,RT @AvoYermagyan: Hey @Cosmopolitan...so happy you are feeling these @LouboutinWorld shoes on @ddlovato! 💖 http://t.co/4ImjoxE7NF
576421227947933696,2015-03-13 16:35:04 +0000,ddlovato,RT @devonnebydemi: Ever wondered how involved @ddlovato really is in the creation of #DevonnebyDemi? http://t.co/50zfN7hIg8
576182612676382720,2015-03-13 00:46:54 +0000,ddlovato,Airport glam ✈️✈️✈️ https://t.co/QVUIKsP2rY
576179527812063232,2015-03-13 00:34:38 +0000,ddlovato,I ❤️ NY https://t.co/UIjyakS78g
576118605047173120,2015-03-12 20:32:33 +0000,ddlovato,I can explain........... 😳😰✈️ https://t.co/9TtD0kfE7i
576054158576472064,2015-03-12 16:16:28 +0000,ddlovato,And another ❤️❤️❤️ #TBT https://t.co/vtbM4GWlTW
576051513023430656,2015-03-12 16:05:57 +0000,ddlovato,I ❤️ this woman 😘  #TBT https://t.co/lXCHFtHl2P
576018794633674752,2015-03-12 13:55:57 +0000,ddlovato,On #GMA this morning talking about @devonnebydemi!!! Always a blast doing this show!! ☀️💗✨… https://t.co/Gdw3PvEeHW
576014777799077888,2015-03-12 13:39:59 +0000,ddlovato,"Always SO great seeing this guy!!! Genuine, sincere and so sweet!! Love you Michael!! 😄☀️ https://t.co/lwMgNx9YJ0"
575814091060604928,2015-03-12 00:22:32 +0000,ddlovato,"Oh ya know just casually growing a @mysecretcolor tree 😜💆🌳 http://t.co/LZ8v8sXet0
https://t.co/ovOunxy4Bq"
575675960990662657,2015-03-11 15:13:39 +0000,ddlovato,"“@WValderrama: Excited to share our next movie with yall.. 
#TheGirlIsInTrouble in theaters THIS April!!” I'm SO PROUD!! 😍😍😍💗"
575672999505854465,2015-03-11 15:01:53 +0000,ddlovato,GUYS.... WE HAVE CANDLES!!!!! 😱😱😱💜💜💜 #DevonneByDemi http://t.co/PfGJMeuO0t http://t.co/lce0dTVWy2
575382878181163008,2015-03-10 19:49:02 +0000,ddlovato,I’m taking over @Twister Twitter at 1PST. Join me in the biggest game of Twister ever! #LetsMove #TwisterMoves http://t.co/8KNidyRYGE
575105173862789120,2015-03-10 01:25:33 +0000,ddlovato,Be a part of the biggest game of Twister ever! Join me Tuesday 1pm PST as I take over @Twister for a Twitter Chat #LetsMove #TwisterMoves
575034230146756608,2015-03-09 20:43:38 +0000,ddlovato,#NoMakeupMonday ☀😊💛 Keepin' my skin fresh w/ @devonnebydemi... Send me your #NMM selfie!! Have YOU… https://t.co/8oGF3xCkp5
575022118343061504,2015-03-09 19:55:31 +0000,ddlovato,Tickets on sale tomorrow at 5pm PST at http://t.co/W0Trpda3iq!!!
575021923630866432,2015-03-09 19:54:44 +0000,ddlovato,I am so excited for my first benefit ever!! 😱😍😃 Come support The Lovato Scholarship!!! ❤️❤️ http://t.co/ew9og8GzT2
574781577374273537,2015-03-09 03:59:41 +0000,ddlovato,I'm going to have my first benefit for the Lovato scholarship. More details to come tomorrow! 😝
574779696140828672,2015-03-09 03:52:13 +0000,ddlovato,I think I have a great idea...
573518091172237313,2015-03-05 16:19:03 +0000,ddlovato,"Officially @DemisBuddy approved 👍 @mysecretcolor  http://t.co/Q08zIM9Nqe
https://t.co/aQXVUwuir5"
572504645353918464,2015-03-02 21:11:58 +0000,ddlovato,Follow @devonnebydemi to see who I picked as this week’s #NMM feature!!😜 https://t.co/DH0480iAGo
571920184945995777,2015-03-01 06:29:32 +0000,ddlovato,RT @toojiggy: #UFC184 w/ this jerk @ddlovato. This was our reaction when @RondaRousey added another arm to her collection. #UFC http://t.co/NswdnjfR1u
571899404979986434,2015-03-01 05:06:58 +0000,ddlovato,"I LITERALLY JUST SAID ""I'm gonna film this because she's probably gonna finish this in SECONDS.""… https://t.co/OeGmtC5OLX"
571895791419179008,2015-03-01 04:52:36 +0000,ddlovato,Ps. There's a Walburger here 😱🍔
571895510954450944,2015-03-01 04:51:29 +0000,ddlovato,#UFC184 - FUCKING KILL IT @RondaRousey!!!
571784642950524929,2015-02-28 21:30:56 +0000,ddlovato,My new obsession: booster shots from jusbyjulie!!! Thanks Julie for my juices!! 💪👍💚 https://t.co/AGqB7z4Lc5
571377090957717504,2015-02-27 18:31:28 +0000,ddlovato,IT WAS BLUE AND BLACK. 😌
571219569299357696,2015-02-27 08:05:32 +0000,ddlovato,Regardless of what society tells you these days... You don't have to have a thigh gap to be… https://t.co/FEGyTmBJji
571209627578310656,2015-02-27 07:26:02 +0000,ddlovato,"Don't train to be skinny, train to be a #badass 💪👍💛 https://t.co/pGOKYpxxEk"
571198542867505152,2015-02-27 06:41:59 +0000,ddlovato,Post workout xo's ❤️💋🐶 https://t.co/Yy3v1QXSXW
571149421968101376,2015-02-27 03:26:48 +0000,ddlovato,RT @DepressedDarth: Welcome to the Internet http://t.co/3bAWqwit4z
571142055671386112,2015-02-27 02:57:32 +0000,ddlovato,Wow... My mind is blown. Civil war in the studio right now. #blueandblack 💙◾️
571141077803012097,2015-02-27 02:53:38 +0000,ddlovato,Hold on.... So people actually see white and gold....??!! 😰😱
571140055579942914,2015-02-27 02:49:35 +0000,ddlovato,RT @lovatoclub: It's on! #LovatoClub VIP presale for MANILA #DEMIWORLDTOUR. Members: http://t.co/ypnB9FAtH3 Join now and participate: http://t.co/MgFSSCIRRw
571136186170736640,2015-02-27 02:34:12 +0000,ddlovato,"Wow. We now live in a world where not only can anyone become famous, but ANYTHING can too. 😑👗"
571067484314464256,2015-02-26 22:01:12 +0000,ddlovato,Oh my god.... These LLAMAS!!!!!!!! 😂😂😂
570745706555834368,2015-02-26 00:42:35 +0000,ddlovato,Because this song is so emotional... 😂 Miss you too BIFF 💗👭👯 https://t.co/lP2HJcxEH8
570739363870576640,2015-02-26 00:17:22 +0000,ddlovato,"Watched her grow into a humble, beautiful and strong young woman!! ❤️ you girl 😘😘😘😘 https://t.co/GEGx6ShWgQ"
570687974024867840,2015-02-25 20:53:10 +0000,ddlovato,RT @devonnebydemi: This is how some of you described #DevonnebyDemi. Tell us how you’d describe #DevonneByDemi. http://t.co/orBNV8volA http://t.co/GEq9Y7ZkqY
570657501500153857,2015-02-25 18:52:05 +0000,ddlovato,Thanks for the get well messages.. The media likes to blow things out of proportion.. I'm fine!! Nothing a little chicken soup can't fix!! 😝
570080323813416960,2015-02-24 04:38:35 +0000,ddlovato,RT @charmingmovie: Looks like @THR is as excited about @ddlovato as Exec Music Producer and lead for the #CharmingMovie as we are! http://t.co/aflJL99eIk
570044281676640256,2015-02-24 02:15:22 +0000,ddlovato,RT @mysecretcolor: Thanks @etnow for giving @ddlovato's #SecretColor your stamp of approval for all hair types! http://t.co/qV3TPMVBef http://t.co/izeSrlPw9S
569720097649995776,2015-02-23 04:47:10 +0000,ddlovato,“@irobotyoujane: and then you have friends like THIS. @ddlovato #SOBBING 🙌❤️💛💚💙💜 http://t.co/3yfxjjFJSs” I'm so grateful for YOU 😘😊🌈
569719355090423809,2015-02-23 04:44:13 +0000,ddlovato,"""Stay weird, stay different"" - @MrGrahamMoore... 🙏🙌👏 God bless you Graham. 💗"
569695187351445504,2015-02-23 03:08:11 +0000,ddlovato,Too many haters on Twitter these days. This generation needs to learn how to love a little.
569692080651542528,2015-02-23 02:55:51 +0000,ddlovato,RT @TheTweetOfGod: MY SON! MY SON IS PRESENTING FOR BEST SUPPORTING ACTRESS!!!
569567023337857024,2015-02-22 18:38:55 +0000,ddlovato,"Every time it rains, Buddy gets so confused. #californiadog 🌴☀️😝"
569236646492708866,2015-02-21 20:46:07 +0000,ddlovato,Ginger ale = 👍🙌🙏 thank you @lisamorrisshow for taking care of me yesterday.. I love you so much ❤️
568613938159595520,2015-02-20 03:31:41 +0000,ddlovato,Snow White ain't got nothin' on me.. 💄💋❤️ #DevonneByDemi http://t.co/LdAbm0F4h4 http://t.co/m63szQWZTj
568597892862078976,2015-02-20 02:27:56 +0000,ddlovato,😘😘 for @DemisBuddy #skechersdemistyle http://t.co/MUTzr0clT0
568586677041520640,2015-02-20 01:43:22 +0000,ddlovato,RT @demigron: @ddlovato @m_callahan Demi lovato wore yoga pants and a hoodie to coachella so i wore yoga pants and a hoodie to coachella
568585134875652096,2015-02-20 01:37:14 +0000,ddlovato,@m_callahan Dude... exactly. Yoga pants and hoodie. #alldayerrrrday
568583922595991552,2015-02-20 01:32:25 +0000,ddlovato,One day I wanna go to Coachella dressed super boring and normal.
568569030874771456,2015-02-20 00:33:15 +0000,ddlovato,Domo Arigato Demi Lovato... 😳
568505155831754752,2015-02-19 20:19:26 +0000,ddlovato,@Smallzy great to catch up with you! Looking forward to seeing you in April!
