ID,Posted at,Screen name,Text
577475578099589120,2015-03-16 14:24:41 +0000,edsheeran,Kuala Lumpur! https://t.co/S4F7PI61Zc
577422901072154624,2015-03-16 10:55:22 +0000,edsheeran,"@jooe63_joe don't worry about what anyone else says man. Enjoy yourself with it, that's what singing is about, not what other people think"
577091501609598976,2015-03-15 12:58:30 +0000,edsheeran,Happy Mother's Day to all the great mums out there x
577001438225645568,2015-03-15 07:00:37 +0000,edsheeran,@OneRepublic I still haven't seen it and feel left out
576974782182207489,2015-03-15 05:14:42 +0000,edsheeran,Autocorrect can duck right off
576961214028251136,2015-03-15 04:20:47 +0000,edsheeran,@ItsBennyBlanco seek help
576959177832030208,2015-03-15 04:12:42 +0000,edsheeran,@ItsBennyBlanco not even you are safe with you
576754185535881217,2015-03-14 14:38:08 +0000,edsheeran,"P.s, that's not actually my kid, but thanks"
576750626434105344,2015-03-14 14:23:59 +0000,edsheeran,My son is a little dude https://t.co/H6xXtB4vnA
576746549725806592,2015-03-14 14:07:47 +0000,edsheeran,Singapore ! https://t.co/cDbqUoSbpy
576025366420131840,2015-03-12 14:22:04 +0000,edsheeran,Manila ! https://t.co/5awcQl90O6
576024071403532288,2015-03-12 14:16:55 +0000,edsheeran,"@Stormzy1 man I love it, and the video is amazing !"
575994025058037760,2015-03-12 12:17:31 +0000,edsheeran,@Stormzy1 I'm trying to help ! http://t.co/C0vwxwi2B4
575977504193687552,2015-03-12 11:11:52 +0000,edsheeran,"Manila is incredible, I'm so excited for this concert"
575617414332723200,2015-03-11 11:21:00 +0000,edsheeran,@johnnymcdaid @CourteneyCox you're both the best ever
575617371630530560,2015-03-11 11:20:50 +0000,edsheeran,"RT @johnnymcdaid: Here's my beautiful girl @CourteneyCox wearing a necklace made by Imogen Sheeran, @edsheeran 's mum. Beautiful stuff! http://t.co/mk3dxXkxUw"
575297163829379072,2015-03-10 14:08:27 +0000,edsheeran,Hong Kong https://t.co/UThp9yAkQN
574879502632894464,2015-03-09 10:28:48 +0000,edsheeran,"@littleatoms @Willjhodgkinson the records we sell fund the next generation of singers, no ones killing anything, stop moaning"
574776760723763200,2015-03-09 03:40:33 +0000,edsheeran,God bless Korea https://t.co/aenlyqyASu
574752042851430400,2015-03-09 02:02:20 +0000,edsheeran,"@CourteneyCox and behind every good man, there is a chair"
574522517898981376,2015-03-08 10:50:17 +0000,edsheeran,Seoul https://t.co/Z7zsG0Q6AB
574455311366537216,2015-03-08 06:23:13 +0000,edsheeran,http://t.co/q38rWY35gU
574454559025852416,2015-03-08 06:20:14 +0000,edsheeran,"Thinking out loud has hit #1 across all major radio formats in America this week. Never thought that would happen, so so cool"
574204097227853824,2015-03-07 13:44:59 +0000,edsheeran,Shanghai https://t.co/XQ1DDFCglq
574156778528706560,2015-03-07 10:36:57 +0000,edsheeran,Just driven past a pharmacy in Shanghai called Pum Pharm
573560991964917760,2015-03-05 19:09:31 +0000,edsheeran,Dubai https://t.co/UPxvCzh7h7
573474790662479873,2015-03-05 13:26:59 +0000,edsheeran,"Zane Lowe's last show on radio 1 today. I wouldn't be where I am without him and his support, good luck with everything man, and thank you x"
572844922983845888,2015-03-03 19:44:07 +0000,edsheeran,Doha https://t.co/63qD8maYYn
572065531857137665,2015-03-01 16:07:05 +0000,edsheeran,Mumbai https://t.co/GkSlg0wvZj
571399828082692096,2015-02-27 20:01:49 +0000,edsheeran,Muscat https://t.co/LvLM1pdqrx
570726737862111232,2015-02-25 23:27:12 +0000,edsheeran,@Robbie9Fowler I was so close to saying that too
570724813309939713,2015-02-25 23:19:33 +0000,edsheeran,Love you everyone xx
570724784612495362,2015-02-25 23:19:26 +0000,edsheeran,"Congratulations to everyone else too, @samsmithworld you champ @taylorswift13  congrats on your 1st !"
570724680912510976,2015-02-25 23:19:02 +0000,edsheeran,"All I say is George Ezra has had a phenomenal year, regardless of a statue he has had an amazing year and is a career artist"
570724518978826240,2015-02-25 23:18:23 +0000,edsheeran,"Thank you so much for the two Brits. Album of the year, speechless, so chuffed"
570695064734863360,2015-02-25 21:21:21 +0000,edsheeran,"One last time, tweet #EDSHEERANBRIT please xx"
570677211377897474,2015-02-25 20:10:24 +0000,edsheeran,"I have a chance of winning another Brit tonight for best video. Please tweet #EDSHEERANBRIT and get everyone you know to aswell, fanks xx"
570656898137104384,2015-02-25 18:49:41 +0000,edsheeran,Happy to announce a second date for Croke Park on the 25th of July !
570574288245407745,2015-02-25 13:21:25 +0000,edsheeran,@NME yay
570523515042058240,2015-02-25 09:59:40 +0000,edsheeran,@nme this one won't make your news will it ladz RT @QMagazine: .@NoelGallagher defending @EdSheeran? http://t.co/pazBAlvLiz
570518569995386880,2015-02-25 09:40:01 +0000,edsheeran,Brit awards today. I'm performing on it so tune in on itv
570518096521371648,2015-02-25 09:38:08 +0000,edsheeran,@ComplexMag you need to cheer up mate
570277375738576897,2015-02-24 17:41:36 +0000,edsheeran,Long ol' day innit
570277255911497728,2015-02-24 17:41:07 +0000,edsheeran,Did a cover of Coco for @1Xtra today - https://t.co/wdHzFfHpuq
570242276284346369,2015-02-24 15:22:07 +0000,edsheeran,@Fearnecotton you need to do one shot before you go home #grannylife
570241484307505153,2015-02-24 15:18:59 +0000,edsheeran,"@Fearnecotton thanks so much for letting me play what I want today, I loved it so much"
570241021747048448,2015-02-24 15:17:08 +0000,edsheeran,@grimmers @taylorswift13 fanks for having us
570239165050294274,2015-02-24 15:09:46 +0000,edsheeran,Oi @xtina I covered you - http://t.co/JmLHUgeM3d
570170973988765696,2015-02-24 10:38:48 +0000,edsheeran,RT @Fearnecotton: Today the delightful @edsheeran is doing a Live Lounge special on my show on @BBCR1
570152513065914368,2015-02-24 09:25:26 +0000,edsheeran,RT @taylorswift13: #innit trend that http://t.co/KQKYPmjAV7
570131515641876480,2015-02-24 08:02:00 +0000,edsheeran,On with @grimmers @r1breakfast
570113957639421952,2015-02-24 06:52:14 +0000,edsheeran,@grimmers SEE YOU IN A BIT YEH
570112077639131137,2015-02-24 06:44:46 +0000,edsheeran,And I'm still full from last nights MEGA meal
570111981010735104,2015-02-24 06:44:23 +0000,edsheeran,"Tune into @BBCR1 all morning til 1pm, they won't get rid of me until then, I'm hosting, being interviewed and playing a 6 song live lounge x"
569988405297336321,2015-02-23 22:33:20 +0000,edsheeran,Meat and shake = pregnant
569940212895375362,2015-02-23 19:21:50 +0000,edsheeran,"Live lounge sorted finally, tune into @BBCR1 tomorrow from 7am, I'm on til 1pm doing stuff"
569919178074955776,2015-02-23 17:58:15 +0000,edsheeran,@athinaandrelos I told you to steal him goddammit
569913860385325056,2015-02-23 17:37:07 +0000,edsheeran,@halseymusic I actually really like that song
569908921516875776,2015-02-23 17:17:29 +0000,edsheeran,Bloodstream video coming soon
569904719721832449,2015-02-23 17:00:48 +0000,edsheeran,"Found out the song I learnt for live lounge tomorrow mornin is banned, so back to the drawing board, open to suggestions..."
569904563731492864,2015-02-23 17:00:10 +0000,edsheeran,"Touring North America soon, get tickets here - http://t.co/LsExp1s9zM"
569233061575049216,2015-02-21 20:31:52 +0000,edsheeran,"Thanks to Ant & Dec for having me on, loved playing with the Royal Marines http://t.co/M5YQZbE5iC"
569207013932195840,2015-02-21 18:48:22 +0000,edsheeran,@RyanSeacrest you should see me when I'm actually massaging ears. Always a happy ending
569153386576285697,2015-02-21 15:15:16 +0000,edsheeran,@robdelaney nah soz
569150321693487104,2015-02-21 15:03:05 +0000,edsheeran,"RT @SNT_news: Tonight Ant and Dec are joined by @ollyofficial, @radioleary, @edsheeran and little Ant and Dec! 7 PM on ITV #SaturdayNightTakeaway"
568805749796835328,2015-02-20 16:13:53 +0000,edsheeran,@athinaandrelos @jamieoliver I make the best pasta
568445702780665856,2015-02-19 16:23:11 +0000,edsheeran,RT @BRITAwards: Can @edsheeran dance his way into the final five for our #BRITs2015 British Video category?! Vote #BRITEDSHEERAN. http://t.co/0p8DQ1vwaW
568399301203922944,2015-02-19 13:18:48 +0000,edsheeran,"@Independent_ie nothing to do with me, lemme send an email"
568379891802083330,2015-02-19 12:01:40 +0000,edsheeran,"I couldn't resist it. Croke park July 24, tickets on sale next week x"
568130962707615745,2015-02-18 19:32:31 +0000,edsheeran,Sung some Stevie Wonder songs last week with Beyonce and Gary Clark Jr. last week and it was awesome. Check it out http://t.co/dlmCcXhFA2
568101994415718400,2015-02-18 17:37:24 +0000,edsheeran,@Gigwise http://t.co/SWN0xtYVh6
567974229142077440,2015-02-18 09:09:43 +0000,edsheeran,"@StuartCamp @_dcb__ he's lying, he didn't get me anything"
567966292852006912,2015-02-18 08:38:11 +0000,edsheeran,"The breakfast option this morning is a chicken Kiev, when in Rome. Or Tallinn. Om nom nom"
567788119693725698,2015-02-17 20:50:11 +0000,edsheeran,Tallinn ! http://t.co/z0GGvMpkRQ
567742426614611969,2015-02-17 17:48:37 +0000,edsheeran,"@tydollasign @charli_xcx that song is such a fuckin jam, playing it full blast in the dressing room"
567705746000060416,2015-02-17 15:22:51 +0000,edsheeran,It's exactly the same guitar that I use live and I can safely say it's awesome
567705599610486785,2015-02-17 15:22:17 +0000,edsheeran,"Bringing out my second charity signature guitar too, which is exciting. Pre order today http://t.co/S9gujVB0Rz"
567703662815088640,2015-02-17 15:14:35 +0000,edsheeran,"Thanks for all the birthday messages, you are all the best"
567703578383745026,2015-02-17 15:14:15 +0000,edsheeran,RT @RollingStone: Watch Beyonce's powerhouse Stevie Wonder tribute medley with Ed Sheeran and Gary Clark Jr. http://t.co/4vkr3kaKqQ
567444099293532160,2015-02-16 22:03:10 +0000,edsheeran,Riga ! http://t.co/fvedfYnfSZ
567443998659579905,2015-02-16 22:02:46 +0000,edsheeran,Yay I'm 24
567068504235708417,2015-02-15 21:10:41 +0000,edsheeran,Vilnius ! http://t.co/20kSpNug5h
566349391041413120,2015-02-13 21:33:11 +0000,edsheeran,Warsaw ! http://t.co/81Hr2phJnc
