ID,Posted at,Screen name,Text
577566364023562240,2015-03-16 20:25:26 +0000,facebook,"@charisseiscool Thanks, Charisse, we will take this back to our team! Are there any instructions you're referring to in particular? -RM"
577565841518170112,2015-03-16 20:23:21 +0000,facebook,@lillyjporter Hi Lilly! Learn more about how to edit the settings between your profile and Twitter account here: http://t.co/uTklEX8qCX. -RM
577560754360053761,2015-03-16 20:03:09 +0000,facebook,"@gypsylips We're sorry to hear that, Gemma! Please secure your account here: http://t.co/snDd7DY93H. -RM"
577559740995276800,2015-03-16 19:59:07 +0000,facebook,"@deadtwink69 Thank you for helping us make Facebook a safer place, for you and our community. -RM"
577559611739414528,2015-03-16 19:58:36 +0000,facebook,"@deadtwink69 We're sorry to hear that. We offer tools to help deal with and report these issues, found here: http://t.co/wICFzYw49K."
577558232832552960,2015-03-16 19:53:07 +0000,facebook,"@breezyxjunkie Hey Marissa. To learn more about why your account might have been disabled, please visit: http://t.co/gUYgpw4PiZ. Thanks! -RM"
577183210573959168,2015-03-15 19:02:55 +0000,facebook,Join Jimmy Kimmel for a live Q&A on his Page now: https://t.co/R2pQhHVn4U
576427593194450944,2015-03-13 17:00:22 +0000,facebook,"@EmanuelBanks We're sorry to hear that, Emanuel! Have you already tried securing your account here?: http://t.co/WaC7RlWYxA. -RM"
576427236070440960,2015-03-13 16:58:57 +0000,facebook,"@captainginge123 @colbykeller Fake profiles are not allowed on Facebook. Thanks for letting us know, David!"
576421372974489600,2015-03-13 16:35:39 +0000,facebook,"@J0hnni3Simps0n We’re sorry to hear that, Johnnie. Let us know what would make your experience more enjoyable: http://t.co/XgLolzVITK. -RM"
576420995105452035,2015-03-13 16:34:09 +0000,facebook,"@JorgeGaska How can we help you today, Jorge? We'll do our best to point you in the right direction! -RM"
576420203736727552,2015-03-13 16:31:00 +0000,facebook,@mayra0824 Hi Mayra. You can learn how to turn our video auto-play settings on or off here: http://t.co/m068imumzQ. Hope that helps! -RM
576419002081226752,2015-03-13 16:26:14 +0000,facebook,"@hyunshin If you're having trouble downloading the Facebook app for iPhone, please let us know here: http://t.co/lLOBUAu8Wr. Thank you! -RM"
576096339123159041,2015-03-12 19:04:05 +0000,facebook,"@Yadira_Galindo If you and the the Lebowitz family are interested, you can submit this story at: http://t.co/GZN6JABfKJ. Thank you! -RM"
576094962158272512,2015-03-12 18:58:36 +0000,facebook,"@Yadira_Galindo Thank you for sharing this touching story, Yadira. We’re always looking to feature great stories like these..."
576087453079085056,2015-03-12 18:28:46 +0000,facebook,"@hollyrhian We appreciate you helping us keep Facebook a safe place, Holly! -RM"
576086059827724288,2015-03-12 18:23:14 +0000,facebook,"@hollyrhian Hi Holly. Fake profiles aren't allowed on Facebook, so please report them using these steps: http://t.co/cqczQbxUn8. Thanks! -RM"
