ID,Posted at,Screen name,Text
576924634546888704,2015-03-15 01:55:26 +0000,katyperry,beautiful berlin https://t.co/FSHmyVwQ1K
576777257223618560,2015-03-14 16:09:48 +0000,katyperry,❤️ this Rauschenberg @ Hamburger Bahnhof- Museum für Gegenwart https://t.co/ey81CAkxho
576367878716321794,2015-03-13 13:03:05 +0000,katyperry,LIMA! You're next! I'm coming to you on September 22. Tix on sale March 18 at 8:00a: http://t.co/hXjxm2d7ho #PrismaticWorldTour
576176237695094784,2015-03-13 00:21:34 +0000,katyperry,"#TBT to when I accidentally dressed like the Grim Reaper in The Catacombs 💀 @ Paris, France https://t.co/6yFDBgXPXD"
576008160361611264,2015-03-12 13:13:41 +0000,katyperry,CATS! GRAB UR POPPYCORN & GET READY for MARCH 28th! #PrismaticOnEPIX Check dis delicious sampler platter: http://t.co/6nH07ISKLx ❤️🎶😻🎶❤️
575479727370018819,2015-03-11 02:13:53 +0000,katyperry,"Oh hey to you too, snack! (Also doing my best Lisa Loeb impression in these 👓) @ 🌴The Green Light… https://t.co/ZMaLy1NDYc"
574967294490767360,2015-03-09 16:17:40 +0000,katyperry,Getting my foot cupped cause: 👠fashion week👠🙍 http://t.co/qO8QPKD2dU
574947122325364736,2015-03-09 14:57:30 +0000,katyperry,Twinning tour life with the love of my life  👶❤️👧 https://t.co/8G2IGi5wpF
574931636044873729,2015-03-09 13:55:58 +0000,katyperry,PUERTO RICO! I'm excited to bring #ThePrismaticWorldTour & visit San Juan 4 the 1st time on Oct12! Tix on sale Mar16 http://t.co/0zxWacNiip
574707850674487297,2015-03-08 23:06:43 +0000,katyperry,👼🙏dreams of a matriarchy🙏👼 #InternationalWomensDay
574375329852190721,2015-03-08 01:05:24 +0000,katyperry,"Today has been a teleporting type day. 3 cities, 1 day. #tourlife ✈️💁✈️"
574374860522135552,2015-03-08 01:03:32 +0000,katyperry,"Do u hear me, Bogota? October 9 at Parque Deportivo! Tickets on sale March 13 at http://t.co/3I6bXN7dCy. More shows soon!"
574374625402093568,2015-03-08 01:02:36 +0000,katyperry,SOUTH AMERICA! #ThePrismaticWorldTour is finally headed to u!
574227053198864384,2015-03-07 15:16:12 +0000,katyperry,BE ON ALERT CITY OF HERNING: There's a half danish/half panda baby child walking my halls today in… https://t.co/DvDOiUdSC2
573952086976696323,2015-03-06 21:03:35 +0000,katyperry,Went to the commune Christiania in Copenhagen to get some tips on how to plan my own in the future...… https://t.co/XTWltlg2ji
573851349164515328,2015-03-06 14:23:17 +0000,katyperry,http://t.co/HgMpbvmig0 RT @people: 5 places to wear your new #leftshark onesie http://t.co/HcFs2WTtWp http://t.co/97yUWtmsUJ
573816489469345792,2015-03-06 12:04:46 +0000,katyperry,☁️☔️SOTD☔️☁️: https://t.co/xtv0Uv9loF
573481763395141632,2015-03-05 13:54:41 +0000,katyperry,Me every day 🙍 http://t.co/dG7CL3etsD
