ID,Posted at,Screen name,Text
577453450914451456,2015-03-16 12:56:45 +0000,narendramodi,MEA will provide immediate financial assistance to people of Vanuatu. We stand shoulder to shoulder with Vanuatu in this hour of grief.
577453144575094785,2015-03-16 12:55:32 +0000,narendramodi,The devastation caused by Cyclone Pam in Vanuatu is extremely unfortunate. I share the sorrow & pain of all those who have been affected.
577331626276876288,2015-03-16 04:52:40 +0000,narendramodi,Congratulations to the women's hockey team. The entire nation is proud of them.  http://t.co/EP6AKV3jq5
577121849072443393,2015-03-15 14:59:05 +0000,narendramodi,We salute the sacrifice of each and every Indian soldier martyred in the war.
577121678615949312,2015-03-15 14:58:25 +0000,narendramodi,"I urge our youth to visit this exhibition to learn about the War in which nearly 74,000 of our men were martyred in far flung lands."
577121509052784641,2015-03-15 14:57:44 +0000,narendramodi,Was touching to meet the descendants of some of these decorated soldiers.
577121371643219968,2015-03-15 14:57:12 +0000,narendramodi,"The Exhibition brings alive participation & bravery of Indian soldiers in various battlefields of this war across Europe, Africa & Asia."
577121230571995136,2015-03-15 14:56:38 +0000,narendramodi,Visited commemorative exhibition on centenary of First World War at Manekshaw Centre today. http://t.co/shG7LKDAQb
576991379206721537,2015-03-15 06:20:39 +0000,narendramodi,Shri Daulatsinh Jadeja will be remembered for his rich contribution to Gujarat. Saddened by his demise. Condolences to the Jadeja family.
576974582290116608,2015-03-15 05:13:54 +0000,narendramodi,Narayanbhai Desai will be remembered as a scholarly personality who brought Gandhi ji closer to the masses. Sad to hear of his demise. RIP.
576741820153012224,2015-03-14 13:48:59 +0000,narendramodi,RT @David_Cameron: The unveiling of the #GandhiStatue in Parliament Square means the great man now has an eternal home in our country. http://t.co/deMKLU6Kxn
576741704985772032,2015-03-14 13:48:32 +0000,narendramodi,RT @arunjaitley: Speech delivered by me at the Unveiling of Statue of Gandhiji at the Parliament Square in London  on 14th March 2015-http://t.co/pBy49ynxmO
576741552199897088,2015-03-14 13:47:56 +0000,narendramodi,My meeting with Northern Province CM CV Wigneswaran was very fruitful. http://t.co/ioz8uqF3AV
576741184107753473,2015-03-14 13:46:28 +0000,narendramodi,India is proud to assist a project that nurtures dreams & aspirations of several families! http://t.co/7lLb2Lu1lo http://t.co/lJ1rEBWYz4
576740451874570241,2015-03-14 13:43:33 +0000,narendramodi,"Bringing Talaimannar & Madhu Road closer, giving an impetus to development in the region. http://t.co/3urFIPy4Wd"
576703299589709824,2015-03-14 11:15:55 +0000,narendramodi,Offered prayers at the Naguleswaram Temple in Jaffna. Feeling blessed. #Jaffna #SriLanka https://t.co/lxRdAfPELp
576670830324633600,2015-03-14 09:06:54 +0000,narendramodi,Couldn't catch up on the match but heard about the stellar performance by Team India against Zimbabwe. Congrats!
576669981250699264,2015-03-14 09:03:32 +0000,narendramodi,Laid the foundation stone of the Jaffna Cultural Centre. http://t.co/H3zXtUNB2I
576620062024577024,2015-03-14 05:45:10 +0000,narendramodi,"President Sirisena and I at the Sri Maha Bodhi Tree, Anuradhapura. #SriLanka https://t.co/ObD36SrX8m"
576588802795294720,2015-03-14 03:40:57 +0000,narendramodi,Leaving for Anuradhapura. Will also travel to Talaimannar and Jaffna today. Looking forward to a wonderful day.
576389200452308992,2015-03-13 14:27:48 +0000,narendramodi,"Met former President of Sri Lanka, Mrs. Chandrika Kumaratunga. http://t.co/159Y6efFrf"
576388734179876864,2015-03-13 14:25:57 +0000,narendramodi,A picture of my meeting with leaders of the Tamil National Alliance. http://t.co/LhIHv7RxeS
576388370256896001,2015-03-13 14:24:30 +0000,narendramodi,With Mr. Nimal Siripala de Silva. http://t.co/81Vg50ddIo
576387647217623040,2015-03-13 14:21:38 +0000,narendramodi,"RT @PresidentGovLK: PM of India, Shri @NarendraModi, who is on an official visit to #SriLanka, meets President Maithripala. @PMOIndia http://t.co/IpC4ytK0eL"
576376641900785664,2015-03-13 13:37:54 +0000,narendramodi,Highlighted tremendous potential of India-SL economic co-operation during interaction with Ceylon Chamber of Commerce http://t.co/ZQgnoRtB65
576376523608846338,2015-03-13 13:37:26 +0000,narendramodi,The sacrifices & the valour of martyrs of IPKF continues to inspire us. Paid tributes to the martyrs. http://t.co/bfEIhxyiO5
576375953045114880,2015-03-13 13:35:10 +0000,narendramodi,Honoured to address the Parliament of one of Asia's oldest & most vibrant democracies. http://t.co/0LARSC3syP http://t.co/0DkITDAiKo
576375803497226240,2015-03-13 13:34:34 +0000,narendramodi,बुद्ध का रास्‍ता वही है जो युद्ध से मुक्ति दिलाता है…महाबोधी सोसायटी में पूज्‍य संतों के आशीर्वाद लेने का अवसर मिला http://t.co/3yg1jSFRQx
576375412365795329,2015-03-13 13:33:01 +0000,narendramodi,Discussed several issues relating to India-SL co-operation during my meeting with PM Ranil Wickremesinghe. http://t.co/rRCULLYCAN
576374809061277696,2015-03-13 13:30:37 +0000,narendramodi,My remarks at the joint press meet with President Sirisena. http://t.co/jAP0a44yJB
576374696330969088,2015-03-13 13:30:10 +0000,narendramodi,Always a delight to meet President Sirisena. Had an excellent meeting with him in Colombo. http://t.co/PHxBfwgdLe
576048771353575424,2015-03-12 15:55:04 +0000,narendramodi,Humbled by the affection at the civic reception earlier today. Thankful to sisters & brothers of Mauritius. http://t.co/4dKc1DbCxo
576047560395091968,2015-03-12 15:50:15 +0000,narendramodi,National Day celebrations at Port Louis were phenomenal! Glad I got the opportunity to be a part of the celebrations http://t.co/6aqJdo21lL
575968853668188160,2015-03-12 10:37:30 +0000,narendramodi,"The Barracuda is beautiful,capable & brings with her goodwill & greetings of people of India! http://t.co/lD8fPvKgOu http://t.co/1wVqhbrRke"
575967452703522816,2015-03-12 10:31:56 +0000,narendramodi,Always special to address National Assembly of a Nation we are proud to call a friend & a partner. My speech today. http://t.co/zgXmLicmKq
575967338169638912,2015-03-12 10:31:29 +0000,narendramodi,Paid homage to the brave Aapravasis who left the shores of India nearly 2 centuries ago. http://t.co/1ER8l30swF
575966433349251072,2015-03-12 10:27:53 +0000,narendramodi,At the Ganga Talao I felt a deeply personal connect...one that comes from the banks of the Ganga in Varanasi. http://t.co/zfnXOy7yxN
575879354921525248,2015-03-12 04:41:52 +0000,narendramodi,आप अपने सुझाव मुझे http://t.co/0BtKc3K7yS पर भी भेज सकते हैं।  http://t.co/s2X7UKMpG9
575878826309197824,2015-03-12 04:39:46 +0000,narendramodi,"मैं किसान मित्रों की बातें जानना चाहता हूँ और चाहता हूँ कि वे मुझे पत्र लिखें। पता है- ए.आई.आर, आकाशवाणी भवन, संसद मार्ग, नई दिल्ली- ११० ००१"
575878488411897856,2015-03-12 04:38:25 +0000,narendramodi,22 मार्च को मैं अपने किसान भाईयों और बहनों के साथ मन की बात करूँगा ।
575867770505580544,2015-03-12 03:55:50 +0000,narendramodi,Here is the text & video of my remarks at the press meet with PM Anerood Jugnauth last evening. http://t.co/AHCIbfXVcb
575867475637575681,2015-03-12 03:54:39 +0000,narendramodi,National Day greetings to the citizens of Mauritius. Am very glad that I am able to mark this special occasion with the people of Mauritius.
575867327784210432,2015-03-12 03:54:04 +0000,narendramodi,"Dandi March remains a watershed moment in our history. Tributes to all patriots who joined the March, inspired by Gandhi ji's leadership."
575723932084404224,2015-03-11 18:24:16 +0000,narendramodi,Here is the list of agreements/MoUs signed between India and Mauritius. http://t.co/noqBcf0Fg4
575723267211685888,2015-03-11 18:21:37 +0000,narendramodi,RT @PMOIndia: Our agreement on cooperation in Ocean Economy is an important step in deepening our scientific and economic partnership: PM @narendramodi
