ID,Posted at,Screen name,Text
577599189082865664,2015-03-16 22:35:52 +0000,nytimes,"RT @KarenBBarrow: More than 100,000 apps claim to help consumers track their conditions. That doesn’t mean they are all accurate. http://t.co/jiepZS2hR7"
577595214195507200,2015-03-16 22:20:04 +0000,nytimes,Struggling to figure out your identity after cancer http://t.co/5DIAnP1Ig3
577591630783488000,2015-03-16 22:05:50 +0000,nytimes,New research: Older really can mean wiser http://t.co/1dK55EwIWp
577587719557275648,2015-03-16 21:50:18 +0000,nytimes,RT @mikiebarb: GOP front runner for 2016? Who knows.  GOP's biggest curiosity? That would be Rand Paul. Great @jwpetersNYT read: http://t.co/uU8mTrzWBj
577583605813276673,2015-03-16 21:33:57 +0000,nytimes,RT @nytimestravel: Tracing Jewish history along the Danube. http://t.co/70fXbKosJe http://t.co/mmNFNGZ1ms
577583479204028416,2015-03-16 21:33:27 +0000,nytimes,RT @mikehalenyt: Some thoughts on the confusing #TheJinx timeline http://t.co/k16qNqx0gp via @nytimesarts
577579348015902722,2015-03-16 21:17:02 +0000,nytimes,HBO pioneered a new kind of appointment television on Sunday night: the nationally broadcast murder confession http://t.co/p0hdIuOgGc
577576085598167040,2015-03-16 21:04:04 +0000,nytimes,Alcohol or marijuana? A pediatrician discusses which he'd rather his child use http://t.co/qHb29gvhRP
577572772991336449,2015-03-16 20:50:54 +0000,nytimes,"RT @FrancesRobles: Several in Haiti President Michel Martelly's inner circle arrested for rape, murder and kidnapping. My story: http://t.co/s1747yxWcA #Haiti"
577569556992016384,2015-03-16 20:38:07 +0000,nytimes,McDonald’s is having an identity crisis. http://t.co/6YtsxKXAzc
577568544306667520,2015-03-16 20:34:06 +0000,nytimes,"Rand Paul has voters’ ears. Now he's gone to Austin, and snapchat, to win their hearts http://t.co/uLqocayEMG"
577562817085247488,2015-03-16 20:11:20 +0000,nytimes,"For generations, scavengers have prowled Detroit with impunity. But a crackdown is coming.  http://t.co/4yLMyqXGWA http://t.co/C7n8YmURwJ"
577560074274648064,2015-03-16 20:00:26 +0000,nytimes,"RT @nathanielpopper: The JPMorgan hack was not nearly as sophisticated as initially believed, @MattGoldstein26 reports -- http://t.co/9u7DEAlKmj"
577556024552460288,2015-03-16 19:44:21 +0000,nytimes,Going behind the curved glass of New York’s residential towers http://t.co/3pwJQ2wLXz
577551876171952129,2015-03-16 19:27:52 +0000,nytimes,Haitian President tightens grip as scandal engulfs circle of friends http://t.co/QvPYfOyEYE
577549881746853888,2015-03-16 19:19:56 +0000,nytimes,Mike Huckabee is pursuing some unconventional means of fundraising as he considers a presidential bid http://t.co/0DhGEWV9gA
577547061203177472,2015-03-16 19:08:44 +0000,nytimes,RT @tmagazine: “The most famous garden designer no one has ever heard of” gets his own exhibition http://t.co/KWZqdmPSfu http://t.co/yb0Q5rQ7Gl
577542885651918848,2015-03-16 18:52:08 +0000,nytimes,Hospital says American clinician being treated for Ebola is worsening http://t.co/R5iqJKrga4
577540470106099712,2015-03-16 18:42:32 +0000,nytimes,"""Al Gore wants to make a point about cellphones, and he has a helpful set of slides on his laptop."" http://t.co/827nQ7BybL"
577537208573411328,2015-03-16 18:29:35 +0000,nytimes,How toxic chemicals can drive human evolution http://t.co/SUDAbaFmnI
577534535178547200,2015-03-16 18:18:57 +0000,nytimes,"RT @nytimesarts: ""This is me pouring out my soul on the record,"" @kendricklamar told @joecoscarelli http://t.co/H7UbgdaWBC http://t.co/4sS6Qs60ZQ"
