ID,Posted at,Screen name,Text
576794966623571969,2015-03-14 17:20:11 +0000,pitbull,"Gracias a todos, Piensas esta en la posicion #1 de Billboard. Check it out http://t.co/QJF1H9gF7Z http://t.co/0IIBcjDMTq"
576595115902275584,2015-03-14 04:06:02 +0000,pitbull,Muchas Gracias @RODEOHOUSTON @BunBTrillOG alreaddyy http://t.co/ljfHagrJJl
576469856985432064,2015-03-13 19:48:18 +0000,pitbull,New movie from the director of #CocaineCowboys: #DawgFight about the REAL 305 till I die available at http://t.co/nMiBYBaig8 #BYBExtreme
576381356084740096,2015-03-13 13:56:38 +0000,pitbull,#KTUphoria @1035KTU NYC
576354325456371712,2015-03-13 12:09:13 +0000,pitbull,"75,000 tonight at the @RODEOHOUSTON ? Let's get it H-TOWN #DontStopTheParty"
576353556321726464,2015-03-13 12:06:10 +0000,pitbull,thank you to @CapitalOfficial for playlisting #TimeofourLives with @NeYoCompound see you soon UK #dale
575873634985771008,2015-03-12 04:19:08 +0000,pitbull,"RT @ricky_martin: Gang check out #MrPutItDown, my new song with the one and only @Pitbull here👉http://t.co/OXcQ8XzfBW👈"
575364581075382272,2015-03-10 18:36:20 +0000,pitbull,RT @1035KTU: We're 10 mins away from WORLD PREMIERE of the new @pitbull & @ricky_martin song 'Mr. Put It Down!' http://t.co/NJCS0DwlJ5
575363678859493376,2015-03-10 18:32:45 +0000,pitbull,"#Globalization is on sale on @iTunes. Get it now, only $7.99! http://t.co/lgaQcvc877 http://t.co/AHYTqtlGjq"
575286967686004736,2015-03-10 13:27:56 +0000,pitbull,"RT @monitorLATINO: @Pitbull​,@Calibre50mx​ y @RickyMartin247 ​ los favoritos de la radio en monitorLATINO USA
http://t.co/pybEwwVJzw http://t.co/wKmvQiBdSK"
574420215716429825,2015-03-08 04:03:46 +0000,pitbull,THANK YOU .. PUERTO RICO .. Amazing back to back Nights #ElColiseo #PR #MrWorldwide #TeamPitbull… https://t.co/ZF8R1EKKsB
573872513220014080,2015-03-06 15:47:23 +0000,pitbull,RT @CarlaIvey: Que rrrrico!! @Pitbull is in #PuertoRico tonight & tomorrow night with @enrique305 #EnriquePitbullTour ...#DALE http://t.co/DJ1RADTJmb
573688579542683650,2015-03-06 03:36:30 +0000,pitbull,RT @billboard: Dale! @Pitbull and @Enrique305 are on top of the latest Hot Tours chart http://t.co/400ORwsKio
573578650181742592,2015-03-05 20:19:41 +0000,pitbull,"My life’s changed, but Chico will never change, I’m forever Dade. Happy #305Day #Dalé http://t.co/uBckixOHEA"
573143212505710593,2015-03-04 15:29:25 +0000,pitbull,"RT @SonyMusicLatin: .@pitbull y @GdZOficial ponen al mundo a bailar con el súper éxito “Piensas (Dile La Verdad)”: http://t.co/ilnELURaUp
http://t.co/bibF9eGPbM"
573133470324555777,2015-03-04 14:50:42 +0000,pitbull,nos vemos en la noche Honduras #dale
572561739457400833,2015-03-03 00:58:51 +0000,pitbull,Going to Puerto Rico this weekend with @enrique305 get your tickets #dale  http://t.co/UApMj2CSjT
570966505761800192,2015-02-26 15:19:57 +0000,pitbull,this is my first selfie #tbt http://t.co/pHM3lklTns
570760844457287680,2015-02-26 01:42:44 +0000,pitbull,RT @djlp1: Brand new @Pitbull ft @chrisbrown called FUN right here on @997now shout to Pitbull thanks Chico
569964027054571520,2015-02-23 20:56:28 +0000,pitbull,RT @SBSEvents: @enrique305 y @pitbull SOLO ELLOS TIENEN EL JUNTE EXPLOSIVO!! Este 6 y 7 de Marzo en @ColiseoPR / A SOLO 11 DIAS!! http://t.co/HmKVVuLW79
569963922910023680,2015-02-23 20:56:03 +0000,pitbull,"RT @JumpSmokers: Not one, but TWO bangin' #TimeOfOurLives Remixes for our boy @Pitbull! Check 'em both out here: http://t.co/fNBlYnvSuq @NeYoCompound #DALE"
569688466570678272,2015-02-23 02:41:29 +0000,pitbull,"RT @AmericanTop40: With “Time of Our Lives” (f/@NeYoCompound), @Pitbull scores his 10th Top 10 & his 1st since “Timber” (f/@KeshaRose) climbed to #1 last Feb."
569302284217114624,2015-02-22 01:06:56 +0000,pitbull,We gonna get looooosssee in Minneapolis tonight #TimeOfOurLives #EnriquePitbullTour
568925083529400320,2015-02-21 00:08:04 +0000,pitbull,@iTunesMusic @iTunes mi casa es su casa http://t.co/riRAqb8E2w
568911496396169216,2015-02-20 23:14:05 +0000,pitbull,hey @iTunes lets have the #TimeOfOurLives this weekend http://t.co/wSPqHHpD9i #dale
568847442319319040,2015-02-20 18:59:33 +0000,pitbull,need some heat Chicago?  #EnriquePitbullTour @enrique305 @JBALVIN @JumpSmokers @therealdjlaz #dale
568808124208975872,2015-02-20 16:23:19 +0000,pitbull,RT @LaurenPastrana: Note to self- Close your house windows before blasting @Pitbull music and dancing around the living room. Sorry neighbors! Oops!
568575285458833408,2015-02-20 00:58:06 +0000,pitbull,About to go on Stage to Perform #Piensas #PremiosLoSNuestro #PLN2015 #PLN Thank You #CiscoSuarez and… http://t.co/97eX3U7yzb
568530807645536256,2015-02-19 22:01:21 +0000,pitbull,Tonight #PremioLoNuestro with @GdZOficial on @Univision #dale
568493261377175553,2015-02-19 19:32:10 +0000,pitbull,Tonight Con Mi Gente @GdzOfficial #Piensas #OpeningTheShow #PremiosLosNuestros #PLN ... Thanks to… http://t.co/MIWEdGmlEG
568120667729584128,2015-02-18 18:51:37 +0000,pitbull,RT @mega963fm: Alguien dijo #PuertoRico?  Gana un viaje para ver a @pitbull y @enrique305 -> http://t.co/hWwtE4x1WW http://t.co/xm7OXzQ6EC
567842645365563392,2015-02-18 00:26:51 +0000,pitbull,In Denver we get krazy! #EnriquePitbullTour #dale
567076168784834561,2015-02-15 21:41:09 +0000,pitbull,RT @LaNueveCuatroFM: ¿Todavía sin boletos para @enrique305 + @Pitbull? ¡Qué esperas! http://t.co/YsH32rwB2W #EnriquePitbullPR http://t.co/RfxOxxWEHa
567075945429733376,2015-02-15 21:40:15 +0000,pitbull,"Music is so important, and @CricketNation/@MiCricket is bringing it to you. Here's how: http://t.co/4cU30A7ctW #STSA"
566828794376241154,2015-02-15 05:18:10 +0000,pitbull,"RT @TheMostBadOnes: Oakland, California... We go on in less than 1 hour. Let's do this! http://t.co/26XBYbll86"
566738337512181760,2015-02-14 23:18:43 +0000,pitbull,RT @JBALVIN: para las discotecas y radios del mundo de parte de @pitbull y yo disfruten esta canción !!! http://t.co/ZEAwvBEBDw
566732492585963520,2015-02-14 22:55:30 +0000,pitbull,.@FiftyShades don't have nothing on this #dale http://t.co/VBuNIVRFjH
566510176778203136,2015-02-14 08:12:06 +0000,pitbull,"RT @JumpSmokers: Thanx to @Pitbull & @Enrique305, this was our THIRD time playing @STAPLESCenter! We are beyond grateful! #TourLife http://t.co/dtA0mWWhLy"
566363765549981696,2015-02-13 22:30:18 +0000,pitbull,"RT @TheMostBadOnes: We're at the @STAPLESCenter tonight! Los Angles, you ready to get crazy with us? http://t.co/DDDEo61qJ5"
566363647832633345,2015-02-13 22:29:50 +0000,pitbull,are you ready Los Angeles??? @enrique305 @JBALVIN #EnriquePitbullTour tonight
566050007577415680,2015-02-13 01:43:33 +0000,pitbull,in the 661 #EnriquePitbullTour #dale
