ID,Posted at,Screen name,Text
577570760497192960,2015-03-16 20:42:54 +0000,rihanna,RT @MTVMusicUK: We have a new #OfficialAudioStreamingChart No.1! Step up @rihanna with #FourFiveSeconds >>> http://t.co/tnZQp39kTy http://t.co/L4OPC85Wkv
576877920246837248,2015-03-14 22:49:48 +0000,rihanna,"""DROP the bubble guns"" - Tip 
#DreamworksAnimationHOME https://t.co/tCRWZubogQ"
576868342020976640,2015-03-14 22:11:45 +0000,rihanna,me and jennnrosales ridin round n gettin it wit #Oh and #thecatnamedPIG #DreamworksAnimationHOME https://t.co/pulghdioj5
575735753461919744,2015-03-11 19:11:14 +0000,rihanna,"Cover story for harpersbazaarcn by #ChenMan 
@yusefhairnyc @mylahmorales #BazaarChina https://t.co/28dIJfkRoM"
574953718661050368,2015-03-09 15:23:43 +0000,rihanna,RT @harpersbazaarus: MAJOR news for Rihanna! http://t.co/7PW4IRyF3m http://t.co/KOa2r6xn1c
574953658351161345,2015-03-09 15:23:28 +0000,rihanna,RT @TeamOfRihanna: Rihanna is the most streamed woman of all-time on @Spotify! http://t.co/X4o30PyGnz
574952991544897536,2015-03-09 15:20:49 +0000,rihanna,i Heart Radio baby!!!! Navy gon' be deep in dat muhphucka!!! #iHeartAwards #iHeartNavy
574045873711112193,2015-03-07 03:16:16 +0000,rihanna,The anothermagazine Digital Limited Edition filmed by @inezandvinoodh in collaboration with… https://t.co/bWkFwAD512
573946618661203968,2015-03-06 20:41:51 +0000,rihanna,"#COVER HarpersBazaar China 
Shot by the coolest chic I've ever met #ChenMan  
Hair by @yusefhairnyc… https://t.co/VuzsHyEFsL"
573662927661760512,2015-03-06 01:54:34 +0000,rihanna,#MarchMadness x #BadGal https://t.co/GKpEpJgwGA
573662312818700288,2015-03-06 01:52:08 +0000,rihanna,#MarchMadness #AmericanOxygen  #R8 #NavyRDie
573585121128902656,2015-03-05 20:45:24 +0000,rihanna,"Pre-order the #DreamworksHOME soundtrack featuring my song ""Towards the Sun""!! Soundtrack avail. March 24. http://t.co/PZACj9a85r"
573556605775708160,2015-03-05 18:52:05 +0000,rihanna,#NavyRDie https://t.co/ilWwSUos0N
571409023485894656,2015-02-27 20:38:22 +0000,rihanna,RT @TeamOfRihanna: Rihanna is the first ever artist to reach 6 billion views on @VEVO! http://t.co/lLkgYd1Zxl
571159979547193346,2015-02-27 04:08:45 +0000,rihanna,"RT @PUMA: Welcoming creative director, ambassador and style icon @Rihanna on http://t.co/ZO0JDUIbXE. Check it out now. http://t.co/u6HvvwH3PQ"
571124202566070272,2015-02-27 01:46:35 +0000,rihanna,Get ready for a View of the Future... 1st ever iMAG digital cover!! @AnOtherMagazine at @coletteparis & online Mar. 5 http://t.co/L5Y3usOIxN
570282259544043520,2015-02-24 18:01:00 +0000,rihanna,“@RihrihFreak: Now when is the video coming into the out ? #TowardsTheSun” ha! #tweetoftheday @DWAnimation #HOME
570245646482939905,2015-02-24 15:35:31 +0000,rihanna,My song “Towards The Sun” from the #DreamWorksHOME soundtrack is out now!! Download -----> http://t.co/hsKdBrMiWD
569279546568019970,2015-02-21 23:36:35 +0000,rihanna,RT @TheNBACentral: The Rihanna effect. http://t.co/2BrpOorw7H
568986551847227392,2015-02-21 04:12:19 +0000,rihanna,“@hollyrpeete: Here is part 2 of 2 of son RJ's #HappyBirthdayRihanna post💘💘💘 #HeMeltsMyHeart @rihanna http://t.co/Bmo6G80THm” thank you :'))
568986308229537792,2015-02-21 04:11:21 +0000,rihanna,RT @hollyrpeete: I just loooooove this birthday shout out my sweet 17 year old son made for his FAVE artist @rihanna… http://t.co/MuXpDJWXbV
568867297210687488,2015-02-20 20:18:27 +0000,rihanna,Cus it's my birthday
568867087315128320,2015-02-20 20:17:37 +0000,rihanna,Shot by Paolo Roversi for #R8 http://t.co/Zip2GZMvX2
568843535572561921,2015-02-20 18:44:02 +0000,rihanna,My fans are the greatest!!! This put such a smile on my heart! Love you all!! https://t.co/AJQCUSZuAo
568833290200723456,2015-02-20 18:03:19 +0000,rihanna,"Here's a peek at the first time my character Tip meets Oh in #DreamWorksHOME!! In theaters March 27.
https://t.co/4THJoPbGSw"
568143823114776576,2015-02-18 20:23:37 +0000,rihanna,"RT @SuchAF_cKnLADY: Purchase Rihanna ""FourFiveSeconds"" via @iTunesMusic http://t.co/GOy3bnhVxg @GooglePlay http://t.co/JuFjdTaLNH @Amazon http://t.co/u72JL9sgVp"
568142426537365504,2015-02-18 20:18:04 +0000,rihanna,#NavyRDie
568140636714631168,2015-02-18 20:10:57 +0000,rihanna,"Today #FourFiveSeconds moves to #4 on @billboard #Hot100 !!! This is tremendous, and all a result of your support!"
567924824514891776,2015-02-18 05:53:24 +0000,rihanna,"#AlexanderMcQueen Present, Past & Future @AnOtherMagazine @WorldMcQueen @inezandvinoodh http://t.co/1HrH6wgO13"
567923208168611840,2015-02-18 05:46:58 +0000,rihanna,#AnOtherRihannual @AnOtherMagazine @inezandvinoodh http://t.co/frYPFNTt9B
567921962653216768,2015-02-18 05:42:02 +0000,rihanna,#AnOtherRihannual @AnOtherMagazine @inezandvinoodh http://t.co/VNckA2GkEH
567921015617097728,2015-02-18 05:38:16 +0000,rihanna,Celebrating @WorldMcQueen @AnOtherMagazine @inezandvinoodh http://t.co/P8QDrYraw8
567919375908478976,2015-02-18 05:31:45 +0000,rihanna,"Styled by #KatyEngland, hair by @petergrayhair & make-up by #YadimCarranza @AnOtherMagazine http://t.co/UnjHMVtzL1"
567917036719984640,2015-02-18 05:22:27 +0000,rihanna,#AnOtherRihannual @AnOtherMagazine shot by my faves @inezandvinoodh http://t.co/XVjijxqOYK
567915141284634625,2015-02-18 05:14:55 +0000,rihanna,"My @AnOtherMagazine cover celebrating @WorldMcQueen Present, Past & Future: http://t.co/x0yWOHK9kk http://t.co/bicxNFBHc9"
567101986349547521,2015-02-15 23:23:44 +0000,rihanna,wkorea #KoreaTownLA dennisleupold http://t.co/PZajamVCS8
567041115992252416,2015-02-15 19:21:51 +0000,rihanna,"wkorea x dennisleupold . 
Shot this entire shoot in dior downtown LA in Korea town http://t.co/zlndfzsPpF"
567040267979853825,2015-02-15 19:18:29 +0000,rihanna,wkorea x dennisleupold x badgal x 10th Anniversaries http://t.co/OXCB106qmp
566833460128776192,2015-02-15 05:36:42 +0000,rihanna,"dennisleupold wkorea #coverstory  
Hair @ursulastephen 
Makeup ozzysalvatierra http://t.co/LUGupZfUnZ"
566831400738123776,2015-02-15 05:28:31 +0000,rihanna,3/3 #COVER wkorea dennisleupold http://t.co/ybtEf13i9o
566717904583147520,2015-02-14 21:57:32 +0000,rihanna,"2/3 #COVER wkorea 10th Anniversary issue this March!!!
Shot by dennisleupold 
Makeup @mylahmorales… http://t.co/JdpZbqHUax"
566711205465960450,2015-02-14 21:30:55 +0000,rihanna,"1/3 #COVER wkorea 10th Anniversary March Issue!
Shot by dennisleupold http://t.co/5iD9PSAUeR"
566419883744059392,2015-02-14 02:13:18 +0000,rihanna,Had so much fun designing for @Fendi’s 3Baguette charity project! Bid to support the Clara Lionel Foundation: http://t.co/myjnp2pNaz
564915062561718272,2015-02-09 22:33:41 +0000,rihanna,And @ciarrap helped me celebrate 10 years yesterday since getting signed!! God is powerful!  #trailerparkAfterDark http://t.co/tZxYmdo9Rj
564911968796962816,2015-02-09 22:21:23 +0000,rihanna,"“@RihannaArgntina: @rihanna FourFiveSeconds is #1 on the US iTunes. Congrats 👏👏” Wow Im super grateful, THANK YOU! http://t.co/StRMf33FMo"
564910953083314176,2015-02-09 22:17:21 +0000,rihanna,"RT @SuchAF_cKnLADY: [VIDEO] HQ: Rihanna, Kanye West and Paul McCartney Perform 'FourFiveSeconds' During 2015 Grammy's http://t.co/ohToNnTlV3"
564909641658675200,2015-02-09 22:12:08 +0000,rihanna,"“@tbsveryfunny: Again, @rihanna ? We have GOT to stop doing this. #GRAMMYs http://t.co/TMTjtBJvPh” #BitchStoleMyLook"
564687029171007489,2015-02-09 07:27:33 +0000,rihanna,What a night! Still can't believe we @kanyewest shared a stage with a fucking BEATLE tonight! #bucketlistshit Thank you Sir @PaulMcCartney
564686287630643200,2015-02-09 07:24:36 +0000,rihanna,"RT @RihannaDaily: Watch Ri performing ""FourFiveSeconds"" at the Grammys http://t.co/LQjJJtl6TE Purchase the track http://t.co/pxwPJBZsYx http://t.co/6LXK05Sj2y"
564645669109903360,2015-02-09 04:43:12 +0000,rihanna,RT @MACcosmetics: And...congrats to @rihanna on raising $50 mill+ for @MACAIDSFund during her 2014 #VIVAGLAM reign. Most ever in one year! 💋
564505059820437504,2015-02-08 19:24:28 +0000,rihanna,Don’t miss the world debut performance of #FourFiveSeconds tonight…Tune in to @TheGrammys on CBS at 8/7c!!! @KanyeWest @PaulMcCartney
563919630901587969,2015-02-07 04:38:11 +0000,rihanna,@TheGRAMMYs RIHearsal @PaulMcCartney @kanyewest http://t.co/OUWkdJXEt5
563457357045170176,2015-02-05 22:01:17 +0000,rihanna,Don't forget to WATCH #FourFiveSecondsVideo here ----> http://t.co/RI9PS00rbF
563420937874206720,2015-02-05 19:36:34 +0000,rihanna,A lil girl talk with my friend @laurabrown99 for our #JAWS themed @harpersbazaarus cover story --->  http://t.co/QnXcTrGZmo
563136927960809472,2015-02-05 00:48:00 +0000,rihanna,Then this happened .... #bucketlistshit Thank you @harpersbazaarus for such a thrilling shoot!! http://t.co/KEN4CX0TgX
563136487303028736,2015-02-05 00:46:15 +0000,rihanna,#BAZAAR #bts Check what happens when a badgal and fashion photographer/certified diver Norman Jean Roy get together! http://t.co/NXRlAwvFkx
563134642715258880,2015-02-05 00:38:56 +0000,rihanna,Photographer NORMAN JEAN ROY shot my Cover and underwater cover story! Stay tuned!!  @harpersbazaarus http://t.co/VqviabouIT
563132526051332096,2015-02-05 00:30:31 +0000,rihanna,@harpersbazaarus getting you ready for summer with our March #COVER http://t.co/tie1OLfKSJ
562629774707666944,2015-02-03 15:12:46 +0000,rihanna,WATCH NOW #FourFiveSecondsVideo HERE---> http://t.co/6l8NlMlUZL !! @VEVO @KanyeWest @PaulMcCartney @inezandvinoodh
562468011416637441,2015-02-03 04:29:58 +0000,rihanna,#FourFiveSecondsVideo sneak peek...Video premieres tomorrow on @VEVO!! @KanyeWest @PaulMcCartney @inezandvinoodh ---> http://t.co/eDxZ6L5GFW
562334589059100672,2015-02-02 19:39:48 +0000,rihanna,Mood. http://t.co/CN43U6ViBT
562010552764215296,2015-02-01 22:12:12 +0000,rihanna,Nothing says Super Bowl like tailgating. http://t.co/eparRNs6AI
561970854834503680,2015-02-01 19:34:27 +0000,rihanna,#backstageshawty by dennisleupold http://t.co/t3lv294IXs
561967759513636865,2015-02-01 19:22:09 +0000,rihanna,Suede. http://t.co/VbYu0GQH0F
561955800227131392,2015-02-01 18:34:38 +0000,rihanna,"Incase you missed it, here's the BTS for #FourFiveSecondsVideo!! @KanyeWest @PaulMcCartney @inezandvinoodh
https://t.co/zT1bShvZRH"
561950610321588224,2015-02-01 18:14:00 +0000,rihanna,I heart Rae Sremmurd!!!! #SREMMlife http://t.co/4gd1qyA4TO
561930302478909440,2015-02-01 16:53:18 +0000,rihanna,#DirecTVSuperBowlParty http://t.co/TF6D5krKLt
561651020443709440,2015-01-31 22:23:32 +0000,rihanna,RiHearsal at 3am for DirecTV party tonight! ----> dennisleupold http://t.co/q69VW5GRsq
560911615483449344,2015-01-29 21:25:25 +0000,rihanna,id_magazine  cover story http://t.co/xMpPiNEgw8
560910448263172097,2015-01-29 21:20:46 +0000,rihanna,"id_magazine one of the shots from our #DenimBlue Cover shoot! 
Photographer: Paolo Roversi
Styled by:… http://t.co/9kWZ62zKsA"
560908247779909633,2015-01-29 21:12:02 +0000,rihanna,My @i_D magazine #COVER . Shot by one of my favorite people: Paolo Roversi http://t.co/KhzfA6Nmgn
559784899951861760,2015-01-26 18:48:15 +0000,rihanna,When the DJ's tell me dey can't drop this is the club..... https://t.co/qJkZaBP1o0
559780989765840896,2015-01-26 18:32:42 +0000,rihanna,When you just tryna make it back home by Monday.... https://t.co/Go1G0dOkgx
559777586180407296,2015-01-26 18:19:11 +0000,rihanna,When it's still 3 more days til Friday.... https://t.co/5yWMi7LzSq
559759630230757376,2015-01-26 17:07:50 +0000,rihanna,Thank you to everyone supporting my new shit man! I'm grateful! Glory be to the Almighty.
559533060438249472,2015-01-26 02:07:31 +0000,rihanna,UK Navy we are live ----> http://t.co/3E94nlNiDS
559434672061435905,2015-01-25 19:36:34 +0000,rihanna,RT @peoplemag: Currently on repeat: Rihanna's new song with Paul McCartney and Kanye West http://t.co/aij2Q09WkN http://t.co/l34RCB8ggL
559419314252443648,2015-01-25 18:35:32 +0000,rihanna,RT @Vevo: #FourFiveSeconds 🙌
559388711092486144,2015-01-25 16:33:56 +0000,rihanna,First single right here--->  http://t.co/StRMf3CSj2 http://t.co/IInIuQJodm
559190100966273024,2015-01-25 03:24:43 +0000,rihanna,"RT @iTunesMusic: The weekend just got better.
@rihanna. @kanyewest. @PaulMcCartney. 
#FourFiveSeconds
http://t.co/uQqE0QdnPz http://t.co/LCtdFdgHOv"
559157620280266752,2015-01-25 01:15:39 +0000,rihanna,Get #FourFiveSeconds here   --->  http://t.co/3E94nlNiDS
559146006869078018,2015-01-25 00:29:31 +0000,rihanna,FIRST GLIMPSE AT MY NEW MUSIC!!!---> http://t.co/8bsJSvxVp6
559144985258229761,2015-01-25 00:25:27 +0000,rihanna,http://t.co/8EAjjf4yMy
558008044244963329,2015-01-21 21:07:39 +0000,rihanna,"RT @DWAnimation: What does home mean to @Rihanna? Find out in “Conversations from the Set of Home” video series. #DreamWorksHOME
https://t.co/8zk0CT46VU"
557740342070738944,2015-01-21 03:23:54 +0000,rihanna,"RT @elonjames: ""I have no more campaigns to run...I know because i won both of them."" #POTUSmixtape #TWIBSOTU #SOTU15 http://t.co/pdhqUrVVv8"
556336137761865728,2015-01-17 06:24:06 +0000,rihanna,Kiiiiiiiiiiiiinnnngggggg!!!!!!! Came Saw Slaughtered LA!!!!   @KingJames
556263635883155457,2015-01-17 01:36:00 +0000,rihanna,Just posted a video http://t.co/ISUEqf2plU
556217711953723394,2015-01-16 22:33:31 +0000,rihanna,:'( http://t.co/F0hwgXa8xg
555400140509696002,2015-01-14 16:24:46 +0000,rihanna,"""still pretty"" http://t.co/SKdZQld0Ae"
555398177076285441,2015-01-14 16:16:58 +0000,rihanna,look at trouble!!  #majesty @nicolaalleyne33 http://t.co/u9C6nsdq5L
553815219894775808,2015-01-10 07:26:52 +0000,rihanna,Just posted a photo http://t.co/JG2wjIz06O
553790546507214848,2015-01-10 05:48:49 +0000,rihanna,big bro. jigga. congrats to our champ tonight #Dusty #RocNationBoxingCard http://t.co/Kxwre6jPRw
552447390498975744,2015-01-06 12:51:36 +0000,rihanna,tuesday. http://t.co/Ufqth6BjVy
