ID,Posted at,Screen name,Text
577579806096793600,2015-03-16 21:18:51 +0000,taylorswift13,"50 days until the 1989 World Tour kicks off, no big deal."
577353751671017472,2015-03-16 06:20:35 +0000,taylorswift13,"KENDRICK PUT HIS ALBUM OUT EARLY.

NO ONE TOUCH ME.

@kendricklamar"
576916282420817920,2015-03-15 01:22:14 +0000,taylorswift13,"RT @FaithHill: “@taylorswift13: Sisterhood:
http://t.co/LEQtYim04x” 
 Sing it, girlfriends! 😘"
576884867306131456,2015-03-14 23:17:25 +0000,taylorswift13,"GREAT WORK MEREDITH
I WAS JUST TRYING TO LOVE YOU AND NOW YOU OWE ME 40 MILLION DOLLARS http://t.co/Zsaa08EqPS"
576859542614491136,2015-03-14 21:36:47 +0000,taylorswift13,"Sisterhood:
http://t.co/7OVqI0V24O"
576859436481785857,2015-03-14 21:36:21 +0000,taylorswift13,"Real friends are the ones who walk into your house and go get snacks out of the pantry without asking. Happy Birthday, Este! @jizziemcguire"
576626905614409728,2015-03-14 06:12:22 +0000,taylorswift13,RT @billboard: .@TaylorSwift13 is No. 1 (again!) on the #Artist100 chart -- tallying a record-extending 18th week at the summit: http://t.co/TL5ZoNUCvR
576626277026639872,2015-03-14 06:09:52 +0000,taylorswift13,"RT @billboard: .@BritneySpears has rocked out to @TaylorSwift13's ""1989"": ""Out of the Woods"" is a good one"" http://t.co/91b8DqHw6Z http://t.co/AJNDu87rBY"
574995157017194497,2015-03-09 18:08:22 +0000,taylorswift13,"Driving around with the @KelseaBallerini EP on repeat.. SO lovely:)
#yeahboy #lovemelikeyoumeanit"
574724354325397504,2015-03-09 00:12:18 +0000,taylorswift13,"We are at our best when we cheer each other on and build each other up. 
Happy International Women's Day. http://t.co/C5FRxulqAB"
574303857720717312,2015-03-07 20:21:24 +0000,taylorswift13,RT @samsmithworld: What a night!! @BRITawards http://t.co/GrYoTnk0tU
573627892954890240,2015-03-05 23:35:21 +0000,taylorswift13,"Happy Birthday, Dad. Thanks for all the unconditional love, sarcastic comments, and interesting Christmas presents. http://t.co/UQtDldmLrE"
573607484889264128,2015-03-05 22:14:16 +0000,taylorswift13,"I woke up like thissssssss 
(With a cat on me) http://t.co/f7P4Fsikwx"
572621935915360256,2015-03-03 04:58:02 +0000,taylorswift13,New Romantics is FINALLY on iTunes!!!!!!!!!
572534445363744768,2015-03-02 23:10:23 +0000,taylorswift13,"THIS IS THE BEST THING I HAVE EVER SEEN.
http://t.co/4bNzbBdcsX"
572299175418732544,2015-03-02 07:35:30 +0000,taylorswift13,"RT @DebbyRyan: If listening to Welcome To New York whilst getting into the city is wrong, I don’t want to be right 

cc: @taylorswift13"
572270999468572672,2015-03-02 05:43:33 +0000,taylorswift13,RT @Jaime_King: And taylorswift will forever be looking over our new baby. Godmother- we all love you!!!! Xx https://t.co/OtyhVgo6Nw
572270162725896192,2015-03-02 05:40:13 +0000,taylorswift13,"Guess who just got named Godmother of this little one.... (ME)
@Jaime_King 

http://t.co/BsxhtEyxPA"
572136808617623552,2015-03-01 20:50:19 +0000,taylorswift13,"Is it just me or is Lady Gaga, like, fully LIVING right now?!? #goals"
572086258576437248,2015-03-01 17:29:27 +0000,taylorswift13,RT @grimmers: We quizzed @edsheeran and @taylorswift13 on how much they know each other. Seethe results here: http://t.co/hfMwbuw0XU
571764458982391808,2015-02-28 20:10:44 +0000,taylorswift13,RT @maebirdwing: 1989 tho
571383893254930432,2015-02-27 18:58:30 +0000,taylorswift13,"The look on someone's face when they're doing what they love is contagious and inspiring. So beautiful, PS22 Chorus. 
http://t.co/rDjQ5afqAz"
571132745902129152,2015-02-27 02:20:32 +0000,taylorswift13,RT @jackantonoff: @taylorswift13 same. truly stressed out about it and don't know what to do
571131244634877952,2015-02-27 02:14:34 +0000,taylorswift13,"I don't understand this odd dress debate and I feel like it's a trick somehow. 
I'm confused and scared.
PS it's OBVIOUSLY BLUE AND BLACK"
571081401354870788,2015-02-26 22:56:30 +0000,taylorswift13,"Kissing my love at the @BRITAwards 
Part III http://t.co/9DGm1UrZfN"
571081299064070145,2015-02-26 22:56:06 +0000,taylorswift13,"Kissing my love at the @BRITAwards 
Part II http://t.co/G3EsK5iLWP"
571081156063576065,2015-02-26 22:55:32 +0000,taylorswift13,"Kissing my love at the @BRITAwards 
Part I http://t.co/k6YEB3pxhw"
570994472185675776,2015-02-26 17:11:05 +0000,taylorswift13,"I had the best time opening the BRIT Awards with this performance!! Honestly, just such an amazing night. http://t.co/o05NJxeHhu"
570989984729190400,2015-02-26 16:53:15 +0000,taylorswift13,RT @elliegoulding: Presented Best International female to my incredible friend @taylorswift13  x https://t.co/XazkzvxOh9
570989291813376001,2015-02-26 16:50:30 +0000,taylorswift13,RT @Caradelevingne: BRIT SQUAD! 🇬🇧👅🇺🇸 #Dontmesswiththebest regram @karliekloss https://t.co/SOEp4msW9g
570792210611855361,2015-02-26 03:47:22 +0000,taylorswift13,"MY FIRST BRIT AWARD OMGZZZZ
http://t.co/aFZ0EMtR6Y"
570787550878511104,2015-02-26 03:28:51 +0000,taylorswift13,"RT @RollingStone: Kanye heats up, Madonna takes a dive and Taylor Swift salutes Ed Sheeran at #BRITs2015. Here are 5 essential moments: http://t.co/6IsrTuLLHg"
570787029170016256,2015-02-26 03:26:47 +0000,taylorswift13,RT @voguemagazine: These 5 women won the #BRITAwards red carpet: http://t.co/ykD74uH93n http://t.co/JKMjf6DEni
570660354138570752,2015-02-25 19:03:25 +0000,taylorswift13,RT @BRITAwards: She's here!!! @taylorswift13 is kissing and hugging our lucky lucky Red Carpet crowd! #BRITs2015 http://t.co/nagM2kG5mS
570508398682374144,2015-02-25 08:59:36 +0000,taylorswift13,"Cause we never go 
out of 
(Elle) 
style 
(awards)..... 
@samsmithworld https://t.co/BgANo7z1y3"
570381735898320896,2015-02-25 00:36:17 +0000,taylorswift13,RT @samsmithworld: Congratulations beautiful on being woman of the year xx @taylorswift13 https://t.co/khltR6quXq
570186663705624576,2015-02-24 11:41:08 +0000,taylorswift13,LADS. teddysphotos nicholasgrimshaw https://t.co/yxGLslt3uM
570185755483439106,2015-02-24 11:37:32 +0000,taylorswift13,RT @grimmers: Swifty & Shifty https://t.co/wmZRfp3T4c
570150266034483200,2015-02-24 09:16:30 +0000,taylorswift13,#innit trend that http://t.co/KQKYPmjAV7
570122448898813952,2015-02-24 07:25:58 +0000,taylorswift13,"You understand now why they lost their minds and fought the wars,
And why I've spent my whole life trying to put it into words..."
570122205318799360,2015-02-24 07:25:00 +0000,taylorswift13,"And so it goes, you two are dancing in a snow globe round and round.
And he keeps a picture of you in his office downtown."
570121981309411328,2015-02-24 07:24:07 +0000,taylorswift13,A song I wrote with @jackantonoff called 'You Are in Love' is finally up on @iTunesMusic!!!!
570098028809297920,2015-02-24 05:48:56 +0000,taylorswift13,RT @BuzzFeed: 21 Times Taylor Swift Changed Her Fans' Lives http://t.co/v26qKgS0Ws http://t.co/48OhltZdf4
570025562447712256,2015-02-24 01:00:59 +0000,taylorswift13,RT @taylornation13: Our GLOBAL superstar! http://t.co/6PAEZ4WiiU Taylor receives the IFPI award! http://t.co/qqRzj6CTuJ
568607371066531840,2015-02-20 03:05:36 +0000,taylorswift13,RT @abiander: Catastrophe. @taylorswift13 http://t.co/rpMbJ6XLYH
568490755788021760,2015-02-19 19:22:12 +0000,taylorswift13,"We wrote 'Style' exactly a year ago. Max, the guy flexin on the right, just won Producer of the Year at the Grammys. http://t.co/P1HekaITNA"
568272763762429952,2015-02-19 04:55:59 +0000,taylorswift13,RT @Caradelevingne: I can make the good guys bad for a weekend hehehe
568234812433145857,2015-02-19 02:25:11 +0000,taylorswift13,RT @GiGiHadid: ✈️ Ohhh HIII my loves @karliekloss @taylorswift13 @voguemagazine http://t.co/h5W1iHT3Gg
568085418278838272,2015-02-18 16:31:32 +0000,taylorswift13,"This wasn't a pre tape, it was all done live. I haven't changed clothes that fast since the tour ended. @jimmyfallon 
http://t.co/mYh31HJV4c"
567949128505950208,2015-02-18 07:29:58 +0000,taylorswift13,I felt very lucky to be at the Oscar de la Renta show today. It was comforting to be in a room of… http://t.co/hKQUcJJedR
567920177737834497,2015-02-18 05:34:56 +0000,taylorswift13,karliekloss's photo http://t.co/W3VLoFAnbV
567886431307309057,2015-02-18 03:20:50 +0000,taylorswift13,"RT @FallonTonight: Hey, pals! Here's a sneak peek of tonight's show: http://t.co/OZzFnqfedH #FallonTonightOneYear"
567825023211343872,2015-02-17 23:16:49 +0000,taylorswift13,"RT @FallonTonight: TONIGHT: @TaylorSwift13, @iamjohnoliver, and music from @ImagineDragons! #FallonTonightOneYear http://t.co/5e50VpnVKC"
567815722719657984,2015-02-17 22:39:52 +0000,taylorswift13,Watch @jimmyfallon and me get dancy AND sporty tonight to celebrate the one year anniversary of @FallonTonight!! So excited about this!!
567566695922139136,2015-02-17 06:10:19 +0000,taylorswift13,"Life was never worse, but never better..."
567565826451316736,2015-02-17 06:06:52 +0000,taylorswift13,"So we decided to release the 1989 Deluxe bonus songs on @iTunesMusic! Tonight the first one, ""Wonderland"", is out. LIKE RIGHT NOW"
567501222962544641,2015-02-17 01:50:09 +0000,taylorswift13,Spontaneous moments like this are what keep me falling back in love with music over and over again.… http://t.co/Kx8VguCQvu
567497694877597696,2015-02-17 01:36:08 +0000,taylorswift13,Of course the coolest moment of my life happens and I can't figure out how to flip the video the right… http://t.co/4QLDGbt0sW
567249399898984449,2015-02-16 09:09:30 +0000,taylorswift13,RT @AvSocialite: #SNL #afterparty #SNL40 #TaylorSwift #PaulMcCartney #jimmyfallon #plaza http://t.co/D0TA3NtSVg http://t.co/w0Z04HXstY
567113486107680768,2015-02-16 00:09:26 +0000,taylorswift13,#SNL40
567079108933586947,2015-02-15 21:52:50 +0000,taylorswift13,YEAH I WILL. @britmaack http://t.co/poexWpawWI
566746419856678913,2015-02-14 23:50:50 +0000,taylorswift13,Sending my love to all the lonely Starbucks lovers out there this Valentine's Day.....even though that is not the correct lyric.
566733216506454017,2015-02-14 22:58:22 +0000,taylorswift13,I just want to spend my life showing the people I love how much I love them. http://t.co/smkvG7ddN3
566330389107834881,2015-02-13 20:17:41 +0000,taylorswift13,When I want to go looking for wild desert kittens but Karlie is busy 'reading' and 'studying for NYU'. http://t.co/OZEJ8HgMSk
566318351438581760,2015-02-13 19:29:51 +0000,taylorswift13,RT @karliekloss: Nothing better than sharing the @VogueMagazine March #PowerIssue Cover with your best friend @TaylorSwift. ❤️👯❤️ http://t.co/IEC2P28Phu
566314682622181376,2015-02-13 19:15:16 +0000,taylorswift13,RT @voguemagazine: This is the story of @taylorswift13 and @KarlieKloss: http://t.co/wSPhsjk1PT http://t.co/6zrfoNU4Qv
566240618889117696,2015-02-13 14:20:58 +0000,taylorswift13,"Directed by the amazing @kyle_newman

Starring @DomSherwood1 (who has 2 DIFFERENT COLORED EYES)

#STYLEmusicvideo 

http://t.co/Nt1hfcAzMW"
566238850985758721,2015-02-13 14:13:56 +0000,taylorswift13,RT @taylornation13: The new music video will NEVER go out of Style!! Watch it here: http://t.co/I1W5BnAkZn #STYLEmusicvideo
565945972057206784,2015-02-12 18:50:09 +0000,taylorswift13,"Just found out that in 3.5 months, 1989 has now outsold Red (which has been out for over 2 years) AND I THINK THAT'S PRETTY COOL GUYS"
565890698642472960,2015-02-12 15:10:30 +0000,taylorswift13,#Feb13STYLE http://t.co/RfcmHU6cGh
565686730511351808,2015-02-12 01:40:01 +0000,taylorswift13,RT @GMA: Exclusive premiere of @taylorswift13's “Style” video will be on @GMA Friday! #Feb13STYLE (@taylornation13) http://t.co/1MN8w5i9B6
565677447224778752,2015-02-12 01:03:07 +0000,taylorswift13,RT @RollingStone: On the Charts: Taylor Swift's '1989' makes it 11 weeks at Number One: http://t.co/1NL2i55zIn http://t.co/GVl4xUOTBm
565586143291662337,2015-02-11 19:00:19 +0000,taylorswift13,#Feb13STYLE http://t.co/6KBK3WwIu0
565583931677081601,2015-02-11 18:51:32 +0000,taylorswift13,"RT @billboard: #Swifties rejoice! @TaylorSwift13's ""1989"" album is No. 1 on the #Billboard200 chart for the 11th week: http://t.co/SsAg5jlN6G"
565424715402321920,2015-02-11 08:18:51 +0000,taylorswift13,RT @HAIMtheband: PRAY TO GOD – @CalvinHarris feat HAIM:  http://t.co/jLttbbmHyI
565258107673407488,2015-02-10 21:16:49 +0000,taylorswift13,"RT @RollingStone: Watch Charli XCX turn Taylor Swift punk with raucous cover of ""Shake It Off"": http://t.co/eJx9Xyxibm"
565202474823204865,2015-02-10 17:35:45 +0000,taylorswift13,STYLE music video. Friday. #Feb13STYLE http://t.co/ZOzO5nZ8Lk
565193540435587072,2015-02-10 17:00:15 +0000,taylorswift13,RT @BuzzFeed: Taylor Swift tracked down a fan at the Grammys so she could take her backstage http://t.co/sAsiKzNSOK http://t.co/rWHixnHQk1
564666952199573504,2015-02-09 06:07:47 +0000,taylorswift13,RT @abiander: When your red carpet poses are completely on point... @taylorswift13 http://t.co/Ox0wZKAh1G
564660570452787200,2015-02-09 05:42:25 +0000,taylorswift13,"Madonna is now a person I've met.
#TheGrammys"
564618932066082817,2015-02-09 02:56:58 +0000,taylorswift13,BABY http://t.co/po09J3STtW
