ID,Posted at,Screen name,Text
577553905476747264,2015-03-16 19:35:56 +0000,tyrabanks,"💛 my #TheFABLife fam

New TyTy talkshow comin' 2 ya Fall 2015 w/ @mrjoezee @chrissyteigen @laurenmakk @ItsLeahAshley http://t.co/73ur3x91RP"
577290906778218497,2015-03-16 02:10:52 +0000,tyrabanks,Get some rest tonight because tomorrow you got things to do and deadlines to meet!
576944123879387137,2015-03-15 03:12:52 +0000,tyrabanks,Eye makeup remover that burns the eyes????!!!! My smize is on friggin' fire right now!!! WTF!!!
576511610048544768,2015-03-13 22:34:13 +0000,tyrabanks,.@JessicaAsulio @JapanSlays FETUS? NEVER HEARD THAT ONE BEFORE. THANKS???
576360939085250560,2015-03-13 12:35:30 +0000,tyrabanks,Mornin' http://t.co/LsgjFch9zH
575737193873936384,2015-03-11 19:16:58 +0000,tyrabanks,With my The FAB Life co-hosts @chrissyteigen @mrjoezee @laurenmakk @itsleahashley 2day! Can’t wait for this Fall! http://t.co/WIsIgSQfOC
575631374050267136,2015-03-11 12:16:28 +0000,tyrabanks,"What the heck is THIS?

Hint: I sautéed then up real good. http://t.co/8clOSFMpSg"
575327884597985283,2015-03-10 16:10:31 +0000,tyrabanks,"I made odd gray health shake today and thought, ""If famous juice place made it and called it ""50 Shakes of Gray"", peeps would buy into it"
574661767025983488,2015-03-08 20:03:36 +0000,tyrabanks,"Happy International Women's Day! 

🇯🇵🇰🇷🇩🇪🇨🇳🇺🇸🇫🇷🇮🇹🇷🇺 http://t.co/UFdgTvMr5A"
574387548987981826,2015-03-08 01:53:57 +0000,tyrabanks,My Kale Chips on fleek http://t.co/U2YsDZxyU8
574234861088571392,2015-03-07 15:47:14 +0000,tyrabanks,RT @GlobalGrindNews: Salvation Army uses #TheDress to bring awareness to domestic violence http://t.co/w8caP5IX7E http://t.co/3lXtPr3El9
573845944753520640,2015-03-06 14:01:49 +0000,tyrabanks,"Spread more love than you do hate 

Watch this
http://t.co/BWg9LDozbf 

@mirjanapuhar 

WE ❤️ U! 

#ANTM #ANTM21 

#Spreadmorelove"
573546997417836544,2015-03-05 18:13:54 +0000,tyrabanks,💼 http://t.co/gluCk2csmW
573347351898673152,2015-03-05 05:00:35 +0000,tyrabanks,Some1 just said if u drink red wine everyday U'LL b more beautiful. Naturally blushed cheeks & relaxed facial expression. What???!
572784477308522496,2015-03-03 15:43:55 +0000,tyrabanks,Looks blue to me http://t.co/suYnfAyslP
572452596016799744,2015-03-02 17:45:09 +0000,tyrabanks,"Mondays for me are usually like, ""Let's DO this!"" 

Today I'm like, 
""Huh? Do WHAT?"""
571868906853294083,2015-03-01 03:05:46 +0000,tyrabanks,RT @williamjardell: http://t.co/bzkouklcsZ anything helps #antm #mirjanaarmy
570806459526590464,2015-02-26 04:43:59 +0000,tyrabanks,“@raelia_lewis: Remember her for this❤️ #mirjanapuhar faraway.writing thank you https://t.co/tGoJ73r7hq” I have chills.
570782311697903616,2015-02-26 03:08:02 +0000,tyrabanks,"The Top Model family is deeply saddened by the tragic news of Mirjana Puhar. 

We love you, Mirjana. 

Forever."
570402653949140992,2015-02-25 01:59:24 +0000,tyrabanks,RT @T_IsForTom: @tyrabanks CATFIIIIIIIIIISHHHHHHH
570346723416997891,2015-02-24 22:17:10 +0000,tyrabanks,"I'm obsessed with being my friend's #Tinder ""Cyrano""! The ladies have NO idea I'm typing for my boy bud!"
569680405961396224,2015-02-23 02:09:27 +0000,tyrabanks,My #Oscars Le Blanket gown. Available at a bed linen store near you. http://t.co/gZbKtewIKZ
569579999436484608,2015-02-22 19:30:28 +0000,tyrabanks,U know when U read a book that touches UR heart and R sad it ended? @khaledhosseini waiting for UR next. Pls hurry. http://t.co/lLc65KvAQ4
569308716769476608,2015-02-22 01:32:29 +0000,tyrabanks,"Dull your shine, your ass is mine!"
568950289987981312,2015-02-21 01:48:14 +0000,tyrabanks,"In less than an hour, TyTy will be Beautytaining on @hsn. Prepare to have fun and get a fierce Tyover face! http://t.co/r22TptQmWU"
568918114869633024,2015-02-20 23:40:23 +0000,tyrabanks,RT @sassyred1216: Eating a bacon cheeseburger while I watch #AmericasNextTopModel reruns because @tyrabanks taught me all bodies are beautiful
568827826666901505,2015-02-20 17:41:36 +0000,tyrabanks,RT @Haleybird152: Be sure to watch @hsn and @tyrabanks again at 4:00pm eastern! I'm wearing her makeup #TyOvers #TYRAbeauty #TyraAtHSN http://t.co/TrjkYIFRAR
568826933431173120,2015-02-20 17:38:03 +0000,tyrabanks,RT @Brandiwsports: It's so cold here in Ohio but at least I've got my #TyraAtHSN to keep me looking Hot & Fierce!! #Beautytainer #Brandi http://t.co/zxhflY1G3A
568826180545216512,2015-02-20 17:35:04 +0000,tyrabanks,RT @Shelly_Haynie: #smize #TyraAtHSN going to be a great day for Beauty! 💜💙 #4mintyover http://t.co/aOS7Uamjjs
568826132365217792,2015-02-20 17:34:52 +0000,tyrabanks,RT @MsJerica: #TyraAtHSN Hi! The next overcast here in a few weeks will be these 2-4-6min #TyOvers  #Boston #BOSnow Massachusetts http://t.co/En6uPT6P1c
