ID,Posted at,Screen name,Text
577533409775452160,2015-03-16 18:14:29 +0000,wizkhalifa,"RT @FallonTonight: Tonight: Jim Parsons, @Miles_Teller, and music from @wizkhalifa featuring @charlieputh! #FallonTonight http://t.co/v28EbioiOe"
577483199334518784,2015-03-16 14:54:58 +0000,wizkhalifa,Fuck him uuuuuup!
577477622474629120,2015-03-16 14:32:48 +0000,wizkhalifa,That curve. http://t.co/S1neP0Mt08
577474212023164928,2015-03-16 14:19:15 +0000,wizkhalifa,Hello? Bill Cower? http://t.co/LJueMsbDcK
577474004384112640,2015-03-16 14:18:26 +0000,wizkhalifa,Making pac proud again. http://t.co/6syZDlv7dU
577473467437678592,2015-03-16 14:16:18 +0000,wizkhalifa,Makin pac proud. http://t.co/KhQpEqBqhr
577472532820930560,2015-03-16 14:12:35 +0000,wizkhalifa,Making bill cower plays from my black and yellow phone.
577472371856134144,2015-03-16 14:11:57 +0000,wizkhalifa,Who gets wasted and drunk dials your favorite celebs? Khalifa man.
577254739911581696,2015-03-15 23:47:09 +0000,wizkhalifa,The smoke out's in Nyc tonight.
577165708179681282,2015-03-15 17:53:22 +0000,wizkhalifa,All he needed was her body next to him singin ooo.
577125799020597248,2015-03-15 15:14:47 +0000,wizkhalifa,Its technology. It better work.
576964186409988097,2015-03-15 04:32:36 +0000,wizkhalifa,http://t.co/FrTk6sBOvN
576963788060147712,2015-03-15 04:31:01 +0000,wizkhalifa,You can sing fool. @charlieputh
576963702240505856,2015-03-15 04:30:40 +0000,wizkhalifa,Welcome to the muthfuckin machine.
576905377322831872,2015-03-15 00:38:54 +0000,wizkhalifa,Cougars & curlies. <3
576884075874676737,2015-03-14 23:14:16 +0000,wizkhalifa,That geek looks like Jam!
576845503528321024,2015-03-14 20:40:59 +0000,wizkhalifa,#TGOD http://t.co/MZMuyStKIg http://t.co/DC8z0jop8w
576749792015028225,2015-03-14 14:20:40 +0000,wizkhalifa,Girl. I know you want these nuts.
576745713717096448,2015-03-14 14:04:28 +0000,wizkhalifa,"Hey lady, If we're hustling we prolly shouldn't just stand on the escalator."
576680661873995776,2015-03-14 09:45:58 +0000,wizkhalifa,No ashtrays going untouched.
576679498596352000,2015-03-14 09:41:21 +0000,wizkhalifa,Taylor Gang is Taylor Gang. We show up places and make that shit us. TGOD
576676400934977536,2015-03-14 09:29:02 +0000,wizkhalifa,Circle fulla G'z.
576590909736894464,2015-03-14 03:49:20 +0000,wizkhalifa,RT @CHEVYWOODS: Chevy Woods and The First Dab: All Def Digital's The Vault http://t.co/hfG0FBN1Ls
576568098230263808,2015-03-14 02:18:41 +0000,wizkhalifa,Ayeee! Next.
576563166160822272,2015-03-14 01:59:05 +0000,wizkhalifa,Taylors only. http://t.co/8CTF0phcBT
576459452515233792,2015-03-13 19:06:58 +0000,wizkhalifa,"150,000 cash prizes. http://t.co/NWXGYTQ7wy fantasy hoops! http://t.co/Uoa0EoYDjA"
576430383065100288,2015-03-13 17:11:27 +0000,wizkhalifa,"RT @RealJRDonato: Taylors Retweet! 

T.GOD (MUSIC VIDEO) http://t.co/y7K6JOlDNU [@RealJRDonato] http://t.co/fbsMhSe7yV"
576424840594337792,2015-03-13 16:49:26 +0000,wizkhalifa,#LoudPackSXSW powered by @YahooMusic on 3/18. live stream starts at 11:45pm CST @ http://t.co/fUBMP60UI0 http://t.co/K21IEQzxqY
576390241193488385,2015-03-13 14:31:56 +0000,wizkhalifa,If she can roll a decent joint and make bangin sandwich keep her around. The joint part gets better with time.
576389008495943680,2015-03-13 14:27:03 +0000,wizkhalifa,Old get drunk and eat all the appetizers face ass.
576387994476814336,2015-03-13 14:23:01 +0000,wizkhalifa,Doobies & Daytons.
576386477166366720,2015-03-13 14:16:59 +0000,wizkhalifa,"@LA0214 

he didn't do so well."
576386357146304512,2015-03-13 14:16:30 +0000,wizkhalifa,That shits for old floozies and hookers.
576386189500014593,2015-03-13 14:15:50 +0000,wizkhalifa,Fuck that lingerie shit. Get lil mamma some weed socks to struck around the house in.
576384908228182016,2015-03-13 14:10:45 +0000,wizkhalifa,"@therealRickyP 

thats what happens when late night bowling is a success."
576382247261073408,2015-03-13 14:00:11 +0000,wizkhalifa,"RT @OGMaco: Night Like This (Remix) ft Wiz Khalifa [Prod. Ricky P] 
OGG™
TGOD™
QC™
🏁🏁🏁™ https://t.co/oDiVXmW1Q0"
576382214142849024,2015-03-13 14:00:03 +0000,wizkhalifa,Maco sent me a song. I sent it back. He put it out. Thats what makes us G'z
576380466787454976,2015-03-13 13:53:06 +0000,wizkhalifa,ginder. papers. filters. lighter. repeat.
576378060443881472,2015-03-13 13:43:32 +0000,wizkhalifa,The c is for cap. http://t.co/3rjST1wTzV
576180590686396416,2015-03-13 00:38:52 +0000,wizkhalifa,I got artists and producers so I'm good. All i fuck wit is taylor.
576172968100945920,2015-03-13 00:08:35 +0000,wizkhalifa,All buds no sammys.
576153343447429120,2015-03-12 22:50:36 +0000,wizkhalifa,"@L1LDebbie 

you ready to ride in my '64?"
576152053644443649,2015-03-12 22:45:28 +0000,wizkhalifa,"RT @tukicarter: PREMIERE! Tuki Carter ""Chirp"" [Official Video]: http://t.co/rjzmnFac6m http://t.co/boJOwE4uqf"
576147540934057984,2015-03-12 22:27:32 +0000,wizkhalifa,Limeade instead of lemonade is fucking sick.
576147385329520640,2015-03-12 22:26:55 +0000,wizkhalifa,if she down to get high and go all night bowling she's the one for me.
576146334333472770,2015-03-12 22:22:45 +0000,wizkhalifa,"@L1LDebbie 

finally <3"
576121095671136256,2015-03-12 20:42:27 +0000,wizkhalifa,Lil Debbie reminds me of a real Pixburgh chick.
576119368779694080,2015-03-12 20:35:35 +0000,wizkhalifa,http://t.co/1V4gcwZHE6
576070902158331904,2015-03-12 17:23:00 +0000,wizkhalifa,I don't know whyyyyyyy the first thiiiiiiiiiiing i wanted was a burger when I woke up todaaaaaaay.
